tahun,bulan,negara_tujuan,nilai
2011,Januari,Singapura,1615564
2011,Februari,Singapura,1146978
2011,Maret,Singapura,1635607
2011,April,Singapura,1362842
2011,Mei,Singapura,1721536
2011,Juni,Singapura,1822244
2011,Juli,Singapura,2787309
2011,Agustus,Singapura,2091407
2011,September,Singapura,1943606
2011,Oktober,Singapura,2106656
2011,November,Singapura,1720174
2011,Desember,Singapura,1479740
2011,Januari,Jepang,5766048
2011,Februari,Jepang,4968269
2011,Maret,Jepang,7208842
2011,April,Jepang,6591867
2011,Mei,Jepang,5944132
2011,Juni,Jepang,8778686
2011,Juli,Jepang,8223251
2011,Agustus,Jepang,8145206
2011,September,Jepang,7705223
2011,Oktober,Jepang,10002890
2011,November,Jepang,10267801
2011,Desember,Jepang,9662110
2011,Januari,Australia,254591
2011,Februari,Australia,171607
2011,Maret,Australia,127402
2011,April,Australia,49363
2011,Mei,Australia,204983
2011,Juni,Australia,301974
2011,Juli,Australia,150215
2011,Agustus,Australia,46131
2011,September,Australia,21229
2011,Oktober,Australia,160990
2011,November,Australia,241804
2011,Desember,Australia,190088
2011,Januari,Hongkong,631125
2011,Februari,Hongkong,34640
2011,Maret,Hongkong,3343316
2011,April,Hongkong,434410
2011,Mei,Hongkong,709255
2011,Juni,Hongkong,307520
2011,Juli,Hongkong,19050
2011,Agustus,Hongkong,1052515
2011,September,Hongkong,911800
2011,Oktober,Hongkong,3475
2011,November,Hongkong,1089435
2011,Desember,Hongkong,53325
2011,Januari,Saudi Arabia,160
2011,Februari,Saudi Arabia,-
2011,Maret,Saudi Arabia,-
2011,April,Saudi Arabia,-
2011,Mei,Saudi Arabia,-
2011,Juni,Saudi Arabia,-
2011,Juli,Saudi Arabia,-
2011,Agustus,Saudi Arabia,-
2011,September,Saudi Arabia,-
2011,Oktober,Saudi Arabia,3600
2011,November,Saudi Arabia,-
2011,Desember,Saudi Arabia,-
2011,Januari,Belanda,305196
2011,Februari,Belanda,471215
2011,Maret,Belanda,194071
2011,April,Belanda,4120438
2011,Mei,Belanda,3667536
2011,Juni,Belanda,275606
2011,Juli,Belanda,482688
2011,Agustus,Belanda,204498
2011,September,Belanda,435292
2011,Oktober,Belanda,3744
2011,November,Belanda,354510
2011,Desember,Belanda,348142
2011,Januari,Belgia,414371
2011,Februari,Belgia,1691154
2011,Maret,Belgia,485633
2011,April,Belgia,905884
2011,Mei,Belgia,108851
2011,Juni,Belgia,258198
2011,Juli,Belgia,230580
2011,Agustus,Belgia,186470
