tahun,hs,jenis_komoditas,volume,nilai
2011,1,Binatang Hidup,94.69,2017.79
2011,2,Daging Hewan,541.72,2240.81
2011,3,Ikan dan Udang,215824.4,634642.96
2011,4,"Susu, Mentega, Telur",22641.07,173889.71
2011,5,Produk Hewani,4831.93,5980.08
2011,6,Pohon Hidup dan Bunga Potong,7551.11,12105.66
2011,7,Sayuran,23887.25,19948.08
2011,8,Buah-buahan,66009.25,57926.67
2011,9,"Kopi, The, Rempah-rempah",82826.39,284759.55
2011,10,Gandum-ganduman,386.95,861.42
2011,11,Hasil Penggilingan,60805.46,37951.08
2011,12,Biji-bijian Berminyak,5858.97,15165.76
2011,13,"Lak, Getah dan Damar",11225.44,21765.33
2011,14,Bahan-bahan Nabati,3165.14,4422.31
2011,15,Lemak & Minyak Hewan,717915.8,774358.91
2011,16,Daging dan Ikan Olahan,20343.91,96443.84
2011,17,Gula dan Kembang Gula,41745.46,103017.54
2011,18,Kakao,105993.13,373804.59
2011,19,Olahan dari Tepung,179522.29,400901.67
2011,20,Olahan dari Buah-buahan,5946.24,7501.03
2011,21,Berbagai Makanan Olahan,115724.17,394298.11
2011,22,Minuman,96778.24,77937.46
2011,23,Ampas,234686.33,55987.68
2011,24,Tembakau,3125.76,37305.74
2011,25,"Garam, Belerang, Kapur",357065.63,22144.55
2011,26,"Bijih, Kerak dan Abu Logam",163298.96,54037.92
2011,27,Bahan Bakar Mineral,84361.74,101012.14
2011,28,Bahan Kimia Anorgani,201254.36,75103.27
2011,29,Bahan Kimia Organik,162664.2,390898.64
2011,30,Produk Industri Farmasi,16611.5,328898.64
2011,31,Pupuk,28060.43,12214.05
2011,32,Sari Bahan Samak & Celup,71392.2,242294.28
2011,33,"Minyak Atsiri, Kosmetik Wangi-wangian",88051.79,378373.65
2011,34,Sabun dan Preparat Pembersih,309521.7,402714.59
2011,35,"Perekat, Enzim",32741.62,34898.51
2011,36,Bahan Peledak,3815.63,4961.99
2011,37,Barang-barang Fotografi,171.71,719.09
2011,38,Berbagai Produk Kimia,395243.65,464319.19
2011,39,Plastik dan Barang dari Plastik,989192.08,1934443.29
2011,40,Karet dan Barang dari Karet,500288.98,2140778.92
2011,41,Jangat dan Kulit Mentah,5090.66,70190.24
2011,42,Barang-barang dari Kulit,14417.07,243275.45
2011,43,Kulit Berbulu,132.18,1241.18
2011,44,"Kayu, Barang dari Kayu",353351.02,401522.05
2011,45,Gabus dan Barang-barang Gabus,19.38,36.28
2011,46,Jerami,5799.76,25215.33
2011,47,Bubur Kayu,3849.41,1188.34
2011,48,Kertas,1522428.26,1570781.53
2011,49,Buku dan Barang Cetakan,7402.3,24774.54
2011,50,Sutera,3.85,20.62
2011,51,"Wol, Bulu Hewan",310.67,1074.21
2011,52,Kapas,108140.19,539072.83
2011,53,Serat Tekstil dan Barang Kertas,11490.72,5282.6
2011,54,Filamen Buatan,273368.27,1233189.23
2011,55,Serat Stafel Buatan,560242.52,1792726.1
2011,56,Kapas Gumpalan,8950.73,45640.47
2011,57,Permadani,12342.93,31644.26
2011,58,Kain Tenunan Khusus,4250.11,50319.34
2011,59,Kain Ditenun Berlapis,22883.44,112521.7
2011,60,Kain Rajutan,12691.12,84808.05
2011,61,Barang-barang Rajutan,207565.56,3119664.82
2011,62,Pakaian Jadi Bukan Rajutan,162230.81,3281853.06
2011,63,Kain Perca,63598.71,134623.63
2011,64,Alas Kaki,163516.55,2756790.4
2011,65,Tutup Kepala,1649.56,23162.17
2011,66,Payung,412.68,2620.05
2011,67,Bulu Unggas,9624.98,221101.74
2011,68,"Benda-benda dari Batu, Gips dan Semen",142864.12,68215.13
2011,69,Produk Keramik,293059.51,302190.53
2011,70,Kaca & Barang dari Kaca,475346.67,259605.94
2011,71,Perhiasan Permata ,4056.31,1760235.3
2011,72,Besi dan Baja,367575.96,338748.07
2011,73,Benda-benda dari Besi dan Baja,262951.15,503285
2011,74,Tembaga,127801.53,1111237.23
2011,75,Nikel,880.58,"5724, 1"
2011,76,Alumunium,45574.99,147545.8
2011,78,Timah Hitam,601.57,1228.98
2011,79,Seng,1064.87,1311.03
2011,80,Timah,8046.04,186191.35
2011,81,Logam dasar Lainnya,316.01,4973.03
2011,82,"Perkakas, Perangkat Potong",4423,50028.05
2011,83,Berbagai Barang Logam Dasa,54833.3,244680.85
2011,84,Mesin-mesin/Pesawat Mekanik,425594.7,3491954.57
2011,85,Mesin/Peralatan Listrik,472300.3,7281766.89
2011,86,Lokomotif dan Peralatan Kereta Api,2641.56,10366.69
2011,87,Kendaraan dan Bagiannya,316010.95,2830214.7
2011,88,Kapal Terbang dan Bagiannya,1763.68,115703.57
2011,89,Kapal Laut dan Bangunan Terapung,36461.79,31196.38
2011,90,Perangkat Optik,8653.23,244035.77
2011,91,"Lonceng, Arloji dan Bagiannya",119.02,2265.8
2011,92,Perangkat Musik,57038.96,379217.75
2011,93,Senjata/Amunisi,30.85,1114.13
2011,94,"Perabot, Penerangan Rumah",189423.93,578684.03
2011,95,Maianan,28936.61,301562.59
2011,96,Berbagai Barang Buatan Pabrik,35570.14,256560
2011,97,Hasil Karya Seni,380.38,8647.46
2011,98,"Kendaraan Bermotor/Komponen, Terbongkar",110.25,995.75
2012,1,Binatang Hidup,139.32,2534.71
2012,2,Daging Hewan,413,1792.52
2012,3,Ikan dan Udang,245838.66,881896.36
2012,4,"Susu, Mentega, Telur",22484.19,133228.44
2012,5,Produk Hewani,5017.42,6101.36
2012,6,Pohon Hidup dan Bunga Potong,6766.2,14043.57
2012,7,Sayuran,33831.31,26428.11
2012,8,Buah-buahan,66654.54,53802.17
2012,9,"Kopi, The, Rempah-rempah",79540.59,283768.41
2012,10,Gandum-ganduman,596.22,923.49
2012,11,Hasil Penggilingan,69970.42,37956.12
2012,12,Biji-bijian Berminyak,8232.61,19143.09
2012,13,"Lak, Getah dan Damar",12052.92,29188.41
2012,14,Bahan-bahan Nabati,3944.95,3696.13
2012,15,Lemak & Minyak Hewan,794515.03,799952.58
2012,16,Daging dan Ikan Olahan,17573.68,105589.84
2012,17,Gula dan Kembang Gula,44903.08,119575.88
2012,18,Kakao,105517.03,312987.44
2012,19,Olahan dari Tepung,176470.14,413665.11
2012,20,Olahan dari Buah-buahan,7081.45,8189.56
2012,21,Berbagai Makanan Olahan,128979.87,471206.88
2012,22,Minuman,35932.46,48547.63
2012,23,Ampas,265699.79,67775.38
2012,24,Tembakau,4242.66,54183.65
2012,25,"Garam, Belerang, Kapur",95155.63,10240.97
2012,26,"Bijih, Kerak dan Abu Logam",230156.27,18786.36
2012,27,Bahan Bakar Mineral,60381.99,62283.31
2012,28,Bahan Kimia Anorgani,175143.64,69580.02
2012,29,Bahan Kimia Organik,210562.94,416560.11
2012,30,Produk Industri Farmasi,16295.14,365806.78
2012,31,Pupuk,22261.65,10549.16
2012,32,Sari Bahan Samak & Celup,82342.2,248118.33
2012,33,"Minyak Atsiri, Kosmetik Wangi-wangian",71500.3,380530.8
2012,34,Sabun dan Preparat Pembersih,432177.94,524811.62
2012,35,"Perekat, Enzim",15441.44,18075.12
2012,36,Bahan Peledak,3701.45,5043.25
2012,37,Barang-barang Fotografi,22.79,269.76
2012,38,Berbagai Produk Kimia,480066.57,553237.39
2012,39,Plastik dan Barang dari Plastik,1006880.27,1899249.47
2012,40,Karet dan Barang dari Karet,464748.71,1999809.59
2012,41,Jangat dan Kulit Mentah,3389.27,63632.21
2012,42,Barang-barang dari Kulit,14670.15,269397.34
2012,43,Kulit Berbulu,136.93,1267.6
2012,44,"Kayu, Barang dari Kayu",333839.47,409984.69
2012,45,Gabus dan Barang-barang Gabus,24.39,123.27
2012,46,Jerami,13150.82,50537.17
2012,47,Bubur Kayu,3463.62,1425.54
2012,48,Kertas,1421809.45,1455966.47
