tahun,negara_tujuan,volume,nilai,pangsa
2011,United States,816474,7952735,17.11
2011,Japan,993281,4432780,9.54
2011,Thailand,613754,2302018,4.95
2011,China,1409679,2657447,5.72
2011,Malaysia,980355,2349563,5.06
2011,Australia,394395,1463126,3.15
2011,Singapore,560377,2242003,4.82
2011,Philippines,529975,1796691,3.87
2011,"Germanu, Fed. Rep. of",170034,1625703,3.5
2011,"Korea, Republic of",517712,1318617,2.84
2011,Hongkong,138880,1797223,3.87
2011,Vietnam,570383,1107799,2.38
2012,United States,772253,7650469,15.89
2012,Japan,918317,4700299,9.76
2012,Thailand,764482,3222963,6.7
2012,China,1576354,2747584,5.71
2012,Malaysia,959453,2614838,5.43
2012,Australia,410446,2106562,4.38
2012,Singapore,383187,1948123,4.05
2012,Philippines,561165,1917733,3.98
2012,"Germanu, Fed. Rep. of",165136,1716163,3.57
2012,"Korea, Republic of",544487,1464502,3.04
2012,Hongkong,152072,1258058,2.61
2012,Vietnam,527589,1189445,2.47
