tahun,bulan,jenis,volume,nilai
2012,Januari,Migas,9248,8539
2012,Februari,Migas,7311,7003
2012,Maret,Migas,11650,10858
2012,April,Migas,7244,6823
2012,Mei,Migas,1932,2621
2012,Juni,Migas,642,1146
2012,Juli,Migas,187,357
2012,Agustus,Migas,512,850
2012,September,Migas,1187,1350
2012,Oktober,Migas,988,1305
2012,November,Migas,1898,1049
2012,Desember,Migas,1491,630
2012,Januari,Non Migas,225395,976593
2012,Februari,Non Migas,232744,989077
2012,Maret,Non Migas,259707,1001330
2012,April,Non Migas,221159,899272
2012,Mei,Non Migas,274055,992618
2012,Juni,Non Migas,253466,973872
2012,Juli,Non Migas,276137,1030251
2012,Agustus,Non Migas,206094,794821
2012,September,Non Migas,275106,1095972
2012,Oktober,Non Migas,292457,1049909
2012,November,Non Migas,277936,996194
2012,Desember,Non Migas,266168,958403
