tahun,bulan,Udang,Lobster,Kodok,Tuna,Rajungan,Ubur_ubur,Lainnya
2011,Januari,413230,13022,34712,2603738,,66450,816554
2011,Februari,577662,1440,17514,1430931,-,59750,941375
2011,Maret,421039,18449,35352,2521559,-,84200,1410796
2011,April,499144,22368,35332,2686205,-,14500,1685190
2011,Mei,355773,22858,34280,2880288,150,21000,1692958
2011,Juni,569602,30474,-,3316535,-,24000,1452548
2011,Juli,"462003,82",28884,34636,"2920408,18",-,24150,1297933
2011,Agustus,401203,14201,17200,"3152559,40",-,119072,"1551709,70"
2011,September,"414344,55",14830,13226,"2070802,09",-,93500,1358676
2011,Oktober,414982,17266,17000,2636642,-,322050,"1945945,80"
2011,November,445982,43457,33608,"2550579,02",-,128280,1553245
2011,Desember,249118,45304,17274,"3120317,52",-,308055,1735802
