tahun,bulan,jenis_ikan,volume
2011,Januari,Bawal Hitam,152766
2011,Februari,Bawal Hitam,78626
2011,Maret,Bawal Hitam,120755
2011,April,Bawal Hitam,151355
2011,Mei,Bawal Hitam,139659
2011,Juni,Bawal Hitam,177731
2011,Juli,Bawal Hitam,204923
2011,Agustus,Bawal Hitam,167179
2011,September,Bawal Hitam,129606
2011,Oktober,Bawal Hitam,163005
2011,November,Bawal Hitam,130442
2011,Desember,Bawal Hitam,179303
2011,Januari,Cakalang,322155
2011,Februari,Cakalang,57640
2011,Maret,Cakalang,150000
2011,April,Cakalang,293070
2011,Mei,Cakalang,189816
2011,Juni,Cakalang,177731
2011,Juli,Cakalang,204923
2011,Agustus,Cakalang,167179
2011,September,Cakalang,393528
2011,Oktober,Cakalang,615742
2011,November,Cakalang,721566
2011,Desember,Cakalang,585038
2011,Januari,Cucut,131734
2011,Februari,Cucut,0
2011,Maret,Cucut,233459
2011,April,Cucut,64686
2011,Mei,Cucut,88359
2011,Juni,Cucut,255931
2011,Juli,Cucut,25772
2011,Agustus,Cucut,0
2011,September,Cucut,0
2011,Oktober,Cucut,26123
2011,November,Cucut,33440
2011,Desember,Cucut,66196
2011,Januari,Cumi-Cumi,10290
2011,Februari,Cumi-Cumi,64173
2011,Maret,Cumi-Cumi,140450
2011,April,Cumi-Cumi,78076
2011,Mei,Cumi-Cumi,291164
2011,Juni,Cumi-Cumi,319696
2011,Juli,Cumi-Cumi,166327
2011,Agustus,Cumi-Cumi,358967
2011,September,Cumi-Cumi,339264
2011,Oktober,Cumi-Cumi,449197
2011,November,Cumi-Cumi,315381
2011,Desember,Cumi-Cumi,263250
2011,Januari,Gurita,16385
2011,Februari,Gurita,17447
2011,Maret,Gurita,26126
2011,April,Gurita,64996
2011,Mei,Gurita,56036
2011,Juni,Gurita,61856
2011,Juli,Gurita,72486
2011,Agustus,Gurita,56746
2011,September,Gurita,51263
2011,Oktober,Gurita,78608
2011,November,Gurita,103814
2011,Desember,Gurita,80296
2011,Januari,Ikan Asin,1564
2011,Februari,Ikan Asin,0
2011,Maret,Ikan Asin,10137
2011,April,Ikan Asin,0
2011,Mei,Ikan Asin,937
2011,Juni,Ikan Asin,824
2011,Juli,Ikan Asin,763
2011,Agustus,Ikan Asin,4310
2011,September,Ikan Asin,2100
2011,Oktober,Ikan Asin,2457
2011,November,Ikan Asin,3922
2011,Desember,Ikan Asin,2471
2011,Januari,Ikan Kakap Merah,83788
2011,Februari,Ikan Kakap Merah,73509
2011,Maret,Ikan Kakap Merah,73930
2011,April,Ikan Kakap Merah,77798
2011,Mei,Ikan Kakap Merah,93155
2011,Juni,Ikan Kakap Merah,125606
2011,Juli,Ikan Kakap Merah,115144
2011,Agustus,Ikan Kakap Merah,111075
2011,September,Ikan Kakap Merah,95858
2011,Oktober,Ikan Kakap Merah,108421
2011,November,Ikan Kakap Merah,88720
2011,Desember,Ikan Kakap Merah,74764
2011,Januari,Ikan Pedang/Meka,22198
2011,Februari,Ikan Pedang/Meka,160895
2011,Maret,Ikan Pedang/Meka,205334
2011,April,Ikan Pedang/Meka,153849
2011,Mei,Ikan Pedang/Meka,317354
2011,Juni,Ikan Pedang/Meka,209155
2011,Juli,Ikan Pedang/Meka,288993
2011,Agustus,Ikan Pedang/Meka,549749
2011,September,Ikan Pedang/Meka,171361
2011,Oktober,Ikan Pedang/Meka,516384
2011,November,Ikan Pedang/Meka,132164
2011,Desember,Ikan Pedang/Meka,282181
2011,Januari,Kerapu Lumpur,53007
2011,Februari,Kerapu Lumpur,58911
2011,Maret,Kerapu Lumpur,75990
2011,April,Kerapu Lumpur,58555
2011,Mei,Kerapu Lumpur,91794
2011,Juni,Kerapu Lumpur,97241
2011,Juli,Kerapu Lumpur,103788
2011,Agustus,Kerapu Lumpur,114531
2011,September,Kerapu Lumpur,115498
2011,Oktober,Kerapu Lumpur,109058
2011,November,Kerapu Lumpur,108038
2011,Desember,Kerapu Lumpur,106603
2011,Januari,Madidihang/Tuna,1843190
2011,Februari,Madidihang/Tuna,1111624
2011,Maret,Madidihang/Tuna,1634388
2011,April,Madidihang/Tuna,1889322
2011,Mei,Madidihang/Tuna,1994910
2011,Juni,Madidihang/Tuna,2515635
2011,Juli,Madidihang/Tuna,2180339
2011,Agustus,Madidihang/Tuna,2170511
2011,September,Madidihang/Tuna,1315932
2011,Oktober,Madidihang/Tuna,1284235
2011,November,Madidihang/Tuna,1545319
2011,Desember,Madidihang/Tuna,1892640
2011,Januari,Setuhuk Hitam/Marlin,76973
2011,Februari,Setuhuk Hitam/Marlin,96466
2011,Maret,Setuhuk Hitam/Marlin,221113
2011,April,Setuhuk Hitam/Marlin,284079
2011,Mei,Setuhuk Hitam/Marlin,218718
2011,Juni,Setuhuk Hitam/Marlin,114498
2011,Juli,Setuhuk Hitam/Marlin,131952
2011,Agustus,Setuhuk Hitam/Marlin,132033
2011,September,Setuhuk Hitam/Marlin,114504
2011,Oktober,Setuhuk Hitam/Marlin,103910
2011,November,Setuhuk Hitam/Marlin,62834
2011,Desember,Setuhuk Hitam/Marlin,109645
2011,Januari,Tengiri,38213
2011,Februari,Tengiri,11930
2011,Maret,Tengiri,17666
2011,April,Tengiri,46877
2011,Mei,Tengiri,84337
2011,Juni,Tengiri,24906
2011,Juli,Tengiri,85306
2011,Agustus,Tengiri,80102
2011,September,Tengiri,103784
2011,Oktober,Tengiri,89339
2011,November,Tengiri,41356
2011,Desember,Tengiri,91053
2011,Januari,Ubur-Ubur,66450
2011,Februari,Ubur-Ubur,59750
2011,Maret,Ubur-Ubur,84200
2011,April,Ubur-Ubur,14500
2011,Mei,Ubur-Ubur,21000
2011,Juni,Ubur-Ubur,24000
2011,Juli,Ubur-Ubur,24150
2011,Agustus,Ubur-Ubur,119072
2011,September,Ubur-Ubur,93500
2011,Oktober,Ubur-Ubur,322050
2011,November,Ubur-Ubur,128280
2011,Desember,Ubur-Ubur,308055
2011,Januari,Udang,109510
2011,Februari,Udang,151902
2011,Maret,Udang,44182
2011,April,Udang,93719
2011,Mei,Udang,63758
2011,Juni,Udang,3800
2011,Juli,Udang,63370
2011,Agustus,Udang,35095
2011,September,Udang,133920
2011,Oktober,Udang,155734
2011,November,Udang,100880
2011,Desember,Udang,89727
2011,Januari,Udang Putih,100508
2011,Februari,Udang Putih,264034
2011,Maret,Udang Putih,192922
2011,April,Udang Putih,292782
2011,Mei,Udang Putih,141091
2011,Juni,Udang Putih,253279
2011,Juli,Udang Putih,116316
2011,Agustus,Udang Putih,120971
2011,September,Udang Putih,46248
2011,Oktober,Udang Putih,93738
2011,November,Udang Putih,113824
2011,Desember,Udang Putih,34682
2011,Januari,Udang Vannamei,"114568,9"
2011,Februari,Udang Vannamei,144391
2011,Maret,Udang Vannamei,145181
2011,April,Udang Vannamei,111432
2011,Mei,Udang Vannamei,121370
2011,Juni,Udang Vannamei,"138132,72"
2011,Juli,Udang Vannamei,192021
2011,Agustus,Udang Vannamei,90497
2011,September,Udang Vannamei,108195
2011,Oktober,Udang Vannamei,158671
2011,November,Udang Vannamei,110543
2011,Desember,Udang Vannamei,117288
2011,Januari,Udang Windu,-
2011,Februari,Udang Windu,11340
2011,Maret,Udang Windu,4
2011,April,Udang Windu,8
2011,Mei,Udang Windu,24439
2011,Juni,Udang Windu,40415
2011,Juli,Udang Windu,74962
2011,Agustus,Udang Windu,4505
2011,September,Udang Windu,11340
2011,Oktober,Udang Windu,2048
2011,November,Udang Windu,20325
2011,Desember,Udang Windu,15636
2011,Januari,Lainnya,1555022
2011,Februari,Lainnya,"1815633,46"
2011,Maret,Lainnya,1784419
2011,April,Lainnya,"1842052,1"
2011,Mei,Lainnya,2067729
2011,Juni,Lainnya,1576993
2011,Juli,Lainnya,"1405230,5"
2011,Agustus,Lainnya,987686
2011,September,Lainnya,1204198
2011,Oktober,Lainnya,1425935
2011,November,Lainnya,802752
2011,Desember,Lainnya,542830
