tahun,bulan,hasil_pengolahan,volume
2011,Januari,Olah Beku,2824574
2011,Februari,Olah Beku,2099174
2011,Maret,Olah Beku,3457011
2011,April,Olah Beku,3419631
2011,Mei,Olah Beku,3461820
2011,Juni,Olah Beku,4047079
2011,Juli,Olah Beku,3477066
2011,Agustus,Olah Beku,4041516
2011,September,Olah Beku,3094333
2011,Oktober,Olah Beku,4091081
2011,November,Olah Beku,3533349
2011,Desember,Olah Beku,3846724
2011,Januari,Olah Kering,69014
2011,Februari,Olah Kering,59750
2011,Maret,Olah Kering,94337
2011,April,Olah Kering,14500
2011,Mei,Olah Kering,21934
2011,Juni,Olah Kering,24824
2011,Juli,Olah Kering,24913
2011,Agustus,Olah Kering,123382
2011,September,Olah Kering,95600
2011,Oktober,Olah Kering,324507
2011,November,Olah Kering,132202
2011,Desember,Olah Kering,310526
2011,Januari,Segar/Basah,1055118
2011,Februari,Segar/Basah,869775
2011,Maret,Segar/Basah,940047
2011,April,Segar/Basah,1508608
2011,Mei,Segar/Basah,1523550
2011,Juni,Segar/Basah,1321256
2011,Juli,Segar/Basah,1266036
2011,Agustus,Segar/Basah,1091047
2011,September,Segar/Basah,775446
2011,Oktober,Segar/Basah,938298
2011,November,Segar/Basah,1088938
2011,Desember,Segar/Basah,1318621
