tahun,klasifikasi_industri,perusahaan,nilai_output,biaya_input,nilai_tambah
2011,Makanan,172,21516064164,16208141513,5307922651
2011,Minuman,7,974331378,296480064,677851314
2011,Tekstil,69,1879368189,1085340172,794028017
2011,Pakaian Jadi,349,9547063984,5075563288,4471500696
2011,Kulit dan Barang dari Kulit dan Alas Kaki,52,577355626,355539408,221916218
2011,"Kayu, Barang dari Kayu dan Gabus",18,244358656,171289370,73069286
2011,Kertas dan Barang dari Kertas,40,667001645,396072709,270928936
2011,Percetakan dan Reproduksi Media Rekaman,120,8814652900,5514229510,3300423390
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,74,14459240021,8171680852,6287559169
2011,"Farmasi, Obat Kimia dan Obat Tradisional",30,9120093232,4426421803,4693671429
2011,"Karet, Barang dari Karet dan Plastik",160,3618676121,2300325276,1318350845
2011,Barang Galian Bukan Logam,18,1113831914,522875917,590955997
2011,Logam Dasar,23,6526459193,4115822084,2410637109
2011,Barang Logam Bukan Mesin dan Peralatannya,106,10478467307,6989538281,3488929026
2011,"Komputer, Barang Elektronik dan Optik",16,1520191188,992398803,527792385
2011,Peralatan Listrik,44,11649977516,5530944042,6119033474
2011,Mesin dan Perlengkapan ytdi,20,2403940361,934559629,1469380732
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",30,85170473295,43386235758,41784237537
2011,Alat Angkutan Lainnya,14,46368138972,7787398570,38580740402
2011,Furnitur,39,736899853,368438534,368461319
2011,Pengolahan Lainnya,46,2001273745,1441540947,559732798
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,4,141809909,61036395,80773514
