tahun,klasifikasi_industri,perusahaan,pajak_tak_langsung,nlai_tambah
2011,Makanan,172,59208293,5248714358
2011,Minuman,7,37494430,640356884
2011,Tekstil,69,9352762,784675255
2011,Pakaian Jadi,349,21173847,4450326849
2011,Kulit dan Barang dari Kulit dan Alas Kaki,52,2373010,219543208
2011,"Kayu, Barang dari Kayu dan Gabus",18,2561569,70507717
2011,Kertas dan Barang dari Kertas,40,2013198,268915738
2011,Percetakan dan Reproduksi Media Rekaman,120,52263911,3248159479
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,74,85395696,6202163473
2011,"Farmasi, Obat Kimia dan Obat Tradisional",30,194550665,4499120764
2011,"Karet, Barang dari Karet dan Plastik",160,25059863,1293290982
2011,Barang Galian Bukan Logam,18,84082013,506873984
2011,Logam Dasar,23,21325281,2389311828
2011,Barang Logam Bukan Mesin dan Peralatannya,106,53284491,3435644535
2011,"Komputer, Barang Elektronik dan Optik",16,4330359,523462026
2011,Peralatan Listrik,44,48815223,6070218251
2011,Mesin dan Perlengkapan ytdi,20,6496381,1462884351
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",30,1293930331,40490307206
2011,Alat Angkutan Lainnya,14,924598204,37656142198
2011,Furnitur,39,4531338,363929981
2011,Pengolahan Lainnya,46,9375169,550357629
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,4,1254024,79519490
