tahun,klasifikasi_industri,jenis_output,jumlah
2011,Makanan,Barang yang Dihasilkan,20844034257
2011,Minuman,Barang yang Dihasilkan,971064797
2011,Tekstil,Barang yang Dihasilkan,1637475225
2011,Pakaian Jadi,Barang yang Dihasilkan,8153925713
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Barang yang Dihasilkan,537778827
2011,"Kayu, Barang dari Kayu dan Gabus",Barang yang Dihasilkan,240710865
2011,Kertas dan Barang dari Kertas,Barang yang Dihasilkan,649658463
2011,Percetakan dan Reproduksi Media Rekaman,Barang yang Dihasilkan,7721308186
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Barang yang Dihasilkan,12773903307
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Barang yang Dihasilkan,8951246602
2011,"Karet, Barang dari Karet dan Plastik",Barang yang Dihasilkan,3341188082
2011,Barang Galian Bukan Logam,Barang yang Dihasilkan,1100675770
2011,Logam Dasar,Barang yang Dihasilkan,6259030772
2011,Barang Logam Bukan Mesin dan Peralatannya,Barang yang Dihasilkan,9430049111
2011,"Komputer, Barang Elektronik dan Optik",Barang yang Dihasilkan,1489191471
2011,Peralatan Listrik,Barang yang Dihasilkan,10737433803
2011,Mesin dan Perlengkapan ytdi,Barang yang Dihasilkan,2336822756
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Barang yang Dihasilkan,80902442747
2011,Alat Angkutan Lainnya,Barang yang Dihasilkan,46279254276
2011,Furnitur,Barang yang Dihasilkan,672967759
2011,Pengolahan Lainnya,Barang yang Dihasilkan,1931872444
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Barang yang Dihasilkan,-
2011,Makanan,Jasa Industri yang Diberikan pada Pihak Lain,239280324
2011,Minuman,Jasa Industri yang Diberikan pada Pihak Lain,225078388
2011,Tekstil,Jasa Industri yang Diberikan pada Pihak Lain,1284544166
2011,Pakaian Jadi,Jasa Industri yang Diberikan pada Pihak Lain,29945568
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Jasa Industri yang Diberikan pada Pihak Lain,3749131
2011,"Kayu, Barang dari Kayu dan Gabus",Jasa Industri yang Diberikan pada Pihak Lain,10161599
2011,Kertas dan Barang dari Kertas,Jasa Industri yang Diberikan pada Pihak Lain,861357035
2011,Percetakan dan Reproduksi Media Rekaman,Jasa Industri yang Diberikan pada Pihak Lain,861357035
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Jasa Industri yang Diberikan pada Pihak Lain,1585971974
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Jasa Industri yang Diberikan pada Pihak Lain,44828735
2011,"Karet, Barang dari Karet dan Plastik",Jasa Industri yang Diberikan pada Pihak Lain,228192344
2011,Barang Galian Bukan Logam,Jasa Industri yang Diberikan pada Pihak Lain,2037451
2011,Logam Dasar,Jasa Industri yang Diberikan pada Pihak Lain,211915726
