tahun,klasifikasi_industri,jenis_bahan_bakar,nilai_pemakaian
2011,Makanan,Bensin,14350883
2011,Minuman,Bensin,806891
2011,Tekstil,Bensin,5887914
2011,Pakaian Jadi,Bensin,39095668
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Bensin,1854298
2011,"Kayu, Barang dari Kayu dan Gabus",Bensin,651475
2011,Kertas dan Barang dari Kertas,Bensin,3109131
2011,Percetakan dan Reproduksi Media Rekaman,Bensin,65363628
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Bensin,23523197
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Bensin,3770087
2011,"Karet, Barang dari Karet dan Plastik",Bensin,9647875
2011,Barang Galian Bukan Logam,Bensin,191593
2011,Logam Dasar,Bensin,1593474
2011,Barang Logam Bukan Mesin dan Peralatannya,Bensin,17792006
2011,"Komputer, Barang Elektronik dan Optik",Bensin,1088262
2011,Peralatan Listrik,Bensin,3922626
2011,Mesin dan Perlengkapan ytdi,Bensin,17337481
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Bensin,38598540
2011,Alat Angkutan Lainnya,Bensin,5348937
2011,Furnitur,Bensin,1257291
2011,Pengolahan Lainnya,Bensin,3490924
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Bensin,333501
2011,Makanan,Solar,76432761
2011,Minuman,Solar,5460915
2011,Tekstil,Solar,3007999
2011,Pakaian Jadi,Solar,74028689
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Solar,2985051
2011,"Kayu, Barang dari Kayu dan Gabus",Solar,3971508
2011,Kertas dan Barang dari Kertas,Solar,2530660
2011,Percetakan dan Reproduksi Media Rekaman,Solar,83253413
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Solar,59374064
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Solar,167359765
2011,"Karet, Barang dari Karet dan Plastik",Solar,26244334
2011,Barang Galian Bukan Logam,Solar,18086000
2011,Logam Dasar,Solar,65479228
2011,Barang Logam Bukan Mesin dan Peralatannya,Solar,16009250
2011,"Komputer, Barang Elektronik dan Optik",Solar,2517037
2011,Peralatan Listrik,Solar,11899238
2011,Mesin dan Perlengkapan ytdi,Solar,2073220
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Solar,269158431
2011,Alat Angkutan Lainnya,Solar,34976284
2011,Furnitur,Solar,2466091
2011,Pengolahan Lainnya,Solar,2397984
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Solar,481644
2011,Makanan,Pelumas,3262945
2011,Minuman,Pelumas,120425
2011,Tekstil,Pelumas,2385471
2011,Pakaian Jadi,Pelumas,4957137
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Pelumas,587758
2011,"Kayu, Barang dari Kayu dan Gabus",Pelumas,118363
2011,Kertas dan Barang dari Kertas,Pelumas,1035288
2011,Percetakan dan Reproduksi Media Rekaman,Pelumas,16407240
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Pelumas,4662552
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Pelumas,7774110
2011,"Karet, Barang dari Karet dan Plastik",Pelumas,5429793
2011,Barang Galian Bukan Logam,Pelumas,1498333
2011,Logam Dasar,Pelumas,16844538
2011,Barang Logam Bukan Mesin dan Peralatannya,Pelumas,19110397
2011,"Komputer, Barang Elektronik dan Optik",Pelumas,86613
2011,Peralatan Listrik,Pelumas,23326654
2011,Mesin dan Perlengkapan ytdi,Pelumas,7786989
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Pelumas,128543485
2011,Alat Angkutan Lainnya,Pelumas,192668
2011,Furnitur,Pelumas,239762
2011,Pengolahan Lainnya,Pelumas,729415
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Pelumas,22451
