tahun,pendapatan_biaya,rincian,nilai
2009,Pendapatan Bruto,Pekerjaan Konstruksi yang Diselesaikan,21770657
2009,Pendapatan Bruto,Pendapatan/Penerimaan Lain,1866338
2009,Pengeluaran,Bahan Bangunan yang Dipakai,8207631
2009,Pengeluaran,"Pemakaian Bahan Bakar, Pelumas, Listrik, Gas dan Air",408507
2009,Pengeluaran,Biaya Bahan dan Jasa Lainnya,6225014
2010,Pendapatan Bruto,Pekerjaan Konstruksi yang Diselesaikan,77865108
2010,Pendapatan Bruto,Pendapatan/Penerimaan Lain,11898514
2010,Pengeluaran,Bahan Bangunan yang Dipakai,26654147
2010,Pengeluaran,"Pemakaian Bahan Bakar, Pelumas, Listrik, Gas dan Air",1854951
2010,Pengeluaran,Biaya Bahan dan Jasa Lainnya,24618247
2011,Pendapatan Bruto,Pekerjaan Konstruksi yang Diselesaikan,94313747
2011,Pendapatan Bruto,Pendapatan/Penerimaan Lain,14899756
2011,Pengeluaran,Bahan Bangunan yang Dipakai,32639757
2011,Pengeluaran,"Pemakaian Bahan Bakar, Pelumas, Listrik, Gas dan Air",2270408
2011,Pengeluaran,Biaya Bahan dan Jasa Lainnya,35191072
