id_skpd,wilayah,komisi,bidang,kode_skpd,nama_skpd,jenis_belanja,keterangan_belanja,nilai_anggaran
3,0,1,1,"1.20.001","DPRD Propinsi","Anggaran Belanja Langsung","Pegawai",0
4,0,1,1,"1.20.002","SEKRETARIAT DPRD","Anggaran Belanja Langsung","Pegawai",2.243e+10
5,0,1,1,"1.20.004","SEKRETARIAT DAERAH","Anggaran Belanja Langsung","Pegawai",8.402e+09
6,0,1,1,"1.20.005","BIRO TATA PEMERINTAHAN","Anggaran Belanja Langsung","Pegawai",2.818e+09
7,0,1,1,"1.20.006","BIRO KEPALA DAERAH DAN KERJASAMA LUAR NEGERI","Anggaran Belanja Langsung","Pegawai",1.063e+10
8,0,1,1,"1.20.007","BIRO HUKUM","Anggaran Belanja Langsung","Pegawai",3.997e+09
9,0,1,1,"1.20.008","BIRO ORGANISASI DAN TATA LAKSANA","Anggaran Belanja Langsung","Pegawai",4.600e+09
10,0,2,2,"1.20.009","BIRO UMUM","Anggaran Belanja Langsung","Pegawai",1.047e+10
12,0,2,2,"1.20.010","BIRO PEREKONOMIAN","Anggaran Belanja Langsung","Pegawai",1.434e+09
15,0,4,4,"1.20.012","BIRO PRASARANA DAN SARANA KOTA","Anggaran Belanja Langsung","Pegawai",3.442e+09
16,0,5,3,"1.20.013","BIRO KESEJAHTERAAN SOSIAL","Anggaran Belanja Langsung","Pegawai",4.301e+09
17,0,1,1,"1.06.001","BADAN PERENCANAAN PEMBANGUNAN DAERAH","Anggaran Belanja Langsung","Pegawai",1.973e+10
18,0,1,1,"1.20.018","INSPEKTORAT","Anggaran Belanja Langsung","Pegawai",7.595e+09
19,0,1,1,"1.20.019","BADAN KEPEGAWAIAN DAERAH","Anggaran Belanja Langsung","Pegawai",9.956e+09
20,0,1,1,"1.19.001","BADAN KESATUAN BANGSA DAN POLITIK","Anggaran Belanja Langsung","Pegawai",1.653e+10
21,0,2,2,"1.16.001","BADAN PENANAMAN MODAL DAN PROMOSI","Anggaran Belanja Langsung","Pegawai",1.884e+09
22,0,4,4,"1.08.003","BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH","Anggaran Belanja Langsung","Pegawai",5.760e+09
24,0,1,1,"1.20.014","SATPOL PP","Anggaran Belanja Langsung","Pegawai",2.260e+10
25,0,1,1,"1.10.001","DINAS KEPENDUDUKAN DAN CATATAN SIPIL","Anggaran Belanja Langsung","Pegawai",2.338e+09
26,0,1,1,"1.20.015","DINAS PEMADAM KEBAKARAN DAN PENANGGULANGAN BENCANA","Anggaran Belanja Langsung","Pegawai",4.851e+09
28,0,2,2,"1.15.001","DINAS KOPERASI, USAHA MIKRO, KECIL DAN MENENGAH, DAN PERDAGANGAN","Anggaran Belanja Langsung","Pegawai",3.217e+09
33,0,3,2,"1.20.017","DINAS PELAYANAN PAJAK","Anggaran Belanja Langsung","Pegawai",3.773e+10
34,0,4,4,"1.03.001","DINAS PEKERJAAN UMUM","Anggaran Belanja Langsung","Pegawai",2.233e+10
