tahun,anggaran_realisasi,pos_anggaran,penjelasan_pos_anggaran,nilai
2003,Anggaran,Penerimaan,Pendapatan,9489897.9
2003,Anggaran,Penerimaan,Pembiayaan,2165502.6
2003,Anggaran,Pengeluaran,Belanja,11562928.8
2003,Anggaran,Pengeluaran,Pembiayaan,92471.7
2004,Anggaran,Penerimaan,Pendapatan,11012313.3
2004,Anggaran,Penerimaan,Pembiayaan,1674007.2
2004,Anggaran,Pengeluaran,Belanja,12631050.5
2004,Anggaran,Pengeluaran,Pembiayaan,55270
2005,Anggaran,Penerimaan,Pendapatan,12439064.5
2005,Anggaran,Penerimaan,Pembiayaan,1930251.6
2005,Anggaran,Pengeluaran,Belanja,14208408.9
2005,Anggaran,Pengeluaran,Pembiayaan,160907.2
2006,Anggaran,Penerimaan,Pendapatan,15327795.9
2006,Anggaran,Penerimaan,Pembiayaan,3107087.9
2006,Anggaran,Pengeluaran,Belanja,18096640.5
2006,Anggaran,Pengeluaran,Pembiayaan,262532.4
2007,Anggaran,Penerimaan,Pendapatan,18659559.9
2007,Anggaran,Penerimaan,Pembiayaan,2020596.2
2007,Anggaran,Pengeluaran,Belanja,20636069.5
2007,Anggaran,Pengeluaran,Pembiayaan,44086.7
2008,Anggaran,Penerimaan,Pendapatan,19031851.4
2008,Anggaran,Penerimaan,Pembiayaan,1364256.3
2008,Anggaran,Pengeluaran,Belanja,20117360.7
2008,Anggaran,Pengeluaran,Pembiayaan,278747
2009,Anggaran,Penerimaan,Pendapatan,19371835.5
2009,Anggaran,Penerimaan,Pembiayaan,4596373
2009,Anggaran,Pengeluaran,Belanja,23594857.4
2009,Anggaran,Pengeluaran,Pembiayaan,373351.1
2010,Anggaran,Penerimaan,Pendapatan,22963351.1
2010,Anggaran,Penerimaan,Pembiayaan,3748512.1
2010,Anggaran,Pengeluaran,Belanja,26230179.4
2010,Anggaran,Pengeluaran,Pembiayaan,481683.8
2011,Anggaran,Penerimaan,Pendapatan,26845693.06
2011,Anggaran,Penerimaan,Pembiayaan,4911196.02
2011,Anggaran,Pengeluaran,Belanja,30922361.72
2011,Anggaran,Pengeluaran,Pembiayaan,834527.36
2012,Anggaran,Penerimaan,Pendapatan,33650011.96
2012,Anggaran,Penerimaan,Pembiayaan,7703218.49
2012,Anggaran,Pengeluaran,Belanja,38366680.1
2012,Anggaran,Pengeluaran,Pembiayaan,2986550.38
2003,Realisasi,Penerimaan,Pendapatan,9982371.6
2003,Realisasi,Penerimaan,Pembiayaan,2165502.6
2003,Realisasi,Pengeluaran,Belanja,10382597.1
2003,Realisasi,Pengeluaran,Pembiayaan,91269.8
2004,Realisasi,Penerimaan,Pendapatan,11546326.3
2004,Realisasi,Penerimaan,Pembiayaan,1674007.2
2004,Realisasi,Pengeluaran,Belanja,1149273.3
2004,Realisasi,Pengeluaran,Pembiayaan,1717060.2
2005,Realisasi,Penerimaan,Pendapatan,13464126.4
2005,Realisasi,Penerimaan,Pembiayaan,1930251.6
2005,Realisasi,Pengeluaran,Belanja,12435352.4
2005,Realisasi,Pengeluaran,Pembiayaan,2959025.6
2006,Realisasi,Penerimaan,Pendapatan,14337618.5
2006,Realisasi,Penerimaan,Pembiayaan,3107087.9
2006,Realisasi,Pengeluaran,Belanja,15160583.3
2006,Realisasi,Pengeluaran,Pembiayaan,2283128.6
2007,Realisasi,Penerimaan,Pendapatan,16668046.9
2007,Realisasi,Penerimaan,Pembiayaan,2020596.2
2007,Realisasi,Pengeluaran,Belanja,17280823.5
2007,Realisasi,Pengeluaran,Pembiayaan,1407819.7
2008,Realisasi,Penerimaan,Pendapatan,19221757.9
2008,Realisasi,Penerimaan,Pembiayaan,13642596.2
2008,Realisasi,Pengeluaran,Belanja,15956526.1
2008,Realisasi,Pengeluaran,Pembiayaan,183115.1
2009,Realisasi,Penerimaan,Pendapatan,19262681.6
2009,Realisasi,Penerimaan,Pembiayaan,4446373
2009,Realisasi,Pengeluaran,Belanja,19511099.4
2009,Realisasi,Pengeluaran,Pembiayaan,441237.2
2010,Realisasi,Penerimaan,Pendapatan,23005042.1
2010,Realisasi,Penerimaan,Pembiayaan,3748512.1
2010,Realisasi,Pengeluaran,Belanja,21555447.7
2010,Realisasi,Pengeluaran,Pembiayaan,309494.3
2011,Realisasi,Penerimaan,Pendapatan,28296898.82
2011,Realisasi,Penerimaan,Pembiayaan,4926078.26
2011,Realisasi,Pengeluaran,Belanja,26423682.19
2011,Realisasi,Pengeluaran,Pembiayaan,329221.36
2012,Realisasi,Penerimaan,Pendapatan,35379180.05
2012,Realisasi,Penerimaan,Pembiayaan,6475552.01
2012,Realisasi,Pengeluaran,Belanja,31558706.9
2012,Realisasi,Pengeluaran,Pembiayaan,832303.63
