LokasiID,Komisi,SKPDKode,SKPDNama,UrusanKode,UrusanNama,ProgramKode,ProgramTeks,Kegiatan, Anggaran ,Vol,Satuan
3,1,1.20.169,Kelurahan Jembatan Besi - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,"Pemeliharaan jalan orang permukiman rw. 06, 09 kelurahan jembatan besi","50,000,000",500,m2
5,1,1.20.339,Kelurahan Rawa Terate - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pemeliharaan Kanstein lingkungan kelurahan,"50,000,000",1,Paket
5,1,1.20.339,Kelurahan Rawa Terate - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan Bantuan Bahan Material,"70,000,000",1,Paket
2,1,1.20.100,Kelurahan Rawa Badak Utara - JAKUT,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pembinaan Hansip / Linmas,"65,000,000",90,orang
5,1,1.20.305,Kecamatan Jatinegara - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Perbaikan jalan dan pengaspalan jalan MHT RT 001 s/d RT 009  RW 05 Kelurahan Kampung Melayu,"60,000,000",500,meter
3,1,1.20.129,Kecamatan Kembangan - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Pemeliharaan Jalan Layer Hotmix ( Jl raya kembangan utara RW 01 Kembangan Utara ),"63,129,000",300,M2
3,1,1.20.129,Kecamatan Kembangan - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Pemeliharaan/pengurasan saluran mikro (Jl. Jomas RW 05 Maruya Utara),"78,375,000",750,M3
3,1,1.20.129,Kecamatan Kembangan - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Pemeliharaan Jalan layer Hotmix ( Jl H Saanan, Jl H Paih RW 02 Kembangan Utara )","105,215,000",500,M2
3,1,1.20.143,Kecamatan Kalideres - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Sosialisasi pentingnya pemberantasan sarang nyamuk, Kp. Prepedan Rw.09 Kel. Kamal","10,000,000",50,Orang
3,1,1.20.143,Kecamatan Kalideres - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Perawatan jalan 200 m x 1,5m = 300 m2, Gg. Nimat Rt.001 Rw.09 Kel. Tegal Alur","107,580,000",300,m2
5,1,1.20.305,Kecamatan Jatinegara - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Pengurasan saluran  RT 005, RT 10, RT 11 RW 02 Kelurahan Kampung Melayu","60,000,000",250,m3
3,1,1.20.129,Kecamatan Kembangan - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Peningkatan/pemeliharaan saluran ( RW.03 Kembangan Selatan ),"198,000,000",150,meter
3,1,1.20.129,Kecamatan Kembangan - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Peningkatan/pemeliharaan saluran ( Jl. H. Aja RT.005/07 Meruya Selatan ),"40,450,000",100,meter
3,1,1.20.143,Kecamatan Kalideres - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Perbaikan jalan orang pengaspalan p x l = 400m x 2 m = 800 m2,  Kamp. Belakang Gg. Senggol Rt,001,006, 007 Rw.03 Kel. Kamal","168,344,000",800,m2
5,1,1.20.314,Kecamatan Duren Sawit - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Pemeliharaan untuk penambalan dan pengaspalan jalan yang berlubang lokasi di Jl. Melati RayaRW.02 Kelurahan  Malaka Sari,"52,000,000",400,M2
5,1,1.20.314,Kecamatan Duren Sawit - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Pemeliharaan saluran dengan pengurasan di RW 03 (Sepanjang jalan Nusa Indah VI RT 01, 06, 07 dan 08)  Kel.Malaka Jaya","40,000,000",400,M
5,1,1.20.314,Kecamatan Duren Sawit - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Perbaikan saluan penghubung dengan PVC di RT.07 RW.04 dan RT.06,07,010 RW.05 Kel.Pondok Kopi","14,000,000",140,M
3,4,1.08.013,Sudin Kebersihan - JAKBAR,1.03,Pekerjaan Umum,1.03.03,Program Peningkatan Sarana dan Prasarana Pekerjaan Umum,Penyediaan Jasa Pemeliharaan & Perizinan Kendaraan Dinas Operasional / Jasa KIR dan Perpanjangan STNK dan Ganti Plate,"231,798,134",1,Tahun
5,1,1.20.305,Kecamatan Jatinegara - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Penyediaan dukungan Truk Tangki Air dalam rangka Kegiatan Penyiraman Pot dan Jalur Separator Lingkungan Wilayah Kecamatan Jatinegara,"95,000,000",12,Bulan
5,1,1.20.305,Kecamatan Jatinegara - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Pelayanan Terpadu Malam hari,"11,000,000",1,Tahun
5,1,1.20.305,Kecamatan Jatinegara - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Festival Jakarta Timur Fair,"15,000,000",1,Kegiatan
3,1,1.20.172,Kelurahan Duri Selatan - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan Lori / Kereta Sorong Kelurahan Duri Selatan,"22,500,000",30,unit
5,1,1.20.279,Kelurahan Kelapa Dua Wetan - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan Bibit Penghijauan Lingkungan,"11,500,000",1,Paket
3,1,1.20.132,Kelurahan Meruya Selatan - JAKBAR,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan sarana dan prasarana komposting,"48,000,000",6,unit
