LokasiID;Komisi;SKPDKode;SKPDNama;UrusanKode;UrusanNama;ProgramKode;ProgramTeks;Kegiatan; Anggaran ;Vol;Satuan
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.42;Program Peningkatan Kesejahteraan Pegawai;Proses Pemberian Penghargaan Satyalancana Karya Satya dan Masa Kerja Pegawai;149,998,240;5000;Pegawai
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.42;Program Peningkatan Kesejahteraan Pegawai;Seleksi Pemberian Penghargaan kepada Pegawai Berprestasi di Lingkungan Pemerintah Provinsi DKI Jakarta;204,999,830;60;pegawai
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.45;Program Peningkatan Disiplin dan Kinerja Aparatur DKI;Proses Penyelesaian Pelanggaran Disiplin dan Izin Perkawinan/Perceraian PNS/CPNS/PTT Di Lingkungan Pemerintah Provinsi DKI Jakarta;153,999,920;60;Kasus Disiplin & 50 kasus cerai
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.42;Program Peningkatan Kesejahteraan Pegawai;Pemberian Penghargaan Bagi PNS Dan Pejabat Struktural Yang Memasuki Masa Purna Bakti;199,972,695;5438;Pegawai
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.41;Program Penataan Sistem Manajemen SDM Aparatur;Seminar/Workshop Tentang Perubahan Pola Pikir (Mindsetting) Bagi Pejabat Struktural Di Lingkungan Pemerintah Provinsi DKI Jakarta;349,997,300;60;Orang
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.41;Program Penataan Sistem Manajemen SDM Aparatur;Buku Panduan Bagi Para Change Master Dan Chancge Agent di Lingkungan Pemerintah Provinsi DKI Jakarta;99,999,860;1;Buku Panduan
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.45;Program Peningkatan Disiplin dan Kinerja Aparatur DKI;Penetapan Dan Pelaksanaan Dokumen Kinerja SKPD/UKPD Serta Evaluasi dan Penyempurnaan Sistem Penilaian Kinerja.;299,997,880;1;Kali
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.69;Program Perencanaan Pembangunan Daerah Tingkat SKPD Urusan Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;Pembangunan Sistem Administrasi Assessment Centre Dalam Rangka Monitoring Uji Kompetensi;49,999,795;1;Sistem
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.41;Program Penataan Sistem Manajemen SDM Aparatur;Seleksi Pegawai Dari Luar Pemerintah Dan Mutasi Antar SKPD;169,999,820;200;Orang
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.45;Program Peningkatan Disiplin dan Kinerja Aparatur DKI;Supervisi Penegakan Disiplin Dan Implementasi PP 53 Tahun 2010 Di Lingkungan Pemerintah Provinsi DKI Jakarta;124,999,800;48;SKPD/UKPD
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.45;Program Peningkatan Disiplin dan Kinerja Aparatur DKI;Pelaksanaan Sidang Dewan Pertimbangan Kepegawaian;99,999,950;10;Rekomendasi
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.45;Program Peningkatan Disiplin dan Kinerja Aparatur DKI;Evaluasi Kinerja Dan Perpanjangan Perjanjian Kerja Pegawai Tidak Tetap Di Lingkungan Pemerintah Provinsi DKI Jakarta;74,999,890;2179;PTT
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.45;Program Peningkatan Disiplin dan Kinerja Aparatur DKI;Evaluasi Kebijakan Kepegawaian;224,999,870;12;Kepgub&12 Telaahan/Kajian Hukum
