Nama Kode Rekening,Kategori,Tahun,DPA
A-1 Sedan Jeep Station Wagon Pribadi,Pajak Kendaraan Bermotor,2013,1.49E+12
A-2 Sedan Jeep Station Wagon Umum,Pajak Kendaraan Bermotor,2013,16598000000
A-3 Sedan Jeep Station Wagon Pemerintah Pusat,Pajak Kendaraan Bermotor,2013,4390000000
A-4 Sedan Jeep Station Wagon Pemerintah Daerah,Pajak Kendaraan Bermotor,2013,252000000
A-5 Sedan Jeep Station Wagon TNI POLRI,Pajak Kendaraan Bermotor,2013,396000000
B-1 Bus Micro Bus Pribadi,Pajak Kendaraan Bermotor,2013,44855000000
B-2 Bus Micro Bus Umum,Pajak Kendaraan Bermotor,2013,15979000000
B-3 Bus Micro Bus Pemerintah Pusat,Pajak Kendaraan Bermotor,2013,520000000
B-4 Bus Micro Bus Pemerintah Daerah,Pajak Kendaraan Bermotor,2013,109000000
B-5 Bus Micro Bus TNI POLRI,Pajak Kendaraan Bermotor,2013,169000000
C-1 Truck Pick Up Pribadi,Pajak Kendaraan Bermotor,2013,3.00E+11
C-2 Truck Pick Up Umum,Pajak Kendaraan Bermotor,2013,44153000000
C-3Truck Pick Up Pemerintah Pusat,Pajak Kendaraan Bermotor,2013,4052000000
C-4 Truck Pick Up Pemerintah Daerah,Pajak Kendaraan Bermotor,2013,2177000000
C-5 Truck Pick Up TNI POLRI,Pajak Kendaraan Bermotor,2013,3440000000
D-1 Kendaraan Khusus Pribadi,Pajak Kendaraan Bermotor,2013,2.48E+11
D-2 Kendaraan Khusus Umum,Pajak Kendaraan Bermotor,2013,3655000000
D-3 Kendaraan Khusus Pemerintah Pusat,Pajak Kendaraan Bermotor,2013,49000000
D-4 Kendaraan Khusus Pemerintah Daerah,Pajak Kendaraan Bermotor,2013,210000000
D-5 Kendaraan Khusus TNI POLRI,Pajak Kendaraan Bermotor,2013,330000000
E-1 Sepeda Motor Pribadi,Pajak Kendaraan Bermotor,2013,5.42E+11
E-2 Sepeda Motor Pemerintah Pusat,Pajak Kendaraan Bermotor,2013,2551000000
E-3 Sepeda Motor Pemerintah Daerah,Pajak Kendaraan Bermotor,2013,289000000
E-4 Sepeda Motor TNI POLRI,Pajak Kendaraan Bermotor,2013,454000000
F.1. Mikrolet,Pajak Kendaraan Bermotor,2013,8595000000
G.1. Kendaraan Roda Tiga,Pajak Kendaraan Bermotor,2013,924000000
H-1 Minibus Pribadi,Pajak Kendaraan Bermotor,2013,1.65E+12
H-2 Minibus Pemerintah Pusat,Pajak Kendaraan Bermotor,2013,9738000000
H-3 Minibus Pemerintah Daerah,Pajak Kendaraan Bermotor,2013,950000000
H-4 Minibus TNI POLRI,Pajak Kendaraan Bermotor,2013,1503000000
A-1 Sedan Jeep Station Wagon Pribadi,Bea Balik Nama Kendaraan Bermotor,2013,1.62E+12
A-2 Sedan Jeep Station Wagon Umum,Bea Balik Nama Kendaraan Bermotor,2013,23168000000
A-3 Sedan Jeep Station Wagon Pemerintah Pusat,Bea Balik Nama Kendaraan Bermotor,2013,4743000000
A-4 Sedan Jeep Station Wagon Pemerintah Daerah,Bea Balik Nama Kendaraan Bermotor,2013,273000000
A-5 Sedan Jeep Station Wagon TNI POLRI,Bea Balik Nama Kendaraan Bermotor,2013,428000000
B-1 Bus Micro Bus Pribadi,Bea Balik Nama Kendaraan Bermotor,2013,21285000000
B-2 Bus Micro Bus Umum,Bea Balik Nama Kendaraan Bermotor,2013,21621000000
B-3 Bus Micro Bus Pemerintah Pusat,Bea Balik Nama Kendaraan Bermotor,2013,248000000
B-4 Bus Micro Bus Pemerintah Daerah,Bea Balik Nama Kendaraan Bermotor,2013,53000000
B-5 Bus Micro Bus TNI POLRI,Bea Balik Nama Kendaraan Bermotor,2013,81000000
C-1 Truck Pick Up Pribadi,Bea Balik Nama Kendaraan Bermotor,2013,2.40E+11
C-2 Truck Pick Up Umum,Bea Balik Nama Kendaraan Bermotor,2013,65628000000
C-3Truck Pick Up Pemerintah Pusat,Bea Balik Nama Kendaraan Bermotor,2013,3232000000
C-4 Truck Pick Up Pemerintah Daerah,Bea Balik Nama Kendaraan Bermotor,2013,1737000000
C-5 Truck Pick Up TNI POLRI,Bea Balik Nama Kendaraan Bermotor,2013,2744000000
