komisi,bidang,lokasi_ID,ID_SKPD,kode_SKPD,nama_SKPD, nilai_anggaran , nilai_SP2D ,persen_SP2D, nilai_SPJ ,persen_SPJ,persen_rencana,persen_pelaksanaan
1,1,0,4,1.20.002,SEKRETARIAT DPRD," 132,494,421,312 "," 93,238,534,730 ",70.37%," 65,964,586,712 ",49.79%,87.20%,65.99%
1,1,0,5,1.20.004,SEKRETARIAT DAERAH," 43,058,500,000 "," 24,467,647,943 ",56.82%," 19,517,223,092 ",45.33%,84.00%,79.74%
1,1,0,6,1.20.005,BIRO TATA PEMERINTAHAN," 8,368,000,000 "," 6,054,575,000 ",72.35%," 2,897,733,745 ",34.63%,81.48%,36.85%
1,1,0,7,1.20.006,BIRO KEPALA DAERAH DAN KERJASAMA LUAR NEGERI," 34,096,500,400 "," 23,383,094,569 ",68.58%," 14,571,489,398 ",42.74%,60.64%,71.86%
1,1,0,8,1.20.007,BIRO HUKUM," 7,758,250,000 "," 5,970,236,685 ",76.95%," 4,122,897,615 ",53.14%,67.50%,61.99%
1,1,0,9,1.20.008,BIRO ORGANISASI DAN TATA LAKSANA," 7,025,246,000 "," 6,159,352,500 ",87.67%," 5,079,297,034 ",72.30%,84.68%,81.08%
2,2,0,10,1.20.009,BIRO UMUM," 83,157,154,058 "," 37,962,964,455 ",45.65%," 21,812,139,502 ",26.23%,91.80%,39.52%
2,2,0,12,1.20.010,BIRO PEREKONOMIAN," 6,014,400,000 "," 4,904,588,106 ",81.55%," 4,165,330,106 ",69.26%,99.17%,80.54%
4,4,0,15,1.20.012,BIRO PRASARANA DAN SARANA KOTA," 5,000,000,000 "," 4,750,407,500 ",95.01%," 2,903,015,250 ",58.06%,89.81%,33.38%
5,3,0,16,1.20.013,BIRO KESEJAHTERAAN SOSIAL," 9,205,000,000 "," 8,741,779,800 ",94.97%," 6,271,545,600 ",68.13%,95.60%,84.02%
1,1,0,17,1.06.001,BADAN PERENCANAAN PEMBANGUNAN DAERAH," 74,042,568,000 "," 27,836,469,740 ",37.60%," 15,093,258,712 ",20.38%,39.01%,27.08%
1,1,0,18,1.20.018,INSPEKTORAT," 22,549,378,388 "," 17,923,961,405 ",79.49%," 13,483,603,166 ",59.80%,69.79%,70.30%
1,1,0,19,1.20.019,BADAN KEPEGAWAIAN DAERAH," 17,026,117,184 "," 12,251,170,103 ",71.96%," 7,284,192,121 ",42.78%,65.44%,65.46%
1,1,0,20,1.19.001,BADAN KESATUAN BANGSA DAN POLITIK," 59,914,380,000 "," 50,037,095,676 ",83.51%," 26,195,071,187 ",43.72%,68.75%,59.34%
2,2,0,21,1.16.001,BADAN PENANAMAN MODAL DAN PROMOSI," 17,756,556,286 "," 10,784,991,603 ",60.74%," 5,378,261,130 ",30.29%,95.16%,71.47%
4,4,0,22,1.08.003,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH," 26,138,698,048 "," 17,489,805,339 ",66.91%," 16,704,092,258 ",63.91%,85.95%,66.83%
1,1,0,24,1.20.014,SATPOL PP," 70,056,524,155 "," 37,929,854,597 ",54.14%," 31,531,896,459 ",45.01%,37.54%,52.21%
1,1,0,25,1.10.001,DINAS KEPENDUDUKAN DAN CATATAN SIPIL," 30,623,591,208 "," 13,257,319,022 ",43.29%," 10,690,302,009 ",34.91%,74.60%,71.59%
