tahun,bulan,daerah_asal,berat_beras
2012,Januari,Jawa Barat dan Pantura,24726
2012,Februari,Jawa Barat dan Pantura,23535
2012,Maret,Jawa Barat dan Pantura,38472
2012,April,Jawa Barat dan Pantura,45229
2012,Mei,Jawa Barat dan Pantura,44641
2012,Juni,Jawa Barat dan Pantura,31525
2012,Juli,Jawa Barat dan Pantura,33784
2012,Agustus,Jawa Barat dan Pantura,29174
2012,September,Jawa Barat dan Pantura,41221
2012,Oktober,Jawa Barat dan Pantura,38801
2012,November,Jawa Barat dan Pantura,38471
2012,Desember,Jawa Barat dan Pantura,27512
2012,Januari,Bandung dan Sekitarnya,5180
2012,Februari,Bandung dan Sekitarnya,4640
2012,Maret,Bandung dan Sekitarnya,8258
2012,April,Bandung dan Sekitarnya,10330
2012,Mei,Bandung dan Sekitarnya,9876
2012,Juni,Bandung dan Sekitarnya,7998
2012,Juli,Bandung dan Sekitarnya,8365
2012,Agustus,Bandung dan Sekitarnya,5843
2012,September,Bandung dan Sekitarnya,7729
2012,Oktober,Bandung dan Sekitarnya,7729
2012,November,Bandung dan Sekitarnya,7815
2012,Desember,Bandung dan Sekitarnya,6572
2012,Januari,Jawa Tengah,11844
2012,Februari,Jawa Tengah,19736
2012,Maret,Jawa Tengah,15400
2012,April,Jawa Tengah,8998
2012,Mei,Jawa Tengah,8103
2012,Juni,Jawa Tengah,16388
2012,Juli,Jawa Tengah,20176
2012,Agustus,Jawa Tengah,9666
2012,September,Jawa Tengah,16401
2012,Oktober,Jawa Tengah,14280
2012,November,Jawa Tengah,17120
2012,Desember,Jawa Tengah,13300
2012,Januari,Jawa Timur,3863
2012,Februari,Jawa Timur,3016
2012,Maret,Jawa Timur,2223
2012,April,Jawa Timur,1637
2012,Mei,Jawa Timur,1570
2012,Juni,Jawa Timur,4175
2012,Juli,Jawa Timur,4296
2012,Agustus,Jawa Timur,1380
2012,September,Jawa Timur,2060
2012,Oktober,Jawa Timur,1039
2012,November,Jawa Timur,3239
2012,Desember,Jawa Timur,5717
2012,Januari,Luar Jawa,1275
2012,Februari,Luar Jawa,4072
2012,Maret,Luar Jawa,2472
2012,April,Luar Jawa,595
2012,Mei,Luar Jawa,26
2012,Juni,Luar Jawa,791
2012,Juli,Luar Jawa,779
2012,Agustus,Luar Jawa,108
2012,September,Luar Jawa,342
2012,Oktober,Luar Jawa,626
2012,November,Luar Jawa,396
2012,Desember,Luar Jawa,158
2012,Januari,Gudang Jakarta,1603
2012,Februari,Gudang Jakarta,3502
2012,Maret,Gudang Jakarta,6298
2012,April,Gudang Jakarta,3816
2012,Mei,Gudang Jakarta,1938
2012,Juni,Gudang Jakarta,8546
2012,Juli,Gudang Jakarta,5655
2012,Agustus,Gudang Jakarta,2151
2012,September,Gudang Jakarta,3244
2012,Oktober,Gudang Jakarta,2114
2012,November,Gudang Jakarta,1025
2012,Desember,Gudang Jakarta,1049
2012,Januari,Bulog,27865
2012,Februari,Bulog,31095
2012,Maret,Bulog,4620
2012,April,Bulog,1420
2012,Mei,Bulog,208
2012,Juni,Bulog,1599
2012,Juli,Bulog,1100
2012,Agustus,Bulog,0
2012,September,Bulog,140
2012,Oktober,Bulog,240
2012,November,Bulog,1175
2012,Desember,Bulog,11703
2012,Januari,Sisa Impor,0
2012,Februari,Sisa Impor,0
2012,Maret,Sisa Impor,0
2012,April,Sisa Impor,0
2012,Mei,Sisa Impor,688
2012,Juni,Sisa Impor,0
2012,Juli,Sisa Impor,0
2012,Agustus,Sisa Impor,0
2012,September,Sisa Impor,0
2012,Oktober,Sisa Impor,0
2012,November,Sisa Impor,0
2012,Desember,Sisa Impor,0
