tahun,bulan,jenis_beras,berat_beras
2012,Januari,Cianjur Kepala,93
2012,Februari,Cianjur Kepala,94
2012,Maret,Cianjur Kepala,181
2012,April,Cianjur Kepala,326
2012,Mei,Cianjur Kepala,320
2012,Juni,Cianjur Kepala,296
2012,Juli,Cianjur Kepala,350
2012,Agustus,Cianjur Kepala,172
2012,September,Cianjur Kepala,124
2012,Oktober,Cianjur Kepala,310
2012,Nopember,Cianjur Kepala,420
2012,Desember,Cianjur Kepala,294
2012,Januari,Cianjur Slyp,193
2012,Februari,Cianjur Slyp,185
2012,Maret,Cianjur Slyp,339
2012,April,Cianjur Slyp,476
2012,Mei,Cianjur Slyp,492
2012,Juni,Cianjur Slyp,356
2012,Juli,Cianjur Slyp,520
2012,Agustus,Cianjur Slyp,222
2012,September,Cianjur Slyp,218
2012,Oktober,Cianjur Slyp,380
2012,Nopember,Cianjur Slyp,504
2012,Desember,Cianjur Slyp,283
2012,Januari,Setra,784
2012,Februari,Setra,689
2012,Maret,Setra,1001
2012,April,Setra,1109
2012,Mei,Setra,2531
2012,Juni,Setra,2172
2012,Juli,Setra,3380
2012,Agustus,Setra,1728
2012,September,Setra,1321
2012,Oktober,Setra,2799
2012,Nopember,Setra,3637
2012,Desember,Setra,1780
2012,Januari,Saigon Bandung,1110
2012,Februari,Saigon Bandung,1005
2012,Maret,Saigon Bandung,1419
2012,April,Saigon Bandung,2775
2012,Mei,Saigon Bandung,3165
2012,Juni,Saigon Bandung,2707
2012,Juli,Saigon Bandung,3806
2012,Agustus,Saigon Bandung,2079
2012,September,Saigon Bandung,1881
2012,Oktober,Saigon Bandung,2799
2012,Nopember,Saigon Bandung,3637
2012,Desember,Saigon Bandung,1780
2012,Januari,Muncul,2184
2012,Februari,Muncul,1853
2012,Maret,Muncul,2683
2012,April,Muncul,3354
2012,Mei,Muncul,3781
2012,Juni,Muncul,3606
2012,Juli,Muncul,3014
2012,Agustus,Muncul,2997
2012,September,Muncul,2690
2012,Oktober,Muncul,3378
2012,Nopember,Muncul,3161
2012,Desember,Muncul,1750
2012,Januari,I.R.,42104
2012,Februari,I.R.,49493
2012,Maret,I.R.,54660
2012,April,I.R.,54502
2012,Mei,I.R.,52307
2012,Juni,I.R.,49980
2012,Juli,I.R.,54200
2012,Agustus,I.R.,36299
2012,September,I.R.,60568
2012,Oktober,I.R.,51582
2012,Nopember,I.R.,55830
2012,Desember,I.R.,46484
2012,Januari,Ketan,420
2012,Februari,Ketan,1680
2012,Maret,Ketan,6542
2012,April,Ketan,4247
2012,Mei,Ketan,1538
2012,Juni,Ketan,1760
2012,Juli,Ketan,2130
2012,Agustus,Ketan,2674
2012,September,Ketan,2200
2012,Oktober,Ketan,1956
2012,Nopember,Ketan,1462
2012,Desember,Ketan,869
2012,Januari,Ketan Impor,1603
2012,Februari,Ketan Impor,3502
2012,Maret,Ketan Impor,6298
2012,April,Ketan Impor,3816
2012,Mei,Ketan Impor,1938
2012,Juni,Ketan Impor,8546
2012,Juli,Ketan Impor,5655
2012,Agustus,Ketan Impor,2151
2012,September,Ketan Impor,2044
2012,Oktober,Ketan Impor,2114
2012,Nopember,Ketan Impor,1025
2012,Desember,Ketan Impor,1049
2012,Januari,Bulog,27865
2012,Februari,Bulog,31095
2012,Maret,Bulog,4620
2012,April,Bulog,1420
2012,Mei,Bulog,290
2012,Juni,Bulog,1599
2012,Juli,Bulog,1100
2012,Agustus,Bulog,0
2012,September,Bulog,140
2012,Oktober,Bulog,240
2012,Nopember,Bulog,1185
2012,Desember,Bulog,11982
2012,Januari,Impor,
2012,Februari,Impor,
2012,Maret,Impor,
2012,April,Impor,
2012,Mei,Impor,688
2012,Juni,Impor,
2012,Juli,Impor,
2012,Agustus,Impor,
2012,September,Impor,
2012,Oktober,Impor,
2012,Nopember,Impor,
2012,Desember,Impor,
