tahun,bulan,pemasukan_pengeluaran,jenis,berat_beras
2012,Januari,Pemasukan,Dalam Negeri,48491
2012,Februari,Pemasukan,Dalam Negeri,58501
2012,Maret,Pemasukan,Dalam Negeri,73123
2012,April,Pemasukan,Dalam Negeri,70605
2012,Mei,Pemasukan,Dalam Negeri,66760
2012,Juni,Pemasukan,Dalam Negeri,69423
2012,Juli,Pemasukan,Dalam Negeri,73055
2012,Agustus,Pemasukan,Dalam Negeri,48322
2012,September,Pemasukan,Dalam Negeri,71046
2012,Oktober,Pemasukan,Dalam Negeri,64589
2012,Nopember,Pemasukan,Dalam Negeri,68056
2012,Desember,Pemasukan,Dalam Negeri,54029
2012,Januari,Pemasukan,Operasi Pasar Bulog,27865
2012,Februari,Pemasukan,Operasi Pasar Bulog,31095
2012,Maret,Pemasukan,Operasi Pasar Bulog,4620
2012,April,Pemasukan,Operasi Pasar Bulog,1420
2012,Mei,Pemasukan,Operasi Pasar Bulog,290
2012,Juni,Pemasukan,Operasi Pasar Bulog,1599
2012,Juli,Pemasukan,Operasi Pasar Bulog,1100
2012,Agustus,Pemasukan,Operasi Pasar Bulog,0
2012,September,Pemasukan,Operasi Pasar Bulog,140
2012,Oktober,Pemasukan,Operasi Pasar Bulog,240
2012,Nopember,Pemasukan,Operasi Pasar Bulog,1185
2012,Desember,Pemasukan,Operasi Pasar Bulog,11982
2012,Januari,Pemasukan,Sisa Impor,
2012,Februari,Pemasukan,Sisa Impor,
2012,Maret,Pemasukan,Sisa Impor,
2012,April,Pemasukan,Sisa Impor,
2012,Mei,Pemasukan,Sisa Impor,688
2012,Juni,Pemasukan,Sisa Impor,
2012,Juli,Pemasukan,Sisa Impor,
2012,Agustus,Pemasukan,Sisa Impor,
2012,September,Pemasukan,Sisa Impor,
2012,Oktober,Pemasukan,Sisa Impor,
2012,Nopember,Pemasukan,Sisa Impor,
2012,Desember,Pemasukan,Sisa Impor,
2012,Januari,Pengeluaran,Dalam Negeri,51325
2012,Februari,Pengeluaran,Dalam Negeri,52632
2012,Maret,Pengeluaran,Dalam Negeri,64725
2012,April,Pengeluaran,Dalam Negeri,62513
2012,Mei,Pengeluaran,Dalam Negeri,69627
2012,Juni,Pengeluaran,Dalam Negeri,72624
2012,Juli,Pengeluaran,Dalam Negeri,72366
2012,Agustus,Pengeluaran,Dalam Negeri,48806
2012,September,Pengeluaran,Dalam Negeri,68611
2012,Oktober,Pengeluaran,Dalam Negeri,56785
2012,Nopember,Pengeluaran,Dalam Negeri,62700
2012,Desember,Pengeluaran,Dalam Negeri,59165
2012,Januari,Pengeluaran,Operasi Pasar Bulog,27308
2012,Februari,Pengeluaran,Operasi Pasar Bulog,32172
2012,Maret,Pengeluaran,Operasi Pasar Bulog,5003
2012,April,Pengeluaran,Operasi Pasar Bulog,384
2012,Mei,Pengeluaran,Operasi Pasar Bulog,237
2012,Juni,Pengeluaran,Operasi Pasar Bulog,911
2012,Juli,Pengeluaran,Operasi Pasar Bulog,824
2012,Agustus,Pengeluaran,Operasi Pasar Bulog,
2012,September,Pengeluaran,Operasi Pasar Bulog,50
2012,Oktober,Pengeluaran,Operasi Pasar Bulog,184
2012,Nopember,Pengeluaran,Operasi Pasar Bulog,730
2012,Desember,Pengeluaran,Operasi Pasar Bulog,9106
2012,Januari,Pengeluaran,Sisa Impor,
2012,Februari,Pengeluaran,Sisa Impor,
2012,Maret,Pengeluaran,Sisa Impor,
2012,April,Pengeluaran,Sisa Impor,
2012,Mei,Pengeluaran,Sisa Impor,360
2012,Juni,Pengeluaran,Sisa Impor,
2012,Juli,Pengeluaran,Sisa Impor,
2012,Agustus,Pengeluaran,Sisa Impor,
2012,September,Pengeluaran,Sisa Impor,
2012,Oktober,Pengeluaran,Sisa Impor,
2012,Nopember,Pengeluaran,Sisa Impor,
2012,Desember,Pengeluaran,Sisa Impor,
