tahun,bulan,Ikan_laut_lokal,Ikan_laut_luar,ikan_darat_lokal,ikan_darat_luar
2011,Januari,"92230,2","93463,4","49,5","18648,4"
2011,Februari,"173910,5","80716,2","580,8","66811,4"
2011,Maret,"152436,6",73814,"775,4","19799,1"
2011,April,"138302,7",51971,"792,9",22880
2011,Mei,"152705,4","62316,2","1017,7",21908
2011,Juni,"147083,3","49061,9","313,5","16074,6"
2011,Juli,"174991,1","53695,2","932,8","22627,3"
2011,Agustus,"182207,1","49061,8","1427,4","19238,8"
2011,September,"153560,4","52523,4","607,9","18507,2"
2011,Oktober,"195000,7","85071,2","601,7",275320
2011,November,"223671,7","103733,5","605,7","17127,1"
2011,Desember,1777019,"75794,3","585,7","19451,6"
