tahun,bulan,Kamal_Muara,Muara_Angke,Pasar_Ikan,Muara_Baru,Cilincing
2011,Januari,35000000,3459162670,42500000,2.0082E+11,34500000
2011,Februari,35850000,2535431400,45000000,3.19374E+11,29000000
2011,Maret,41000000,3155404350,42500000,2.43541E+11,42500000
2011,April,44000000,3876606875,47500000,2.09935E+11,42500000
2011,Mei,42650000,5171800340,42500000,2.32645E+11,45000000
2011,Juni,38750000,5525466625,47500000,2.07077E+11,47500000
2011,Juli,44350000,5859054500,39000000,2.46264E+11,40000000
2011,Agustus,45250000,4929673525,34000000,2.46937E+11,35000000
2011,September,38650000,7829062350,37500000,2.17268E+11,26000000
2011,Oktober,45750000,6861660200,43750000,3.01219E+11,35000000
2011,November,43850000,7321794775,45000000,3.37691E+11,36000000
2011,Desember,47650000,6439162825,47500000,2.66281E+11,35000000
