tahun,jenis_alat,nilai
2009,Payang,246158
2009,Dogol,346385
2009,Pukat Cincin,257617091
2009,Jaring Insan,57448494
2009,Jaring Rampus,-
2009,Jaring Cumi,52800295
2009,Rawai Tuna,260983643
2009,Pancing Cumi,4291437
2009,Pancing  ,44800
2009,Bubu,2973258
2009,Muro Ami,2057082
2009,Lainnya,613092947
2010,Payang,189957
2010,Dogol,237638
2010,Pukat Cincin,181550233
2010,Jaring Insan,48926017
2010,Jaring Rampus,-
2010,Jaring Cumi,43900172
2010,Rawai Tuna,204094981
2010,Pancing Cumi,3826112
2010,Pancing  ,29408
2010,Bubu,2165936
2010,Muro Ami,2298371
2010,Lainnya,683718981
2011,Payang,194730
2011,Dogol,213441
2011,Pukat Cincin,794721359
2011,Jaring Insan,44711014
2011,Jaring Rampus,-
2011,Jaring Cumi,275191069
2011,Rawai Tuna,472287462
2011,Pancing Cumi,10637859
2011,Pancing  ,31550
2011,Bubu,1760220
2011,Muro Ami,-
2011,Lainnya,1493734489
