tahun,jenis_ikan,nilai
2008,Layang,17660543
2008,Bawal,17835559
2008,Kembung,23573247
2008,Selar,11504392
2008,Cumi dan Sotong,29864594
2008,Udang,55852143
2008,Teri,686558
2008,Tongkol,67030958
2008,Lemuru,7437135
2008,Tenggiri,49081562
2008,Layur,7373258
2008,Ekor Kuning,3295751
2008,Ikan Kowe,3437076
2008,Petek/Pepetek,1183064
2008,Manyung,2086624
2008,Cucut,6784448
2008,Pari,1529205
2008,Kakap,15463667
2008,Kerapu,2291375
2008,Kurau Senangin,441251
2008,Belanak,544162
2008,Tembang,2088051
2008,Tuna,178112664
2008,Cakalang,78729386
2008,Lainnya,303750258
2009,Layang,15187497
2009,Bawal,17983533
2009,Kembung,35580854
2009,Selar,18229473
2009,Cumi dan Sotong,49893281
2009,Udang,75366133
2009,Teri,1688599
2009,Tongkol,79073920
2009,Lemuru,5334685
2009,Tenggiri,44008658
2009,Layur,2409757
2009,Ekor Kuning,1410205
2009,Ikan Kowe,3194396
2009,Petek/Pepetek,368767
2009,Manyung,1851005
2009,Cucut,9982174
2009,Pari,1256490
2009,Kakap,11203689
2009,Kerapu,1237440
2009,Kurau Senangin,321498
2009,Belanak,456193
2009,Tembang,4173001
2009,Tuna,273882003
2009,Cakalang,253190665
2009,Lainnya,344620676
2010,Layang,95290574
2010,Bawal,22990356
2010,Kembung,94596497
2010,Selar,27471115
2010,Cumi dan Sotong,193033865
2010,Udang,241396304
2010,Teri,2536176
2010,Tongkol,82287014
2010,Lemuru,8338678
2010,Tenggiri,69389063
2010,Layur,2825157
2010,Ekor Kuning,1236719
2010,Ikan Kowe,3362595
2010,Petek/Pepetek,361147
2010,Manyung,2479066
2010,Cucut,22021636
2010,Pari,774348
2010,Kakap,13515449
2010,Kerapu,2153266
2010,Kurau Senangin,449790
2010,Belanak,682811
2010,Tembang,6921969
2010,Tuna,1262335350
2010,Cakalang,255293046
2010,Lainnya,828989586
2011,Layang,201652349
2011,Bawal,21644545
2011,Kembung,126372111
2011,Selar,29004170
2011,Cumi dan Sotong,262648347
2011,Udang,222587833
2011,Teri,1863515
2011,Tongkol,120931642
2011,Lemuru,10459474
2011,Tenggiri,102871981
2011,Layur,5975972
2011,Ekor Kuning,866181
2011,Ikan Kowe,13508044
2011,Petek/Pepetek,559794
2011,Manyung,40680832
2011,Cucut,19937929
2011,Pari,688500
2011,Kakap,34732270
2011,Kerapu,3127324
2011,Kurau Senangin,1433881
2011,Belanak,1013221
2011,Tembang,6735689
2011,Tuna,918320414
2011,Cakalang,361879795
2011,Lainnya,583987380
