tahun,jenis_ikan,produksi
2008,Layang,"2054,2"
2008,Bawal,"851,18"
2008,Kembung,"2033,76"
2008,Selar,"1452,15"
2008,Cumi dan Sotong,"2437,59"
2008,Udang,"5682,29"
2008,Teri,"265,37"
2008,Tongkol,"6297,51"
2008,Lemuru,"1502,21"
2008,Tenggiri,"2195,37"
2008,Layur,"870,48"
2008,Ekor Kuning,"551,61"
2008,Ikan Kowe,"496,52"
2008,Petek/Pepetek,"212,49"
2008,Manyung,"381,81"
2008,Cucut,"832,85"
2008,Pari,"402,8"
2008,Kakap,"843,29"
2008,Kerapu,"336,24"
2008,Kurau Senangin,"216,97"
2008,Belanak,"237,96"
2008,Tembang,"727,14"
2008,Tuna,"6592,57"
2008,Cakalang,"7533,63"
2008,Lainnya,"35635,99"
2009,Layang,"2138,62"
2009,Bawal,"811,1"
2009,Kembung,"2759,99"
2009,Selar,"2136,87"
2009,Cumi dan Sotong,"4742,64"
2009,Udang,"6300,32"
2009,Teri,"392,8"
2009,Tongkol,"8978,74"
2009,Lemuru,"1267,54"
2009,Tenggiri,"2216,81"
2009,Layur,"395,95"
2009,Ekor Kuning,"438,47"
2009,Ikan Kowe,"432,78"
2009,Petek/Pepetek,"131,2"
2009,Manyung,"395,8"
2009,Cucut,"1328,21"
2009,Pari,"411,17"
2009,Kakap,"726,86"
2009,Kerapu,"276,15"
2009,Kurau Senangin,"188,41"
2009,Belanak,"222,14"
2009,Tembang,"1260,32"
2009,Tuna,"11823,52"
2009,Cakalang,"24626,13"
2009,Lainnya,"38178,88"
2010,Layang,"9143,8"
2010,Bawal,"1023,86"
2010,Kembung,"6014,67"
2010,Selar,"2686,58"
2010,Cumi dan Sotong,"10745,84"
2010,Udang,"6468,62"
2010,Teri,"439,88"
2010,Tongkol,"7754,81"
2010,Lemuru,"1583,4"
2010,Tenggiri,"3194,81"
2010,Layur,"406,61"
2010,Ekor Kuning,"459,97"
2010,Ikan Kowe,"483,94"
2010,Petek/Pepetek,"269,6"
2010,Manyung,"468,47"
2010,Cucut,"1951,4"
2010,Pari,"239,1"
2010,Kakap,"816,38"
2010,Kerapu,"309,25"
2010,Kurau  Senangin,"216,9"
2010,Belanak,"244,5"
2010,Tembang,"1729,17"
2010,Tuna,"26548,52"
2010,Cakalang,"21777,66"
2010,Lainnya,"68072,57"
2011,Layang,"21424,"
2011,Bawal,"1133,9"
2011,Kembung,"12083,73"
2011,Selar,"3389,3"
2011,Cumi dan Sotong,"16275,26"
2011,Udang,"6874,2"
2011,Teri,"468,61"
2011,Tongkol,"10830,8"
2011,Lemuru,"2302,59"
2011,Tenggiri,"4219,48"
2011,Layur,"845,98"
2011,Ekor Kuning,"452,21"
2011,Ikan Kowe,"1087,89"
2011,Petek/Pepetek,"195,99"
2011,Manyung,"1788,17"
2011,Cucut,"2606,26"
2011,Pari,"187,91"
2011,Kakap,"1936,79"
2011,Kerapu,"337,7"
2011,Kurau Senangin,"237,38"
2011,Belanak,"308,35"
2011,Tembang,"1523,5"
2011,Tuna,"31736,56"
2011,Cakalang,"33916,5"
2011,Lainnya,"48203,36"
