tahun,jenis_tanaman,jumlah_pohon,produksi
2007,Alpukat,426,468
2007,Mangga,28567,18165
2007,Rambutan,16035,11444
2007,Duku/Langsat,4200,606
2007,Jeruk,0,0
2007,Durian,1800,666
2007,Jambu Biji,16601,8351
2007,Jambu Air,20852,10589
2007,Sawo,2605,1713
2007,Pepaya,9599,8482
2007,Pisang,33926,10407
2007,Salak,5825,860
2007,Belimbing,54125,32263
2007,Nangka,5706,7019
2007,Sirsak,325,141
2007,Sukun,895,413
2008,Alpukat,869,493
2008,Mangga,60604,26911
2008,Rambutan,25335,6946
2008,Duku/Langsat,1200,600
2008,Jeruk,110,32
2008,Durian,2845,1291
2008,Jambu Biji,19138,5920
2008,Jambu Air,27358,5591
2008,Sawo,2882,1654
2008,Pepaya,16811,5075
2008,Pisang,44950,16954
2008,Salak,36989,720
2008,Belimbing,88993,33633
2008,Nangka,6786,3680
2008,Sirsak,495,219
2008,Sukun,1319,560
2009,Alpukat,439,484
2009,Mangga,35418,27830
2009,Rambutan,24324,6154
2009,Duku/Langsat,1243,825
2009,Jeruk,185,107
2009,Durian,3394,2876
2009,Jambu Biji,14488,7951
2009,Jambu Air,18448,4868
2009,Sawo,3370,2532
2009,Pepaya,14965,6921
2009,Pisang,36906,10302
2009,Salak,3410,284
2009,Belimbing,89064,47719
2009,Nangka,10024,4417
2009,Sirsak,332,311
2009,Sukun,1292,803
2010,Alpukat,458,511
2010,Mangga,53470,33076
2010,Rambutan,24261,7867
2010,Duku/Langsat,1243,517
2010,Jeruk,440,149
2010,Durian,2664,2585
2010,Jambu Biji,22595,7760
2010,Jambu Air,30738,5731
2010,Sawo,3100,1121
2010,Pepaya,12988,5428
2010,Pisang,36037,7461
2010,Salak,3440,379
2010,Belimbing,108145,48853
2010,Nangka,9983,4341
2010,Sirsak,260,20
2010,Sukun,1285,262
2011,Alpukat,608,538
2011,Mangga,47523,36021
2011,Rambutan,20767,7687
2011,Duku/Langsat,653,472
2011,Jeruk,365,372
2011,Durian,2954,2262
2011,Jambu Biji,21039,7761
2011,Jambu Air,19268,6200
2011,Sawo,2587,1446
2011,Pepaya,11912,3407
2011,Pisang,35549,6949
2011,Salak,4239,312
2011,Belimbing,89173,56163
2011,Nangka,10201,5333
2011,Sirsak,214,20
2011,Sukun,1068,164
