tahun,jenis_tanaman,luas_panen,produksi
2007,Bayam,1165,8874
2007,Kangkung,1694,49469
2007,Kacang Panjang,78,0
2007,Ketimun,59,0
2007,Terung,14,0
2007,Sawi,696,36125
2007,Cabe,2,4
2007,Tomat,-,-
2008,Bayam,858,3403
2008,Kangkung,1136,9492
2008,Kacang Panjang,20,105
2008,Ketimun,14,98
2008,Terung,5,54
2008,Sawi,591,3611
2008,Cabe,2,-
2008,Tomat,-,-
2009,Bayam,1014,5074
2009,Kangkung,1284,13477
2009,Kacang Panjang,19,103
2009,Ketimun,16,169
2009,Terung,10,95
2009,Sawi,824,9615
2009,Cabe,-,-
2009,Tomat,-,-
2010,Bayam,1045,5607
2010,Kangkung,1257,17579
2010,Kacang Panjang,18,158
2010,Ketimun,12,73
2010,Terung,9,87
2010,Sawi,983,12441
2010,Cabe,-,-
2010,Tomat,-,-
2011,Bayam,728,2552
2011,Kangkung,1008,7970
2011,Kacang Panjang,6,1
2011,Ketimun,20,23
2011,Terung,3,1
2011,Sawi,722,5332
2011,Cabe,-,-
2011,Tomat,-,-
