tahun,nama_kabkota,jenis_tanaman,luas_panen,produksi
2011,Jakarta Selatan,Bayam,-,-
2011,Jakarta Selatan,Kangkung,-,-
2011,Jakarta Selatan,Kacang Panjang,-,-
2011,Jakarta Selatan,Ketimun,-,-
2011,Jakarta Selatan,Terung,-,-
2011,Jakarta Selatan,Sawi,-,-
2011,Jakarta Timur,Bayam,403,14680
2011,Jakarta Timur,Kangkung,420,22349
2011,Jakarta Timur,Kacang Panjang,-,-
2011,Jakarta Timur,Ketimun,-,-
2011,Jakarta Timur,Terung,-,-
2011,Jakarta Timur,Sawi,404,22753
2011,Jakarta Pusat,Bayam,-,-
2011,Jakarta Pusat,Kangkung,-,-
2011,Jakarta Pusat,Kacang Panjang,-,-
2011,Jakarta Pusat,Ketimun,-,-
2011,Jakarta Pusat,Terung,-,-
2011,Jakarta Pusat,Sawi,-,-
2011,Jakarta Barat,Bayam,255,7689
2011,Jakarta Barat,Kangkung,266,20124
2011,Jakarta Barat,Kacang Panjang,4,10
2011,Jakarta Barat,Ketimun,20,229
2011,Jakarta Barat,Terung,1,1
2011,Jakarta Barat,Sawi,249,25689
2011,Jakarta Utara,Bayam,69,3139
2011,Jakarta Utara,Kangkung,318,37200
2011,Jakarta Utara,Kacang Panjang,-,-
2011,Jakarta Utara,Ketimun,-,-
2011,Jakarta Utara,Terung,-,-
2011,Jakarta Utara,Sawi,69,4880
