tahun,jenis_tanaman,luas_panen,produksi,rata_produksi
2007,Padi Sawah,1544,8002,"51,83"
2007,Jagung ,20,39,"19,5"
2007,Ketela Pohon,54,628,"116,3"
2007,Kacang Tanah,18,18,10
2008,Padi Sawah,1640,8352,"50,93"
2008,Jagung ,20,39,"19,5"
2008,Ketela Pohon,39,454,"116,41"
2008,Kacang Tanah,17,17,10
2009,Padi Sawah,1974,11013,"55,79"
2009,Jagung ,16,32,"20,2"
2009,Ketela Pohon,26,305,"117,37"
2009,Kacang Tanah,9,9,"9,97"
2010,Padi Sawah,2015,11164,"55,41"
2010,Jagung ,15,31,"20,6"
2010,Ketela Pohon,25,290,"115,93"
2010,Kacang Tanah,9,9,"11,14"
2011,Padi Sawah,1723,9516,"55,23"
2011,Jagung ,12,23,"19,6"
2011,Ketela Pohon,15,176,"117,37"
2011,Kacang Tanah,7,7,"9,95"
