tahun,klasifikasi_industri,jenis_bahan_bakar,jumlah_pemakaian
2011,Makanan,Bensin,2007957
2011,Minuman,Bensin,134118
2011,Tekstil,Bensin,849326
2011,Pakaian Jadi,Bensin,5448710
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Bensin,260642
2011,"Kayu, Barang dari Kayu dan Gabus",Bensin,113650
2011,Kertas dan Barang dari Kertas,Bensin,423618
2011,Percetakan dan Reproduksi Media Rekaman,Bensin,8587924
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Bensin,3161453
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Bensin,503639
2011,"Karet, Barang dari Karet dan Plastik",Bensin,1341669
2011,Barang Galian Bukan Logam,Bensin,27624
2011,Logam Dasar,Bensin,225978
2011,Barang Logam Bukan Mesin dan Peralatannya,Bensin,2660924
2011,"Komputer, Barang Elektronik dan Optik",Bensin,153299
2011,Peralatan Listrik,Bensin,566126
2011,Mesin dan Perlengkapan ytdi,Bensin,2255924
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Bensin,9922719
2011,Alat Angkutan Lainnya,Bensin,798905
2011,Furnitur,Bensin,184113
2011,Pengolahan Lainnya,Bensin,504664
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Bensin,43032
2011,Makanan,Minyak Solar,10192476
2011,Minuman,Minyak Solar,707637
2011,Tekstil,Minyak Solar,531702
2011,Pakaian Jadi,Minyak Solar,9859932
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Minyak Solar,472680
2011,"Kayu, Barang dari Kayu dan Gabus",Minyak Solar,550612
2011,Kertas dan Barang dari Kertas,Minyak Solar,394460
2011,Percetakan dan Reproduksi Media Rekaman,Minyak Solar,10879917
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Minyak Solar,8098152
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Minyak Solar,21774620
2011,"Karet, Barang dari Karet dan Plastik",Minyak Solar,3801577
2011,Barang Galian Bukan Logam,Minyak Solar,2746752
2011,Logam Dasar,Minyak Solar,9155854
2011,Barang Logam Bukan Mesin dan Peralatannya,Minyak Solar,2384876
2011,"Komputer, Barang Elektronik dan Optik",Minyak Solar,342658
2011,Peralatan Listrik,Minyak Solar,1587096
2011,Mesin dan Perlengkapan ytdi,Minyak Solar,272467
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Minyak Solar,35694760
2011,Alat Angkutan Lainnya,Minyak Solar,4358178
2011,Furnitur,Minyak Solar,461292
2011,Pengolahan Lainnya,Minyak Solar,393700
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Minyak Solar,62148
2011,Makanan,Pelumas,110753
2011,Minuman,Pelumas,16031
2011,Tekstil,Pelumas,101212
2011,Pakaian Jadi,Pelumas,156688
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Pelumas,17626
2011,"Kayu, Barang dari Kayu dan Gabus",Pelumas,10100
2011,Kertas dan Barang dari Kertas,Pelumas,27402
2011,Percetakan dan Reproduksi Media Rekaman,Pelumas,421979
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Pelumas,132075
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Pelumas,190066
2011,"Karet, Barang dari Karet dan Plastik",Pelumas,175990
2011,Barang Galian Bukan Logam,Pelumas,41334
2011,Logam Dasar,Pelumas,427441
2011,Barang Logam Bukan Mesin dan Peralatannya,Pelumas,428774
2011,"Komputer, Barang Elektronik dan Optik",Pelumas,2491
2011,Peralatan Listrik,Pelumas,596295
2011,Mesin dan Perlengkapan ytdi,Pelumas,194642
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Pelumas,3584900
2011,Alat Angkutan Lainnya,Pelumas,13364
2011,Furnitur,Pelumas,14909
2011,Pengolahan Lainnya,Pelumas,21147
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Pelumas,548
