"Wilayah","Komoditi","Harga","Satuan","Tanggal","Bulan"
"Jakarta Utara","Beras Kualitas Sedang",11335,"Kg",2015-03-01,"03"
"Jakarta Selatan","Beras Kualitas Sedang",10450,"Kg",2015-03-01,"03"
"Jakarta Barat","Beras Kualitas Sedang",11393,"Kg",2015-03-01,"03"
"Jakarta Timur","Beras Kualitas Sedang",9848,"Kg",2015-03-01,"03"
"Jakarta Pusat","Beras Kualitas Sedang",12265,"Kg",2015-03-01,"03"
"Jakarta Utara","Daging Sapi",105673,"Kg",2015-03-01,"03"
"Jakarta Selatan","Daging Sapi",105000,"Kg",2015-03-01,"03"
"Jakarta Barat","Daging Sapi",120000,"Kg",2015-03-01,"03"
"Jakarta Timur","Daging Sapi",117935,"Kg",2015-03-01,"03"
"Jakarta Pusat","Daging Sapi",112292,"Kg",2015-03-01,"03"
"Jakarta Utara","Gula",11500,"Kg",2015-03-01,"03"
"Jakarta Selatan","Gula",12795,"Kg",2015-03-01,"03"
"Jakarta Barat","Gula",11223,"Kg",2015-03-01,"03"
"Jakarta Timur","Gula",11018,"Kg",2015-03-01,"03"
"Jakarta Pusat","Gula",12250,"Kg",2015-03-01,"03"
"Jakarta Utara","Cabe",24481,"Kg",2015-03-01,"03"
"Jakarta Selatan","Cabe",25334,"Kg",2015-03-01,"03"
"Jakarta Barat","Cabe",21970,"Kg",2015-03-01,"03"
"Jakarta Timur","Cabe",23577,"Kg",2015-03-01,"03"
"Jakarta Pusat","Cabe",24491,"Kg",2015-03-01,"03"
"Jakarta Utara","Bawang Merah",30462,"Kg",2015-03-01,"03"
"Jakarta Selatan","Bawang Merah",31631,"Kg",2015-03-01,"03"
"Jakarta Barat","Bawang Merah",33261,"Kg",2015-03-01,"03"
"Jakarta Timur","Bawang Merah",29499,"Kg",2015-03-01,"03"
"Jakarta Pusat","Bawang Merah",28116,"Kg",2015-03-01,"03"
"Jakarta Utara","Minyak Goreng",11308,"Liter",2015-03-01,"03"
"Jakarta Selatan","Minyak Goreng",12027,"Liter",2015-03-01,"03"
"Jakarta Barat","Minyak Goreng",11750,"Liter",2015-03-01,"03"
"Jakarta Timur","Minyak Goreng",11215,"Liter",2015-03-01,"03"
"Jakarta Pusat","Minyak Goreng",11500,"Liter",2015-03-01,"03"
"Jakarta Utara","Daging Ayam",28039,"Kg",2015-03-01,"03"
"Jakarta Selatan","Daging Ayam",34965,"Kg",2015-03-01,"03"
"Jakarta Barat","Daging Ayam",29718,"Kg",2015-03-01,"03"
"Jakarta Timur","Daging Ayam",25083,"Kg",2015-03-01,"03"
"Jakarta Pusat","Daging Ayam",28000,"Kg",2015-03-01,"03"
"Jakarta Utara","Telur",19116,"Kg",2015-03-01,"03"
"Jakarta Selatan","Telur",19256,"Kg",2015-03-01,"03"
"Jakarta Barat","Telur",19457,"Kg",2015-03-01,"03"
"Jakarta Timur","Telur",20123,"Kg",2015-03-01,"03"
"Jakarta Pusat","Telur",20077,"Kg",2015-03-01,"03"
"Jakarta Utara","Beras Kualitas Sedang",10692,"kg",2015-04-01,"04"
"Jakarta Selatan","Beras Kualitas Sedang",11325,"kg",2015-04-01,"04"
"Jakarta Barat","Beras Kualitas Sedang",9850,"kg",2015-04-01,"04"
"Jakarta Timur","Beras Kualitas Sedang",9346,"kg",2015-04-01,"04"
"Jakarta Pusat","Beras Kualitas Sedang",11650,"kg",2015-04-01,"04"
"Jakarta Utara","Daging Sapi",105892,"kg",2015-04-01,"04"
"Jakarta Selatan","Daging Sapi",105000,"kg",2015-04-01,"04"
"Jakarta Barat","Daging Sapi",120000,"kg",2015-04-01,"04"
"Jakarta Timur","Daging Sapi",112584,"kg",2015-04-01,"04"
"Jakarta Pusat","Daging Sapi",110500,"kg",2015-04-01,"04"
"Jakarta Utara","Gula",12022,"kg",2015-04-01,"04"
"Jakarta Selatan","Gula",13033,"kg",2015-04-01,"04"
"Jakarta Barat","Gula",11734,"kg",2015-04-01,"04"
"Jakarta Timur","Gula",11479,"kg",2015-04-01,"04"
"Jakarta Pusat","Gula",12250,"kg",2015-04-01,"04"
"Jakarta Utara","Cabe",21786,"kg",2015-04-01,"04"
"Jakarta Selatan","Cabe",24423,"kg",2015-04-01,"04"
"Jakarta Barat","Cabe",19967,"kg",2015-04-01,"04"
"Jakarta Timur","Cabe",24367,"kg",2015-04-01,"04"
"Jakarta Pusat","Cabe",23362,"kg",2015-04-01,"04"
"Jakarta Utara","Bawang Merah",31613,"kg",2015-04-01,"04"
"Jakarta Selatan","Bawang Merah",31552,"kg",2015-04-01,"04"
"Jakarta Barat","Bawang Merah",31512,"kg",2015-04-01,"04"
"Jakarta Timur","Bawang Merah",29392,"kg",2015-04-01,"04"
"Jakarta Pusat","Bawang Merah",31311,"kg",2015-04-01,"04"
"Jakarta Utara","Minyak Goreng",11044,"liter",2015-04-01,"04"
"Jakarta Selatan","Minyak Goreng",12034,"liter",2015-04-01,"04"
"Jakarta Barat","Minyak Goreng",11634,"liter",2015-04-01,"04"
"Jakarta Timur","Minyak Goreng",11013,"liter",2015-04-01,"04"
"Jakarta Pusat","Minyak Goreng",11250,"liter",2015-04-01,"04"
"Jakarta Utara","Daging Ayam",28834,"kg",2015-04-01,"04"
"Jakarta Selatan","Daging Ayam",29984,"kg",2015-04-01,"04"
"Jakarta Barat","Daging Ayam",29300,"kg",2015-04-01,"04"
"Jakarta Timur","Daging Ayam",25671,"kg",2015-04-01,"04"
"Jakarta Pusat","Daging Ayam",28000,"kg",2015-04-01,"04"
"Jakarta Utara","Telur",18281,"kg",2015-04-01,"04"
"Jakarta Selatan","Telur",18440,"kg",2015-04-01,"04"
"Jakarta Barat","Telur",18853,"kg",2015-04-01,"04"
"Jakarta Timur","Telur",18850,"kg",2015-04-01,"04"
"Jakarta Pusat","Telur",18500,"kg",2015-04-01,"04"
"Jakarta Utara","Beras Kualitas Sedang",10370,"kg",2015-05-01,"05"
"Jakarta Selatan","Beras Kualitas Sedang",11292,"kg",2015-05-01,"05"
"Jakarta Barat","Beras Kualitas Sedang",10000,"kg",2015-05-01,"05"
"Jakarta Timur","Beras Kualitas Sedang",9623,"kg",2015-05-01,"05"
"Jakarta Pusat","Beras Kualitas Sedang",11650,"kg",2015-05-01,"05"
"Jakarta Utara","Daging Sapi",106467,"kg",2015-05-01,"05"
"Jakarta Selatan","Daging Sapi",105000,"kg",2015-05-01,"05"
"Jakarta Barat","Daging Sapi",117923,"kg",2015-05-01,"05"
"Jakarta Timur","Daging Sapi",115059,"kg",2015-05-01,"05"
"Jakarta Pusat","Daging Sapi",111875,"kg",2015-05-01,"05"
"Jakarta Utara","Gula",12500,"kg",2015-05-01,"05"
"Jakarta Selatan","Gula",13000,"kg",2015-05-01,"05"
"Jakarta Barat","Gula",11894,"kg",2015-05-01,"05"
"Jakarta Timur","Gula",11861,"kg",2015-05-01,"05"
"Jakarta Pusat","Gula",12268,"kg",2015-05-01,"05"
"Jakarta Utara","Cabe",26415,"kg",2015-05-01,"05"
"Jakarta Selatan","Cabe",25839,"kg",2015-05-01,"05"
"Jakarta Barat","Cabe",26984,"kg",2015-05-01,"05"
"Jakarta Timur","Cabe",29224,"kg",2015-05-01,"05"
"Jakarta Pusat","Cabe",28813,"kg",2015-05-01,"05"
"Jakarta Utara","Bawang Merah",34083,"kg",2015-05-01,"05"
"Jakarta Selatan","Bawang Merah",34850,"kg",2015-05-01,"05"
"Jakarta Barat","Bawang Merah",36609,"kg",2015-05-01,"05"
"Jakarta Timur","Bawang Merah",32595,"kg",2015-05-01,"05"
"Jakarta Pusat","Bawang Merah",32232,"kg",2015-05-01,"05"
"Jakarta Utara","Minyak Goreng",11050,"liter",2015-05-01,"05"
"Jakarta Selatan","Minyak Goreng",12250,"liter",2015-05-01,"05"
"Jakarta Barat","Minyak Goreng",11500,"liter",2015-05-01,"05"
"Jakarta Timur","Minyak Goreng",11109,"liter",2015-05-01,"05"
"Jakarta Pusat","Minyak Goreng",11250,"liter",2015-05-01,"05"
"Jakarta Utara","Daging Ayam",29934,"kg",2015-05-01,"05"
"Jakarta Selatan","Daging Ayam",30587,"kg",2015-05-01,"05"
"Jakarta Barat","Daging Ayam",30635,"kg",2015-05-01,"05"
"Jakarta Timur","Daging Ayam",25340,"kg",2015-05-01,"05"
"Jakarta Pusat","Daging Ayam",28500,"kg",2015-05-01,"05"
"Jakarta Utara","Telur",20551,"kg",2015-05-01,"05"
"Jakarta Selatan","Telur",20011,"kg",2015-05-01,"05"
"Jakarta Barat","Telur",20334,"kg",2015-05-01,"05"
"Jakarta Timur","Telur",20389,"kg",2015-05-01,"05"
"Jakarta Pusat","Telur",20009,"kg",2015-05-01,"05"
"Jakarta Utara","Beras Kualitas Sedang",9687,"Kg",2015-06-01,"06"
"Jakarta Selatan","Beras Kualitas Sedang",11200,"Kg",2015-06-01,"06"
"Jakarta Barat","Beras Kualitas Sedang",9558,"Kg",2015-06-01,"06"
"Jakarta Timur","Beras Kualitas Sedang",9398,"Kg",2015-06-01,"06"
"Jakarta Pusat","Beras Kualitas Sedang",11650,"Kg",2015-06-01,"06"
"Jakarta Utara","Daging Sapi",110198,"Kg",2015-06-01,"06"
"Jakarta Selatan","Daging Sapi",106397,"Kg",2015-06-01,"06"
"Jakarta Barat","Daging Sapi",120000,"Kg",2015-06-01,"06"
"Jakarta Timur","Daging Sapi",108261,"Kg",2015-06-01,"06"
"Jakarta Pusat","Daging Sapi",112500,"Kg",2015-06-01,"06"
"Jakarta Utara","Gula",12455,"Kg",2015-06-01,"06"
"Jakarta Selatan","Gula",13000,"Kg",2015-06-01,"06"
"Jakarta Barat","Gula",12422,"Kg",2015-06-01,"06"
"Jakarta Timur","Gula",12209,"Kg",2015-06-01,"06"
"Jakarta Pusat","Gula",12750,"Kg",2015-06-01,"06"
"Jakarta Utara","Cabe",30377,"Kg",2015-06-01,"06"
"Jakarta Selatan","Cabe",34801,"Kg",2015-06-01,"06"
"Jakarta Barat","Cabe",30644,"Kg",2015-06-01,"06"
"Jakarta Timur","Cabe",28373,"Kg",2015-06-01,"06"
"Jakarta Pusat","Cabe",32895,"Kg",2015-06-01,"06"
"Jakarta Utara","Bawang Merah",33624,"Kg",2015-06-01,"06"
"Jakarta Selatan","Bawang Merah",35838,"Kg",2015-06-01,"06"
"Jakarta Barat","Bawang Merah",33697,"Kg",2015-06-01,"06"
"Jakarta Timur","Bawang Merah",31754,"Kg",2015-06-01,"06"
"Jakarta Pusat","Bawang Merah",33916,"Kg",2015-06-01,"06"
