"jenis_komoditas","volume","nilai"
"Barang-barang Rajutan",94.69,2017.79
"Pakaian Jadi Bukan Rajutan",541.72,2240.81
"Alas Kaki",215824.4,634642.96
"Mesin-mesin/Pesawat Mekanik",22641.07,173889.71
"Mesin/Peralatan Listrik",4831.93,5980.08
"Kendaraan dan Bagiannya",7551.11,12105.66
"Barang-barang Rajutan",23887.25,19948.08
"Pakaian Jadi Bukan Rajutan",66009.25,57926.67
"Alas Kaki",82826.39,284759.55
"Mesin-mesin/Pesawat Mekanik",386.95,861.42
"Mesin/Peralatan Listrik",60805.46,37951.08
"Kendaraan dan Bagiannya",5858.97,15165.76
"Binatang Hidup",11225.44,21765.33
"Daging Hewan",3165.14,4422.31
"Ikan dan Udang",717915.8,774358.91
"Susu, Mentega, Telur",20343.91,96443.84
"Produk Hewani",41745.46,103017.54
"Pohon Hidup dan Bunga Potong",105993.13,373804.59
"Sayuran",179522.29,400901.67
"Buah-buahan",5946.24,7501.03
"Kopi, The, Rempah-rempah",115724.17,394298.11
"Gandum-ganduman",96778.24,77937.46
"Hasil Penggilingan",234686.33,55987.68
"Biji-bijian Berminyak",3125.76,37305.74
"Lak, Getah dan Damar",357065.63,22144.55
"Bahan-bahan Nabati",163298.96,54037.92
"Daging dan Ikan Olahan",84361.74,101012.14
"Gula dan Kembang Gula",201254.36,75103.27
"Kakao",162664.2,390898.64
"Olahan dari Tepung",16611.5,328898.64
"Olahan dari Buah-buahan",28060.43,12214.05
"Berbagai Makanan Olahan",71392.2,242294.28
"Minuman",88051.79,378373.65
"Ampas",309521.7,402714.59
"Tembakau",32741.62,34898.51
"Garam, Belerang, Kapur",3815.63,4961.99
"Bijih, Kerak dan Abu Logam",171.71,719.09
"Bahan Bakar Mineral",395243.65,464319.19
"Bahan Kimia Anorgani",989192.08,1934443.29
"Bahan Kimia Organik",500288.98,2140778.92
"Produk Industri Farmasi",5090.66,70190.24
"Pupuk",14417.07,243275.45
"Sari Bahan Samak & Celup",132.18,1241.18
"Minyak Atsiri, Kosmetik Wangi-wangian",353351.02,401522.05
"Sabun dan Preparat Pembersih",19.38,36.28
"Perekat, Enzim",5799.76,25215.33
"Bahan Peledak",3849.41,1188.34
"Barang-barang Fotografi",1522428.26,1570781.53
"Berbagai Produk Kimia",7402.3,24774.54
"Jangat dan Kulit Mentah",3.85,20.62
"Barang-barang dari Kulit",310.67,1074.21
"Kulit Berbulu",108140.19,539072.83
"Kayu, Barang dari Kayu",11490.72,5282.6
"Gabus dan Barang-barang Gabus",273368.27,1233189.23
"Jerami",560242.52,1792726.1
"Bubur Kayu",8950.73,45640.47
"Buku dan Barang Cetakan",12342.93,31644.26
"Sutera",4250.11,50319.34
"Wol, Bulu Hewan",22883.44,112521.7
"Kapas",12691.12,84808.05
"Serat Tekstil dan Barang Kertas",207565.56,3119664.82
"Kapas Gumpalan",162230.81,3281853.06
"Permadani",63598.71,134623.63
"Kain Tenunan Khusus",163516.55,2756790.4
"Kain Ditenun Berlapis",1649.56,23162.17
"Kain Rajutan",412.68,2620.05
"Kain Perca",9624.98,221101.74
"Tutup Kepala",142864.12,68215.13
"Payung",293059.51,302190.53
"Bulu Unggas",475346.67,259605.94
"Benda-benda dari Batu, Gips dan Semen",4056.31,1760235.3
"Produk Keramik",367575.96,338748.07
"Kaca & Barang dari Kaca",262951.15,503285
"Besi dan Baja",127801.53,1111237.23
"Benda-benda dari Besi dan Baja",880.58,5724.1
"Nikel",45574.99,147545.8
"Alumunium",601.57,1228.98
"Timah Hitam",1064.87,1311.03
"Seng",8046.04,186191.35
"Timah",316.01,4973.03
"Logam dasar Lainnya",4423,50028.05
"Perkakas, Perangkat Potong",54833.3,244680.85
"Berbagai Barang Logam Dasa",425594.7,3491954.57
"Lokomotif dan Peralatan Kereta Api",472300.3,7281766.89
"Kapal Terbang dan Bagiannya",2641.56,10366.69
"Kapal Laut dan Bangunan Terapung",316010.95,2830214.7
"Perangkat Optik",1763.68,115703.57
"Lonceng, Arloji dan Bagiannya",36461.79,31196.38
"Perangkat Musik",8653.23,244035.77
"Senjata/Amunisi",119.02,2265.8
"Perabot, Penerangan Rumah",57038.96,379217.75
"Maianan",30.85,1114.13
"Berbagai Barang Buatan Pabrik",189423.93,578684.03
"Hasil Karya Seni",28936.61,301562.59
"Kendaraan Bermotor/Komponen, Terbongkar",35570.14,256560
"Binatang Hidup",380.38,8647.46
"Daging Hewan",110.25,995.75
"Susu, Mentega, Telur",139.32,2534.71
"Produk Hewani",413,1792.52
"Pohon Hidup dan Bunga Potong",245838.66,881896.36
"Sayuran",22484.19,133228.44
"Buah-buahan",5017.42,6101.36
"Kopi, The, Rempah-rempah",6766.2,14043.57
"Gandum-ganduman",33831.31,26428.11
"Hasil Penggilingan",66654.54,53802.17
"Biji-bijian Berminyak",79540.59,283768.41
"Lak, Getah dan Damar",596.22,923.49
"Bahan-bahan Nabati",69970.42,37956.12
