tahun,bulan,golongan_barang,nilai_fob,satuan
2014.0,September,Mesin-mesin / Pesawat Mekanik,1419.65,Juta US$
2014.0,Agustus,Mesin-mesin / Pesawat Mekanik,1414.59,Juta US$
2013.0,September,Mesin-mesin / Pesawat Mekanik,1534.66,Juta US$
2014.0,September,Mesin / Peralatan Listrik,990.33,Juta US$
2014.0,Agustus,Mesin / Peralatan Listrik,1041.56,Juta US$
2013.0,September,Mesin / Peralatan Listrik,1158.85,Juta US$
2014.0,September,Kendaraan dan Bagiannya,544.07,Juta US$
2014.0,Agustus,Kendaraan dan Bagiannya,474.05,Juta US$
2013.0,September,Kendaraan dan Bagiannya,569.06,Juta US$
2014.0,September,Palastik dan Barang dari Plastik,462.5,Juta US$
2014.0,Agustus,Palastik dan Barang dari Plastik,435.96,Juta US$
2013.0,September,Palastik dan Barang dari Plastik,463.76,Juta US$
2014.0,September,Bahan Bakar Mineral,427.48,Juta US$
2014.0,Agustus,Bahan Bakar Mineral,277.57,Juta US$
2013.0,September,Bahan Bakar Mineral,384.13,Juta US$
2014.0,September,Besi dan Baja,389.16,Juta US$
2014.0,Agustus,Besi dan Baja,297.69,Juta US$
2013.0,September,Besi dan Baja,449.55,Juta US$
2014.0,September,Bahan Kimia Organik,194.72,Juta US$
2014.0,Agustus,Bahan Kimia Organik,202.09,Juta US$
2013.0,September,Bahan Kimia Organik,192.92,Juta US$
2014.0,September,Benda-benda dari Besi dan Baja,156.64,Juta US$
2014.0,Agustus,Benda-benda dari Besi dan Baja,147.68,Juta US$
2013.0,September,Benda-benda dari Besi dan Baja,159.9,Juta US$
2014.0,September,Bubur Kayu/ Pulp,145.21,Juta US$
2014.0,Agustus,Bubur Kayu/ Pulp,89.79,Juta US$
2013.0,September,Bubur Kayu/ Pulp,119.28,Juta US$
2014.0,September,Kapas,143.26,Juta US$
2014.0,Agustus,Kapas,127.98,Juta US$
2013.0,September,Kapas,175.31,Juta US$
