tahun,bulan,golongan_barang,nilai_fob,satuan
2014.0,Mei ,Mesin-mesin / Pesawat Mekanik,1284.62,Juta US$
2014.0,April ,Mesin-mesin / Pesawat Mekanik,1565.09,Juta US$
2013.0,Mei ,Mesin-mesin / Pesawat Mekanik,1514.55,Juta US$
2014.0,Mei ,Mesin / Peralatan Listrik,1048.21,Juta US$
2014.0,April ,Mesin / Peralatan Listrik,1269.08,Juta US$
2013.0,Mei ,Mesin / Peralatan Listrik,1215.4,Juta US$
2014.0,Mei ,Kendaraan dan Bagiannya,434.79,Juta US$
2014.0,April ,Kendaraan dan Bagiannya,498.57,Juta US$
2013.0,Mei ,Kendaraan dan Bagiannya,672.79,Juta US$
2014.0,Mei ,Palastik dan Barang dari Plastik,422.46,Juta US$
2014.0,April ,Palastik dan Barang dari Plastik,484.84,Juta US$
2013.0,Mei ,Palastik dan Barang dari Plastik,483.38,Juta US$
2014.0,Mei ,Besi dan Baja,347.78,Juta US$
2014.0,April ,Besi dan Baja,399.69,Juta US$
2013.0,Mei ,Besi dan Baja,524.02,Juta US$
2014.0,Mei ,Bahan Bakar Mineral,292.65,Juta US$
2014.0,April ,Bahan Bakar Mineral,322.6,Juta US$
2013.0,Mei ,Bahan Bakar Mineral,377.73,Juta US$
2014.0,Mei ,Bahan Kimia Organik,189.41,Juta US$
2014.0,April ,Bahan Kimia Organik,227.98,Juta US$
2013.0,Mei ,Bahan Kimia Organik,262.69,Juta US$
2014.0,Mei ,Kapas,168.09,Juta US$
2014.0,April ,Kapas,205.55,Juta US$
2013.0,Mei ,Kapas,169.1,Juta US$
2014.0,Mei ,Gandum-ganduman,108.01,Juta US$
2014.0,April ,Gandum-ganduman,106.04,Juta US$
2013.0,Mei ,Gandum-ganduman,120.18,Juta US$
2014.0,Mei ,Filamen Buatan,107.45,Juta US$
2014.0,April ,Filamen Buatan,113.65,Juta US$
2013.0,Mei ,Filamen Buatan,112.4,Juta US$
