tahun,bulan,golongan_barang,nilai_fob,satuan
2014,Oktober ,Mesin-mesin / Pesawat Mekanik,"1,423.52",Juta US$
2014,September ,Mesin-mesin / Pesawat Mekanik,"1,419.65",Juta US$
2013,Oktober ,Mesin-mesin / Pesawat Mekanik,"1,575.98",Juta US$
2014,Oktober ,Mesin / Peralatan Listrik,"1,022.90",Juta US$
2014,September ,Mesin / Peralatan Listrik,990.33,Juta US$
2013,Oktober ,Mesin / Peralatan Listrik,"1,068.79",Juta US$
2014,Oktober ,Kendaraan dan Bagiannya,473.94,Juta US$
2014,September ,Kendaraan dan Bagiannya,544.07,Juta US$
2013,Oktober ,Kendaraan dan Bagiannya,620.04,Juta US$
2014,Oktober ,Palastik dan Barang dari Plastik,469.68,Juta US$
2014,September ,Palastik dan Barang dari Plastik,462.50,Juta US$
2013,Oktober ,Palastik dan Barang dari Plastik,458.77,Juta US$
2014,Oktober ,Bahan Bakar Mineral,441.42,Juta US$
2014,September ,Bahan Bakar Mineral,427.48,Juta US$
2013,Oktober ,Bahan Bakar Mineral,320.13,Juta US$
2014,Oktober ,Besi dan Baja,398.13,Juta US$
2014,September ,Besi dan Baja,389.16,Juta US$
2013,Oktober ,Besi dan Baja,418.83,Juta US$
2014,Oktober ,Bahan Kimia Organik,196.13,Juta US$
2014,September ,Bahan Kimia Organik,194.72,Juta US$
2013,Oktober ,Bahan Kimia Organik,206.51,Juta US$
2014,Oktober ,Kapas,179.29,Juta US$
2014,September ,Kapas,143.26,Juta US$
2013,Oktober ,Kapas,175.91,Juta US$
2014,Oktober ,Perangkat Optik,150.81,Juta US$
2014,September ,Perangkat Optik,141.39,Juta US$
2013,Oktober ,Perangkat Optik,152.61,Juta US$
2014,Oktober ,Benda-benda dari Besi dan Baja,144.33,Juta US$
2014,September ,Benda-benda dari Besi dan Baja,156.64,Juta US$
2013,Oktober ,Benda-benda dari Besi dan Baja,168.13,Juta US$
