wilayah,komoditi,harga_per_satuan,satuan
Jakarta Utara,Beras Kualitas Sedang,10710,kg
Jakarta Selatan,Beras Kualitas Sedang,11305,kg
Jakarta Barat,Beras Kualitas Sedang,10339,kg
Jakarta Timur,Beras Kualitas Sedang,9884,kg
Jakarta Pusat,Beras Kualitas Sedang,11650,kg
Jakarta Utara,Daging Sapi,131095,kg
Jakarta Selatan,Daging Sapi,123750,kg
Jakarta Barat,Daging Sapi,130975,kg
Jakarta Timur,Daging Sapi,122876,kg
Jakarta Pusat,Daging Sapi,118888,kg
Jakarta Utara,Gula,12670,kg
Jakarta Selatan,Gula,13000,kg
Jakarta Barat,Gula,12637,kg
Jakarta Timur,Gula,13000,kg
Jakarta Pusat,Gula,13396,kg
Jakarta Utara,Cabe,42694,kg
Jakarta Selatan,Cabe,49468,kg
Jakarta Barat,Cabe,38387,kg
Jakarta Timur,Cabe,42533,kg
Jakarta Pusat,Cabe,45694,kg
Jakarta Utara,Bawang Merah,20484,kg
Jakarta Selatan,Bawang Merah,23113,kg
Jakarta Barat,Bawang Merah,20049,kg
Jakarta Timur,Bawang Merah,21903,kg
Jakarta Pusat,Bawang Merah,27532,kg
Jakarta Utara,Minyak Goreng,11339,liter
Jakarta Selatan,Minyak Goreng,12250,liter
Jakarta Barat,Minyak Goreng,11024,liter
Jakarta Timur,Minyak Goreng,11323,liter
Jakarta Pusat,Minyak Goreng,11420,liter
Jakarta Utara,Daging Ayam,40823,kg
Jakarta Selatan,Daging Ayam,33984,kg
Jakarta Barat,Daging Ayam,36420,kg
Jakarta Timur,Daging Ayam,30387,kg
Jakarta Pusat,Daging Ayam,35000,kg
Jakarta Utara,Telur,22367,kg
Jakarta Selatan,Telur,21662,kg
Jakarta Barat,Telur,22645,kg
Jakarta Timur,Telur,21290,kg
Jakarta Pusat,Telur,22226,kg
