tanggal,komoditas,harga
2015/04/02,IR I,9200
2015/04/03,IR I,9200
2015/04/04,IR I,9200
2015/04/05,IR I,9200
2015/04/06,IR I,9200
2015/04/07,IR I,9200
2015/04/08,IR I,9100
2015/04/02,IR II,8200
2015/04/03,IR II,8200
2015/04/04,IR II,8200
2015/04/05,IR II,8200
2015/04/06,IR II,8200
2015/04/07,IR II,8200
2015/04/08,IR II,8100
2015/04/02,IR III,7400
2015/04/03,IR III,7400
2015/04/04,IR III,7400
2015/04/05,IR III,7400
2015/04/06,IR III,7400
2015/04/07,IR III,7400
2015/04/08,IR III,7400
2015/04/02,Muncul I,10200
2015/04/03,Muncul I,10200
2015/04/04,Muncul I,10200
2015/04/05,Muncul I,10200
2015/04/06,Muncul I,10200
2015/04/07,Muncul I,10000
2015/04/08,Muncul I,10000
2015/04/02,IR 42,11000
2015/04/03,IR 42,11000
2015/04/04,IR 42,11000
2015/04/05,IR 42,11000
2015/04/06,IR 42,11000
2015/04/07,IR 42,10800
2015/04/08,IR 42,10800
2015/04/02,Setra,12300
2015/04/03,Setra,12300
2015/04/04,Setra,12300
2015/04/05,Setra,12300
2015/04/06,Setra,12300
2015/04/07,Setra,12000
2015/04/08,Setra,12000
2015/04/02,Cabe Merah Keriting,12000
2015/04/03,Cabe Merah Keriting,13000
2015/04/04,Cabe Merah Keriting,11000
2015/04/05,Cabe Merah Keriting,12000
2015/04/06,Cabe Merah Keriting,13000
2015/04/07,Cabe Merah Keriting,12000
2015/04/08,Cabe Merah Keriting,13000
2015/04/02,Cabe Merah/TW,14000
2015/04/03,Cabe Merah/TW,14000
2015/04/04,Cabe Merah/TW,14000
2015/04/05,Cabe Merah/TW,13000
2015/04/06,Cabe Merah/TW,14000
2015/04/07,Cabe Merah/TW,14000
2015/04/08,Cabe Merah/TW,14000
2015/04/02,Cabe Rawit Merah,22000
2015/04/03,Cabe Rawit Merah,22000
2015/04/04,Cabe Rawit Merah,19000
2015/04/05,Cabe Rawit Merah,18000
2015/04/06,Cabe Rawit Merah,17000
2015/04/07,Cabe Rawit Merah,17000
2015/04/08,Cabe Rawit Merah,18000
2015/04/02,Cabe Rawit Hijau,9000
2015/04/03,Cabe Rawit Hijau,9000
2015/04/04,Cabe Rawit Hijau,8000
2015/04/05,Cabe Rawit Hijau,8000
2015/04/06,Cabe Rawit Hijau,8000
2015/04/07,Cabe Rawit Hijau,8000
2015/04/08,Cabe Rawit Hijau,8000
2015/04/02,Bawang Merah,26000
2015/04/03,Bawang Merah,27000
2015/04/04,Bawang Merah,26000
2015/04/05,Bawang Merah,25000
2015/04/06,Bawang Merah,25000
2015/04/07,Bawang Merah,25000
2015/04/08,Bawang Merah,26000
