tanggal,komoditas,harga
2015/04/09,IR I,9100
2015/04/10,IR I,9100
2015/04/11,IR I,9100
2015/04/12,IR I,9100
2015/04/13,IR I,9100
2015/04/14,IR I,9100
2015/04/15,IR I,9100
2015/04/09,IR II,8100
2015/04/10,IR II,8100
2015/04/11,IR II,8100
2015/04/12,IR II,8100
2015/04/13,IR II,8100
2015/04/14,IR II,8200
2015/04/15,IR II,8200
2015/04/09,IR III,7400
2015/04/10,IR III,7400
2015/04/11,IR III,7400
2015/04/12,IR III,7400
2015/04/13,IR III,7400
2015/04/14,IR III,7500
2015/04/15,IR III,7500
2015/04/09,Muncul I,10000
2015/04/10,Muncul I,10000
2015/04/11,Muncul I,10000
2015/04/12,Muncul I,10000
2015/04/13,Muncul I,10000
2015/04/14,Muncul I,10000
2015/04/15,Muncul I,10000
2015/04/09,IR 42,10800
2015/04/10,IR 42,10800
2015/04/11,IR 42,10800
2015/04/12,IR 42,10800
2015/04/13,IR 42,10800
2015/04/14,IR 42,10500
2015/04/15,IR 42,10500
2015/04/09,Setra,12000
2015/04/10,Setra,12000
2015/04/11,Setra,12000
2015/04/12,Setra,12000
2015/04/13,Setra,12000
2015/04/14,Setra,11850
2015/04/15,Setra,11850
2015/04/09,Cabe Merah Keriting,13000
2015/04/10,Cabe Merah Keriting,13000
2015/04/11,Cabe Merah Keriting,13000
2015/04/12,Cabe Merah Keriting,13000
2015/04/13,Cabe Merah Keriting,12000
2015/04/14,Cabe Merah Keriting,12000
2015/04/15,Cabe Merah Keriting,12000
2015/04/09,Cabe Merah/TW,14000
2015/04/10,Cabe Merah/TW,13000
2015/04/11,Cabe Merah/TW,13000
2015/04/12,Cabe Merah/TW,14000
2015/04/13,Cabe Merah/TW,14000
2015/04/14,Cabe Merah/TW,13000
2015/04/15,Cabe Merah/TW,13000
2015/04/09,Cabe Rawit Merah,15000
2015/04/10,Cabe Rawit Merah,14000
2015/04/11,Cabe Rawit Merah,14000
2015/04/12,Cabe Rawit Merah,14000
2015/04/13,Cabe Rawit Merah,15000
2015/04/14,Cabe Rawit Merah,14000
2015/04/15,Cabe Rawit Merah,15000
2015/04/09,Cabe Rawit Hijau,7000
2015/04/10,Cabe Rawit Hijau,7500
2015/04/11,Cabe Rawit Hijau,8000
2015/04/12,Cabe Rawit Hijau,8000
2015/04/13,Cabe Rawit Hijau,8000
2015/04/14,Cabe Rawit Hijau,8000
2015/04/15,Cabe Rawit Hijau,8000
2015/04/09,Bawang Merah,25000
2015/04/10,Bawang Merah,25000
2015/04/11,Bawang Merah,25000
2015/04/12,Bawang Merah,25000
2015/04/13,Bawang Merah,25000
2015/04/14,Bawang Merah,24000
2015/04/15,Bawang Merah,23000
