tanggal,komoditas,harga
2015/05/07,IR I,9100
2015/05/08,IR I,9100
2015/05/09,IR I,9100
2015/05/10,IR I,9100
2015/05/11,IR I,9200
2015/05/12,IR I,9200
2015/05/13,IR I,9200
2015/05/07,IR II,8200
2015/05/08,IR II,8200
2015/05/09,IR II,8200
2015/05/10,IR II,8200
2015/05/11,IR II,8300
2015/05/12,IR II,8300
2015/05/13,IR II,8300
2015/05/07,IR III,7600
2015/05/08,IR III,7600
2015/05/09,IR III,7600
2015/05/10,IR III,7600
2015/05/11,IR III,7600
2015/05/12,IR III,7600
2015/05/13,IR III,7600
2015/05/07,Muncul I,10000
2015/05/08,Muncul I,10000
2015/05/09,Muncul I,10000
2015/05/10,Muncul I,10000
2015/05/11,Muncul I,9800
2015/05/12,Muncul I,9800
2015/05/13,Muncul I,9800
2015/05/07,IR 42,10000
2015/05/08,IR 42,10000
2015/05/09,IR 42,10000
2015/05/10,IR 42,10000
2015/05/11,IR 42,10000
2015/05/12,IR 42,10000
2015/05/13,IR 42,10000
2015/05/07,Setra,11850
2015/05/08,Setra,11850
2015/05/09,Setra,11850
2015/05/10,Setra,11850
2015/05/11,Setra,11650
2015/05/12,Setra,11650
2015/05/13,Setra,11650
2015/05/07,Cabe Merah Keriting,18000
2015/05/08,Cabe Merah Keriting,17000
2015/05/09,Cabe Merah Keriting,18000
2015/05/10,Cabe Merah Keriting,17000
2015/05/11,Cabe Merah Keriting,16000
2015/05/12,Cabe Merah Keriting,16000
2015/05/13,Cabe Merah Keriting,16000
2015/05/07,Cabe Merah/TW,27000
2015/05/08,Cabe Merah/TW,28000
2015/05/09,Cabe Merah/TW,28000
2015/05/10,Cabe Merah/TW,28000
2015/05/11,Cabe Merah/TW,28000
2015/05/12,Cabe Merah/TW,26000
2015/05/13,Cabe Merah/TW,25000
2015/05/07,Cabe Rawit Merah,19000
2015/05/08,Cabe Rawit Merah,19000
2015/05/09,Cabe Rawit Merah,20000
2015/05/10,Cabe Rawit Merah,19000
2015/05/11,Cabe Rawit Merah,15000
2015/05/12,Cabe Rawit Merah,15000
2015/05/13,Cabe Rawit Merah,16000
2015/05/07,Cabe Rawit Hijau,15000
2015/05/08,Cabe Rawit Hijau,17000
2015/05/09,Cabe Rawit Hijau,16000
2015/05/10,Cabe Rawit Hijau,17000
2015/05/11,Cabe Rawit Hijau,15000
2015/05/12,Cabe Rawit Hijau,15000
2015/05/13,Cabe Rawit Hijau,15000
2015/05/07,Bawang Merah,22000
2015/05/08,Bawang Merah,24000
2015/05/09,Bawang Merah,25000
2015/05/10,Bawang Merah,25000
2015/05/11,Bawang Merah,24000
2015/05/12,Bawang Merah,24000
2015/05/13,Bawang Merah,24000
