tanggal,komoditas,harga
2015/04/16,IR I,9100
2015/04/17,IR I,9000
2015/04/18,IR I,9000
2015/04/19,IR I,9000
2015/04/20,IR I,9000
2015/04/21,IR I,9000
2015/04/22,IR I,9000
2015/04/16,IR II,8200
2015/04/17,IR II,8100
2015/04/18,IR II,8100
2015/04/19,IR II,8100
2015/04/20,IR II,8100
2015/04/21,IR II,8100
2015/04/22,IR II,8100
2015/04/16,IR III,7500
2015/04/17,IR III,7500
2015/04/18,IR III,7500
2015/04/19,IR III,7500
2015/04/20,IR III,7500
2015/04/21,IR III,7500
2015/04/22,IR III,7500
2015/04/16,Muncul I,10000
2015/04/17,Muncul I,10000
2015/04/18,Muncul I,10000
2015/04/19,Muncul I,10000
2015/04/20,Muncul I,10000
2015/04/21,Muncul I,10000
2015/04/22,Muncul I,10000
2015/04/16,IR 42,10500
2015/04/17,IR 42,10500
2015/04/18,IR 42,10500
2015/04/19,IR 42,10500
2015/04/20,IR 42,10500
2015/04/21,IR 42,10500
2015/04/22,IR 42,10500
2015/04/16,Setra,11850
2015/04/17,Setra,11850
2015/04/18,Setra,11850
2015/04/19,Setra,11850
2015/04/20,Setra,11850
2015/04/21,Setra,11850
2015/04/22,Setra,11850
2015/04/16,Cabe Merah Keriting,13000
2015/04/17,Cabe Merah Keriting,13000
2015/04/18,Cabe Merah Keriting,13000
2015/04/19,Cabe Merah Keriting,12000
2015/04/20,Cabe Merah Keriting,11000
2015/04/21,Cabe Merah Keriting,11000
2015/04/22,Cabe Merah Keriting,12000
2015/04/16,Cabe Merah/TW,13000
2015/04/17,Cabe Merah/TW,14000
2015/04/18,Cabe Merah/TW,14000
2015/04/19,Cabe Merah/TW,13000
2015/04/20,Cabe Merah/TW,17000
2015/04/21,Cabe Merah/TW,16000
2015/04/22,Cabe Merah/TW,16000
2015/04/16,Cabe Rawit Merah,14000
2015/04/17,Cabe Rawit Merah,15000
2015/04/18,Cabe Rawit Merah,14000
2015/04/19,Cabe Rawit Merah,14000
2015/04/20,Cabe Rawit Merah,15000
2015/04/21,Cabe Rawit Merah,15000
2015/04/22,Cabe Rawit Merah,16000
2015/04/16,Cabe Rawit Hijau,7500
2015/04/17,Cabe Rawit Hijau,7000
2015/04/18,Cabe Rawit Hijau,7500
2015/04/19,Cabe Rawit Hijau,7000
2015/04/20,Cabe Rawit Hijau,9000
2015/04/21,Cabe Rawit Hijau,9500
2015/04/22,Cabe Rawit Hijau,9000
2015/04/16,Bawang Merah,23000
2015/04/17,Bawang Merah,23000
2015/04/18,Bawang Merah,23000
2015/04/19,Bawang Merah,21000
2015/04/20,Bawang Merah,19000
2015/04/21,Bawang Merah,19000
2015/04/22,Bawang Merah,19000
