tanggal,komoditas,harga
2015/05/21,IR I,9200
2015/05/22,IR I,9200
2015/05/23,IR I,9200
2015/05/24,IR I,9200
2015/05/25,IR I,9200
2015/05/26,IR I,9200
2015/05/27,IR I,9200
2015/05/21,IR II,8400
2015/05/22,IR II,8400
2015/05/23,IR II,8400
2015/05/24,IR II,8400
2015/05/25,IR II,8500
2015/05/26,IR II,8500
2015/05/27,IR II,8500
2015/05/21,IR III,7650
2015/05/22,IR III,7650
2015/05/23,IR III,7650
2015/05/24,IR III,7650
2015/05/25,IR III,7700
2015/05/26,IR III,7700
2015/05/27,IR III,7700
2015/05/21,Muncul I,9600
2015/05/22,Muncul I,9600
2015/05/23,Muncul I,9600
2015/05/24,Muncul I,9600
2015/05/25,Muncul I,9600
2015/05/26,Muncul I,9600
2015/05/27,Muncul I,9600
2015/05/21,IR 42,9600
2015/05/22,IR 42,9600
2015/05/23,IR 42,9600
2015/05/24,IR 42,9600
2015/05/25,IR 42,9600
2015/05/26,IR 42,9600
2015/05/27,IR 42,9500
2015/05/21,Setra,11650
2015/05/22,Setra,11650
2015/05/23,Setra,11650
2015/05/24,Setra,11650
2015/05/25,Setra,11650
2015/05/26,Setra,11650
2015/05/27,Setra,11650
2015/05/21,Cabe Merah Keriting,12000
2015/05/22,Cabe Merah Keriting,13000
2015/05/23,Cabe Merah Keriting,13000
2015/05/24,Cabe Merah Keriting,11000
2015/05/25,Cabe Merah Keriting,12000
2015/05/26,Cabe Merah Keriting,12000
2015/05/27,Cabe Merah Keriting,13000
2015/05/21,Cabe Merah/TW,25000
2015/05/22,Cabe Merah/TW,26000
2015/05/23,Cabe Merah/TW,26000
2015/05/24,Cabe Merah/TW,25000
2015/05/25,Cabe Merah/TW,25000
2015/05/26,Cabe Merah/TW,22000
2015/05/27,Cabe Merah/TW,23000
2015/05/21,Cabe Rawit Merah,13000
2015/05/22,Cabe Rawit Merah,13000
2015/05/23,Cabe Rawit Merah,13000
2015/05/24,Cabe Rawit Merah,14000
2015/05/25,Cabe Rawit Merah,13000
2015/05/26,Cabe Rawit Merah,14000
2015/05/27,Cabe Rawit Merah,13000
2015/05/21,Cabe Rawit Hijau,14000
2015/05/22,Cabe Rawit Hijau,15000
2015/05/23,Cabe Rawit Hijau,12000
2015/05/24,Cabe Rawit Hijau,13000
2015/05/25,Cabe Rawit Hijau,12000
2015/05/26,Cabe Rawit Hijau,12000
2015/05/27,Cabe Rawit Hijau,12000
2015/05/21,Bawang Merah,30000
2015/05/22,Bawang Merah,30000
2015/05/23,Bawang Merah,31000
2015/05/24,Bawang Merah,30000
2015/05/25,Bawang Merah,32000
2015/05/26,Bawang Merah,31000
2015/05/27,Bawang Merah,31000
