wilayah,komoditi,harga_per_satuan,satuan
Jakarta Utara,Beras Kualitas Sedang,9599,Kg
Jakarta Selatan,Beras Kualitas Sedang,11224,Kg
Jakarta Barat,Beras Kualitas Sedang,9500,Kg
Jakarta Timur,Beras Kualitas Sedang,9953,Kg
Jakarta Pusat,Beras Kualitas Sedang,11650,Kg
Jakarta Utara,Daging Sapi,124753,Kg
Jakarta Selatan,Daging Sapi,126936,Kg
Jakarta Barat,Daging Sapi,131855,Kg
Jakarta Timur,Daging Sapi,119920,Kg
Jakarta Pusat,Daging Sapi,120060,Kg
Jakarta Utara,Gula,12375,Kg
Jakarta Selatan,Gula,13065,Kg
Jakarta Barat,Gula,12766,Kg
Jakarta Timur,Gula,12444,Kg
Jakarta Pusat,Gula,13186,Kg
Jakarta Utara,Cabe,42777,Kg
Jakarta Selatan,Cabe,43242,Kg
Jakarta Barat,Cabe,36630,Kg
Jakarta Timur,Cabe,39194,Kg
Jakarta Pusat,Cabe,42154,Kg
Jakarta Utara,Bawang Merah,27845,Kg
Jakarta Selatan,Bawang Merah,28839,Kg
Jakarta Barat,Bawang Merah,26791,Kg
Jakarta Timur,Bawang Merah,28775,Kg
Jakarta Pusat,Bawang Merah,27658,Kg
Jakarta Utara,Minyak Goreng,11150,Liter
Jakarta Selatan,Minyak Goreng,12395,Liter
Jakarta Barat,Minyak Goreng,12000,Liter
Jakarta Timur,Minyak Goreng,11729,Liter
Jakarta Pusat,Minyak Goreng,11500,Liter
Jakarta Utara,Daging Ayam,32922,Kg
Jakarta Selatan,Daging Ayam,34298,Kg
Jakarta Barat,Daging Ayam,34307,Kg
Jakarta Timur,Daging Ayam,26121,Kg
Jakarta Pusat,Daging Ayam,32833,Kg
Jakarta Utara,Telur,21048,Kg
Jakarta Selatan,Telur,20258,Kg
Jakarta Barat,Telur,20758,Kg
Jakarta Timur,Telur,20871,Kg
Jakarta Pusat,Telur,21629,Kg
