wilayah,komoditi,harga_per_satuan,satuan
Jakarta Utara,Beras Kualitas Sedang,9687,Kg
Jakarta Selatan,Beras Kualitas Sedang,11200,Kg
Jakarta Barat,Beras Kualitas Sedang,9558,Kg
Jakarta Timur,Beras Kualitas Sedang,9398,Kg
Jakarta Pusat,Beras Kualitas Sedang,11650,Kg
Jakarta Utara,Daging Sapi,110198,Kg
Jakarta Selatan,Daging Sapi,106397,Kg
Jakarta Barat,Daging Sapi,120000,Kg
Jakarta Timur,Daging Sapi,108261,Kg
Jakarta Pusat,Daging Sapi,112500,Kg
Jakarta Utara,Gula,12455,Kg
Jakarta Selatan,Gula,13000,Kg
Jakarta Barat,Gula,12422,Kg
Jakarta Timur,Gula,12209,Kg
Jakarta Pusat,Gula,12750,Kg
Jakarta Utara,Cabe,30377,Kg
Jakarta Selatan,Cabe,34801,Kg
Jakarta Barat,Cabe,30644,Kg
Jakarta Timur,Cabe,28373,Kg
Jakarta Pusat,Cabe,32895,Kg
Jakarta Utara,Bawang Merah,33624,Kg
Jakarta Selatan,Bawang Merah,35838,Kg
Jakarta Barat,Bawang Merah,33697,Kg
Jakarta Timur,Bawang Merah,31754,Kg
Jakarta Pusat,Bawang Merah,33916,Kg
Jakarta Utara,Minyak Goreng,11250,Liter
Jakarta Selatan,Minyak Goreng,12250,Liter
Jakarta Barat,Minyak Goreng,11658,Liter
Jakarta Timur,Minyak Goreng,11443,Liter
Jakarta Pusat,Minyak Goreng,11421,Liter
Jakarta Utara,Daging Ayam,29824,Kg
Jakarta Selatan,Daging Ayam,32582,Kg
Jakarta Barat,Daging Ayam,32022,Kg
Jakarta Timur,Daging Ayam,25587,Kg
Jakarta Pusat,Daging Ayam,30000,Kg
Jakarta Utara,Telur,22079,Kg
Jakarta Selatan,Telur,21765,Kg
Jakarta Barat,Telur,22404,Kg
Jakarta Timur,Telur,20913,Kg
Jakarta Pusat,Telur,22290,Kg
