tanggal,komoditas,harga
2015/10/29,IR I,9700
2015/10/30,IR I,9800
2015/10/31,IR I,9800
2015/11/01,IR I,9800
2015/11/02,IR I,9800
2015/11/03,IR I,9800
2015/11/04,IR I,9800
2015/10/29,IR II,9000
2015/10/30,IR II,9150
2015/10/31,IR II,9150
2015/11/01,IR II,9150
2015/11/02,IR II,9150
2015/11/03,IR II,9150
2015/11/04,IR II,9150
2015/10/29,IR III,8700
2015/10/30,IR III,8800
2015/10/31,IR III,8800
2015/11/01,IR III,8700
2015/11/02,IR III,8700
2015/11/03,IR III,8700
2015/11/04,IR III,8700
2015/10/29,Muncul I,10400
2015/10/30,Muncul I,10400
2015/10/31,Muncul I,10400
2015/11/01,Muncul I,10400
2015/11/02,Muncul I,10400
2015/11/03,Muncul I,10400
2015/11/04,Muncul I,10400
2015/10/29,IR 42,9600
2015/10/30,IR 42,9600
2015/10/31,IR 42,9600
2015/11/01,IR 42,9500
2015/11/02,IR 42,9500
2015/11/03,IR 42,9500
2015/11/04,IR 42,9500
2015/10/29,Setra,12650
2015/10/30,Setra,12650
2015/10/31,Setra,12650
2015/11/01,Setra,12650
2015/11/02,Setra,12650
2015/11/03,Setra,12650
2015/11/04,Setra,12650
2015/10/29,Cabe Merah Keriting,9000
2015/10/30,Cabe Merah Keriting,9000
2015/10/31,Cabe Merah Keriting,10000
2015/11/01,Cabe Merah Keriting,10000
2015/11/02,Cabe Merah Keriting,11000
2015/11/03,Cabe Merah Keriting,10000
2015/11/04,Cabe Merah Keriting,10000
2015/10/29,Cabe Merah/TW,11000
2015/10/30,Cabe Merah/TW,11000
2015/10/31,Cabe Merah/TW,11000
2015/11/01,Cabe Merah/TW,11000
2015/11/02,Cabe Merah/TW,11000
2015/11/03,Cabe Merah/TW,11000
2015/11/04,Cabe Merah/TW,11000
2015/10/29,Cabe Rawit Merah,10000
2015/10/30,Cabe Rawit Merah,10000
2015/10/31,Cabe Rawit Merah,10000
2015/11/01,Cabe Rawit Merah,10000
2015/11/02,Cabe Rawit Merah,10000
2015/11/03,Cabe Rawit Merah,11000
2015/11/04,Cabe Rawit Merah,12000
2015/10/29,Cabe Rawit Hijau,13000
2015/10/30,Cabe Rawit Hijau,12000
2015/10/31,Cabe Rawit Hijau,11000
2015/11/01,Cabe Rawit Hijau,9000
2015/11/02,Cabe Rawit Hijau,9000
2015/11/03,Cabe Rawit Hijau,11000
2015/11/04,Cabe Rawit Hijau,11000
2015/10/29,Bawang Merah,14000
2015/10/30,Bawang Merah,13000
2015/10/31,Bawang Merah,13000
2015/11/01,Bawang Merah,13000
2015/11/02,Bawang Merah,14000
2015/11/03,Bawang Merah,14000
2015/11/04,Bawang Merah,14000
