tanggal,komoditas,harga 
2015/10/15,IR I,9800
2015/10/16,IR I,9800
2015/10/17,IR I,9800
2015/10/18,IR I,9800
2015/10/19,IR I,9800
2015/10/20,IR I,9700
2015/10/21,IR I,9700
2015/10/15,IR II,9300
2015/10/16,IR II,9300
2015/10/17,IR II,9300
2015/10/18,IR II,9300
2015/10/19,IR II,9300
2015/10/20,IR II,9100
2015/10/21,IR II,9100
2015/10/15,IR III,8900
2015/10/16,IR III,8900
2015/10/17,IR III,8900
2015/10/18,IR III,8900
2015/10/19,IR III,8750
2015/10/20,IR III,8600
2015/10/21,IR III,8600
2015/10/15,Muncul I,10400
2015/10/16,Muncul I,10400
2015/10/17,Muncul I,10400
2015/10/18,Muncul I,10400
2015/10/19,Muncul I,10400
2015/10/20,Muncul I,10400
2015/10/21,Muncul I,10400
2015/10/15,IR 42,9600
2015/10/16,IR 42,9600
2015/10/17,IR 42,9600
2015/10/18,IR 42,9600
2015/10/19,IR 42,9600
2015/10/20,IR 42,9600
2015/10/21,IR 42,9600
2015/10/15,Setra,13000
2015/10/16,Setra,13000
2015/10/17,Setra,13000
2015/10/18,Setra,13000
2015/10/19,Setra,13000
2015/10/20,Setra,13000
2015/10/21,Setra,13000
2015/10/15,Cabe Merah Keriting,12000
2015/10/16,Cabe Merah Keriting,12000
2015/10/17,Cabe Merah Keriting,11000
2015/10/18,Cabe Merah Keriting,10000
2015/10/19,Cabe Merah Keriting,11000
2015/10/20,Cabe Merah Keriting,11000
2015/10/21,Cabe Merah Keriting,11000
2015/10/15,Cabe Merah/TW,14000
2015/10/16,Cabe Merah/TW,14000
2015/10/17,Cabe Merah/TW,13000
2015/10/18,Cabe Merah/TW,12000
2015/10/19,Cabe Merah/TW,12000
2015/10/20,Cabe Merah/TW,13000
2015/10/21,Cabe Merah/TW,11000
2015/10/15,Cabe Rawit Merah,13000
2015/10/16,Cabe Rawit Merah,13000
2015/10/17,Cabe Rawit Merah,12000
2015/10/18,Cabe Rawit Merah,12000
2015/10/19,Cabe Rawit Merah,12000
2015/10/20,Cabe Rawit Merah,12000
2015/10/21,Cabe Rawit Merah,11000
2015/10/15,Cabe Rawit Hijau,9000
2015/10/16,Cabe Rawit Hijau,9000
2015/10/17,Cabe Rawit Hijau,9000
2015/10/18,Cabe Rawit Hijau,8000
2015/10/19,Cabe Rawit Hijau,9000
2015/10/20,Cabe Rawit Hijau,8500
2015/10/21,Cabe Rawit Hijau,9000
2015/10/15,Bawang Merah,15000
2015/10/16,Bawang Merah,15000
2015/10/17,Bawang Merah,15000
2015/10/18,Bawang Merah,15000
2015/10/19,Bawang Merah,15000
2015/10/20,Bawang Merah,14800
2015/10/21,Bawang Merah,14500
