tanggal,komoditas,harga 
2015/10/22,IR I,9600
2015/10/23,IR I,9600
2015/10/24,IR I,9600
2015/10/25,IR I,9600
2015/10/26,IR I,9600
2015/10/27,IR I,9700
2015/10/28,IR I,9700
2015/10/22,IR II,8950
2015/10/23,IR II,8950
2015/10/24,IR II,8950
2015/10/25,IR II,8950
2015/10/26,IR II,8950
2015/10/27,IR II,9000
2015/10/28,IR II,9000
2015/10/22,IR III,8600
2015/10/23,IR III,8600
2015/10/24,IR III,8600
2015/10/25,IR III,8600
2015/10/26,IR III,8600
2015/10/27,IR III,8700
2015/10/28,IR III,8700
2015/10/22,Muncul I,10400
2015/10/23,Muncul I,10400
2015/10/24,Muncul I,10400
2015/10/25,Muncul I,10400
2015/10/26,Muncul I,10400
2015/10/27,Muncul I,10400
2015/10/28,Muncul I,10400
2015/10/22,IR 42,9600
2015/10/23,IR 42,9600
2015/10/24,IR 42,9600
2015/10/25,IR 42,9600
2015/10/26,IR 42,9600
2015/10/27,IR 42,9600
2015/10/28,IR 42,9600
2015/10/22,Setra,12800
2015/10/23,Setra,12650
2015/10/24,Setra,12650
2015/10/25,Setra,12650
2015/10/26,Setra,12650
2015/10/27,Setra,12650
2015/10/28,Setra,12650
2015/10/22,Cabe Merah Keriting,11000
2015/10/23,Cabe Merah Keriting,10000
2015/10/24,Cabe Merah Keriting,12000
2015/10/25,Cabe Merah Keriting,10000
2015/10/26,Cabe Merah Keriting,10000
2015/10/27,Cabe Merah Keriting,9000
2015/10/28,Cabe Merah Keriting,9000
2015/10/22,Cabe Merah/TW,10000
2015/10/23,Cabe Merah/TW,11000
2015/10/24,Cabe Merah/TW,11000
2015/10/25,Cabe Merah/TW,11000
2015/10/26,Cabe Merah/TW,11000
2015/10/27,Cabe Merah/TW,11000
2015/10/28,Cabe Merah/TW,11000
2015/10/22,Cabe Rawit Merah,11000
2015/10/23,Cabe Rawit Merah,10000
2015/10/24,Cabe Rawit Merah,11000
2015/10/25,Cabe Rawit Merah,10000
2015/10/26,Cabe Rawit Merah,11000
2015/10/27,Cabe Rawit Merah,11000
2015/10/28,Cabe Rawit Merah,11000
2015/10/22,Cabe Rawit Hijau,9000
2015/10/23,Cabe Rawit Hijau,9000
2015/10/24,Cabe Rawit Hijau,9000
2015/10/25,Cabe Rawit Hijau,10000
2015/10/26,Cabe Rawit Hijau,12000
2015/10/27,Cabe Rawit Hijau,15000
2015/10/28,Cabe Rawit Hijau,15000
2015/10/22,Bawang Merah,14500
2015/10/23,Bawang Merah,14500
2015/10/24,Bawang Merah,14000
2015/10/25,Bawang Merah,14000
2015/10/26,Bawang Merah,14000
2015/10/27,Bawang Merah,14000
2015/10/28,Bawang Merah,14000
