tahun,indikator,rincian_indikator,jumlah
2012,Pencari Kerja/Penempatan,Pencari Kerja yang belum ditempatkan Awal Tahun,93666
2012,Pencari Kerja/Penempatan,Pencari Kerja yang Terdaftar,46429
2012,Pencari Kerja/Penempatan,Pencari Kerja yang ditempatkan,25341
2012,Pencari Kerja/Penempatan,Pencari Kerja yang dihapus,27114
2012,Lowongan Yang Ada,Lowongan yang belum dipenuhi,4283
2012,Lowongan Yang Ada,Lowongan yang terdaftar,38204
2012,Lowongan yang dipenuhi,,25341
2012,Lowongan Yang dihapus,,16534
2012,Lowongan Yang Ada (I-II),,612
2011,Pencari Kerja/Penempatan,Pencari Kerja yang belum ditempatkan Awal Tahun,84962
2011,Pencari Kerja/Penempatan,Pencari Kerja yang Terdaftar,358142
2011,Pencari Kerja/Penempatan,Pencari Kerja yang ditempatkan,156755
2011,Pencari Kerja/Penempatan,Pencari Kerja yang dihapus,166932
2011,Lowongan Yang Ada,Lowongan yang belum dipenuhi,531
2011,Lowongan Yang Ada,Lowongan yang terdaftar,193136
2011,Lowongan yang dipenuhi,,156755
2011,Lowongan Yang dihapus,,36156
2011,Lowongan Yang Ada (I-II),,756
2010,Pencari Kerja/Penempatan,Pencari Kerja yang belum ditempatkan Awal Tahun,143638
2010,Pencari Kerja/Penempatan,Pencari Kerja yang Terdaftar,368726
2010,Pencari Kerja/Penempatan,Pencari Kerja yang ditempatkan,453084
2010,Pencari Kerja/Penempatan,Pencari Kerja yang dihapus,32738
2010,Lowongan Yang Ada,Lowongan yang belum dipenuhi,706
2010,Lowongan Yang Ada,Lowongan yang terdaftar,454687
2010,Lowongan yang dipenuhi,,453084
2010,Lowongan Yang dihapus,,19304
2010,Lowongan Yang Ada (I-II),,510
2009,Pencari Kerja/Penempatan,Pencari Kerja yang belum ditempatkan Awal Tahun,66445
2009,Pencari Kerja/Penempatan,Pencari Kerja yang Terdaftar,41794
2009,Pencari Kerja/Penempatan,Pencari Kerja yang ditempatkan,12903
2009,Pencari Kerja/Penempatan,Pencari Kerja yang dihapus,-
2009,Lowongan Yang Ada,Lowongan yang belum dipenuhi,2875
2009,Lowongan Yang Ada,Lowongan yang terdaftar,12903
2009,Lowongan yang dipenuhi,,12903
2009,Lowongan Yang dihapus,,-
2009,Lowongan Yang Ada (I-II),,2875
