jenis_sektor,kualifikasi_pekerja,kegiatan,jenis_upah,jumlah,mata_uang,keterangan
Sektor Bangunan dan Pekerjaan Umum,Pekerja/Knek,,Per Hari,130200,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Gali,,Per Hari,149730,IDR,
Sektor Bangunan dan Pekerjaan Umum,Kepala Tukang Batu,,Per Hari,164052,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Batu,,Per Hari,149730,IDR,
Sektor Bangunan dan Pekerjaan Umum,Kepala Tukang Kayu,,Per Hari,164052,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Kayu,,Per Hari,149730,IDR,
Sektor Bangunan dan Pekerjaan Umum,Kepal Tukang Besi,,Per Hari,164052,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Besi,,Per Hari,149730,IDR,
Sektor Bangunan dan Pekerjaan Umum,Kepala Tukang Cat,,Per Hari,164052,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Cat,,Per Hari,149730,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Aspal,,Per Hari,130200,IDR,
Sektor Bangunan dan Pekerjaan Umum,Mandor/Pengawas,,Per Hari,174468,IDR,
Sektor Bangunan dan Pekerjaan Umum,Instalator,,Per Hari,164052,IDR,
Sektor Bangunan dan Pekerjaan Umum,Pembantu Instalator,,Per Hari,149730,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Babat Rumput,,Per Hari,130200,IDR,
Sektor Bangunan dan Pekerjaan Umum,Kepala Tukang Pasang Pipa/Ledeng,,Per Hari,149730,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Pasang Pipa,,Per Hari,130200,IDR,
Sektor Bangunan dan Pekerjaan Umum,Operator Alat Berat,,Per Hari,174468,IDR,
Sektor Bangunan dan Pekerjaan Umum,Pembantu Operator Alat Berat,,Per Hari,149730,IDR,
Sektor Bangunan dan Pekerjaan Umum,Tukang Las,,Per Hari,149730,IDR,
"Sektor Kimia, Energi dan Pertambangan",,Industri bahan kosmetik dan kosmetik,Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,"Industri kimia dasar organik dengan produksi: asam belerang(asam sulfat), oleum,natrium silikat (water glass),alumunium sulfat, dan fatty acid",Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,Industri kimia dasar organik lainnya,Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,"Industri kimia dasar anorganik gas industri dengan produksi:argon,oksigen,nitrogen,hidrogen,asetilen dan karbon dioksida",Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,Industri sabun dan bahan pembersih keperluan rumah tangga termasuk pasta gigi,Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,Industri perekat lem,Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,"Industri pewarna/pigmen,cat,tinta,zat pewarna dan sejenisnya",Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,"Industri pipa dan selang dari plastik dengan produksi:pipa PVC,selang plastik PVC dan selang plastik PP",Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,Industri kemasan dari gelas kaca,Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,"Industri barang-barang dari semen dan kapur untuk konstruksi:a. Tiang dan  antalan beton, b. Adukan semen (ready mix)",Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,Industri gelas kaca lembaran,Per Bulan,3200000,IDR,
"Sektor Kimia, Energi dan Pertambangan",,Industri kaca pengaman,Per Bulan,3200000,IDR,
"Sektor Logam, Elektronik dan Mesin",,Industri kemasan kaleng,Per Bulan,3316000,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri besi dan baja dasar(iron and steel making) dengan kegiatan: a. Besi dan baja dasar paduan, b. Scrap dari baja panduan",Per Bulan,3788770,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri pengecoran besi dan baja dengan produksi besi,baja tuan,galvanis dan pelapisan logam",Per Bulan,3788770,IDR,
"Sektor Logam, Elektronik dan Mesin",,Industri jasa bubut untuk berbagai pekerjaan khusus terhadap logam dan barang-barang dari logam(industri bubut),Per Bulan,3788770,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Jasa pemotongan baja barang-barang logam,termasuk industri paku,brankas,filling kantor dan sejenisnya",Per Bulan,3788770,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri radio,televisi,alat-alat rekaman suara dan gambar dengan produksi: a.Pesawat penerima siaran televisi berwarna, b.Tape recorder, c.Audio Compact Disc Player/CD Player, d.Audio Amplifier",Per Bulan,3623750,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri peralatan rumah tangga dengan menggunakan listrik/industri pompa air,AC,Mesin Cuci,Lemari Es,Kipas Angin,Setrika Listrik,Digital Camera,Handphone",Per Bulan,3623750,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri alat-alat musik:piano/organ,gitar,drum",Per Bulan,3643820,IDR,
"Sektor Logam, Elektronik dan Mesin",,Industri kabel listrik dan telepon,Per Bulan,3810000,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri motor listrik,generator,transformator,peralatan pengontrol dan industri trafo,termasuk yang memproduksi KWH meter",Per Bulan,4000000,IDR,
"Sektor Logam, Elektronik dan Mesin",,Industri batu batere,Per Bulan,3484375,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri reparasi kapal,perahu,modifikasi bangunan lepas pantai",Per Bulan,3272911,IDR,
"Sektor Logam, Elektronik dan Mesin",,Industri pembuatan alat-alat dapur baik dari alumunium maupun bukan alumunium,Per Bulan,3484375,IDR,
"Sektor Logam, Elektronik dan Mesin",,Industri logam dasar mulia dan logam dasar bukan besi lainnya,Per Bulan,3778770,IDR,
"Sektor Logam, Elektronik dan Mesin",,Industri perhiasan dari logam mulia,Per Bulan,3394000,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri ekstrusi,logam bukan besi",Per Bulan,3650000,IDR,
"Sektor Logam, Elektronik dan Mesin",,"Industri ekstrusi,logam bukan besi seperti ekstrusi tembaga dan paduannya",Per Bulan,3650000,IDR,
"Sektor Logam, Elektronik dan Mesin",,Industri alumunium dan ekstrusi tunksten,Per Bulan,3650000,IDR,
Sektor Otomotif,,Industri komponen dan perlengkapan kendaraan bermotor roda dua dan tiga dengan produksi:Komponen body kendaraan bermotor roda dua,Per Bulan,3788770,IDR,
Sektor Otomotif,,Industri piston untuk kendaraan bermotor roda dua dan tiga dan muffler/peredam bunyi knalpot,Per Bulan,3788770,IDR,
Sektor Otomotif,,"Industri akumulator listrik dan batu battery(accu,battery)",Per Bulan,3788770,IDR,
Sektor Otomotif,,"Industri komponen dan suku cadang motor penggerak mula dengan produksi: a.Engine Block, b.Cylinder Head, c.Industri transmisi mekanik selain kendaraan bermotor/industri camshaft",Per Bulan,3788770,IDR,
Sektor Otomotif,,Industri perlengkapan dan komponen kendaraan bermotor,Per Bulan,3788770,IDR,
Sektor Otomotif,,Industri karoseri kendaraan bermotor roda emapat atau lebih,Per Bulan,3788770,IDR,
Sektor Otomotif,,Industri kendaraan bermotor roda dua dan tiga,Per Bulan,3807725,IDR,
Sektor Otomotif,,Industri kendaraan bermotor roda empat atau lebih,Per Bulan,3807725,IDR,
Sektor Otomotif,,Industri alat angkut dan alat pemindah/industri alat-alat berat,Per Bulan,3807725,IDR,
Sektor Asuransi dan Perbankan,,Asuransi,Per Bulan,3255000,IDR,
Sektor Asuransi dan Perbankan,,Bank Non Devisa,Per Bulan,3255000,IDR,
Sektor Asuransi dan Perbankan,,Bank Devisa,Per Bulan,3255000,IDR,
Sektor Asuransi dan Perbankan,,Bank Syariah,Per Bulan,3255000,IDR,
Sektor Makanan dan Minuman,,Industri minyak goreng dari minyak kelapa sawit,Per Bulan,3255000,IDR,
