tahun,bulan,golongan_barang,nilai_fob,satuan
2014.0,Juli ,Mesin-mesin / Pesawat Mekanik,1215.7,Juta US$
2014.0,Juni ,Mesin-mesin / Pesawat Mekanik,1532.48,Juta US$
2013.0,Juli ,Mesin-mesin / Pesawat Mekanik,1717.33,Juta US$
2014.0,Juli ,Mesin / Peralatan Listrik,835.18,Juta US$
2014.0,Juni ,Mesin / Peralatan Listrik,1047.34,Juta US$
2013.0,Juli ,Mesin / Peralatan Listrik,1387.28,Juta US$
2014.0,Juli ,Kendaraan dan Bagiannya,431.13,Juta US$
2014.0,Juni ,Kendaraan dan Bagiannya,519.77,Juta US$
2013.0,Juli ,Kendaraan dan Bagiannya,638.3,Juta US$
2014.0,Juli ,Palastik dan Barang dari Plastik,363.18,Juta US$
2014.0,Juni ,Palastik dan Barang dari Plastik,456.65,Juta US$
2013.0,Juli ,Palastik dan Barang dari Plastik,532.81,Juta US$
2014.0,Juli ,Bahan Bakar Mineral,318.93,Juta US$
2014.0,Juni ,Bahan Bakar Mineral,257.1,Juta US$
2013.0,Juli ,Bahan Bakar Mineral,391.56,Juta US$
2014.0,Juli ,Besi dan Baja,288.13,Juta US$
2014.0,Juni ,Besi dan Baja,447.07,Juta US$
2013.0,Juli ,Besi dan Baja,516.63,Juta US$
2014.0,Juli ,Bahan Kimia Organik,171.54,Juta US$
2014.0,Juni ,Bahan Kimia Organik,206.96,Juta US$
2013.0,Juli ,Bahan Kimia Organik,241.45,Juta US$
2014.0,Juli ,Benda-benda dari Besi dan Baja,110.79,Juta US$
2014.0,Juni ,Benda-benda dari Besi dan Baja,153.13,Juta US$
2013.0,Juli ,Benda-benda dari Besi dan Baja,162.38,Juta US$
2014.0,Juli ,Karet dan Barang dari Karet,110.25,Juta US$
2014.0,Juni ,Karet dan Barang dari Karet,120.68,Juta US$
2013.0,Juli ,Karet dan Barang dari Karet,137.45,Juta US$
2014.0,Juli ,Perangkat optik,105.7,Juta US$
2014.0,Juni ,Perangkat optik,131.36,Juta US$
2013.0,Juli ,Perangkat optik,155.27,Juta US$
