wilayah,komoditi,harga_per_satuan,satuan
Jakarta Utara,Beras Kualitas Sedang,10692,kg
Jakarta Selatan,Beras Kualitas Sedang,11325,kg
Jakarta Barat,Beras Kualitas Sedang,9850,kg
Jakarta Timur,Beras Kualitas Sedang,9346,kg
Jakarta Pusat,Beras Kualitas Sedang,11650,kg
Jakarta Utara,Daging Sapi,105892,kg
Jakarta Selatan,Daging Sapi,105000,kg
Jakarta Barat,Daging Sapi,120000,kg
Jakarta Timur,Daging Sapi,112584,kg
Jakarta Pusat,Daging Sapi,110500,kg
Jakarta Utara,Gula,12022,kg
Jakarta Selatan,Gula,13033,kg
Jakarta Barat,Gula,11734,kg
Jakarta Timur,Gula,11479,kg
Jakarta Pusat,Gula,12250,kg
Jakarta Utara,Cabe,21786,kg
Jakarta Selatan,Cabe,24423,kg
Jakarta Barat,Cabe,19967,kg
Jakarta Timur,Cabe,24367,kg
Jakarta Pusat,Cabe,23362,kg
Jakarta Utara,Bawang Merah,31613,kg
Jakarta Selatan,Bawang Merah,31552,kg
Jakarta Barat,Bawang Merah,31512,kg
Jakarta Timur,Bawang Merah,29392,kg
Jakarta Pusat,Bawang Merah,31311,kg
Jakarta Utara,Minyak Goreng,11044,liter
Jakarta Selatan,Minyak Goreng,12034,liter
Jakarta Barat,Minyak Goreng,11634,liter
Jakarta Timur,Minyak Goreng,11013,liter
Jakarta Pusat,Minyak Goreng,11250,liter
Jakarta Utara,Daging Ayam,28834,kg
Jakarta Selatan,Daging Ayam,29984,kg
Jakarta Barat,Daging Ayam,29300,kg
Jakarta Timur,Daging Ayam,25671,kg
Jakarta Pusat,Daging Ayam,28000,kg
Jakarta Utara,Telur,18281,kg
Jakarta Selatan,Telur,18440,kg
Jakarta Barat,Telur,18853,kg
Jakarta Timur,Telur,18850,kg
Jakarta Pusat,Telur,18500,kg
