wilayah,komoditi,harga_per_satuan,satuan
Jakarta Utara,beras kualitas sedang,11335,Kg
Jakarta Selatan,beras kualitas sedang,10450,Kg
Jakarta Barat,beras kualitas sedang,11393,Kg
Jakarta Timur,beras kualitas sedang,9848,Kg
Jakarta Pusat,beras kualitas sedang,12265,Kg
Jakarta Utara,daging sapi,105673,Kg
Jakarta Selatan,daging sapi,105000,Kg
Jakarta Barat,daging sapi,120000,Kg
Jakarta Timur,daging sapi,117935,Kg
Jakarta Pusat,daging sapi,112292,Kg
Jakarta Utara,gula,11500,Kg
Jakarta Selatan,gula,12795,Kg
Jakarta Barat,gula,11223,Kg
Jakarta Timur,gula,11018,Kg
Jakarta Pusat,gula,12250,Kg
Jakarta Utara,cabe,24481,Kg
Jakarta Selatan,cabe,25334,Kg
Jakarta Barat,cabe,21970,Kg
Jakarta Timur,cabe,23577,Kg
Jakarta Pusat,cabe,24491,Kg
Jakarta Utara,bawang merah,30462,Kg
Jakarta Selatan,bawang merah,31631,Kg
Jakarta Barat,bawang merah,33261,Kg
Jakarta Timur,bawang merah,29499,Kg
Jakarta Pusat,bawang merah,28116,Kg
Jakarta Utara,minyak goreng,11308,Liter
Jakarta Selatan,minyak goreng,12027,Liter
Jakarta Barat,minyak goreng,11750,Liter
Jakarta Timur,minyak goreng,11215,Liter
Jakarta Pusat,minyak goreng,11500,Liter
Jakarta Utara,daging ayam,28039,Kg
Jakarta Selatan,daging ayam,34965,Kg
Jakarta Barat,daging ayam,29718,Kg
Jakarta Timur,daging ayam,25083,Kg
Jakarta Pusat,daging ayam,28000,Kg
Jakarta Utara,telur,19116,Kg
Jakarta Selatan,telur,19256,Kg
Jakarta Barat,telur,19457,Kg
Jakarta Timur,telur,20123,Kg
Jakarta Pusat,telur,20077,Kg
