wilayah,komoditi,harga_per_satuan,satuan
Jakarta Utara,Beras Kualitas Sedang,10370,kg
Jakarta Selatan,Beras Kualitas Sedang,11292,kg
Jakarta Barat,Beras Kualitas Sedang,10000,kg
Jakarta Timur,Beras Kualitas Sedang,9623,kg
Jakarta Pusat,Beras Kualitas Sedang,11650,kg
Jakarta Utara,Daging Sapi,106467,kg
Jakarta Selatan,Daging Sapi,105000,kg
Jakarta Barat,Daging Sapi,117923,kg
Jakarta Timur,Daging Sapi,115059,kg
Jakarta Pusat,Daging Sapi,111875,kg
Jakarta Utara,Gula,12500,kg
Jakarta Selatan,Gula,13000,kg
Jakarta Barat,Gula,11894,kg
Jakarta Timur,Gula,11861,kg
Jakarta Pusat,Gula,12268,kg
Jakarta Utara,Cabe,26415,kg
Jakarta Selatan,Cabe,25839,kg
Jakarta Barat,Cabe,26984,kg
Jakarta Timur,Cabe,29224,kg
Jakarta Pusat,Cabe,28813,kg
Jakarta Utara,Bawang Merah,34083,kg
Jakarta Selatan,Bawang Merah,34850,kg
Jakarta Barat,Bawang Merah,36609,kg
Jakarta Timur,Bawang Merah,32595,kg
Jakarta Pusat,Bawang Merah,32232,kg
Jakarta Utara,Minyak Goreng,11050,liter
Jakarta Selatan,Minyak Goreng,12250,liter
Jakarta Barat,Minyak Goreng,11500,liter
Jakarta Timur,Minyak Goreng,11109,liter
Jakarta Pusat,Minyak Goreng,11250,liter
Jakarta Utara,Daging Ayam,29934,kg
Jakarta Selatan,Daging Ayam,30587,kg
Jakarta Barat,Daging Ayam,30635,kg
Jakarta Timur,Daging Ayam,25340,kg
Jakarta Pusat,Daging Ayam,28500,kg
Jakarta Utara,Telur,20551,kg
Jakarta Selatan,Telur,20011,kg
Jakarta Barat,Telur,20334,kg
Jakarta Timur,Telur,20389,kg
Jakarta Pusat,Telur,20009,kg
