wilayah,komoditi,harga_per_satuan,satuan
Jakarta Utara,Beras Kualitas Sedang,10523,kg
Jakarta Selatan,Beras Kualitas Sedang,11317,kg
Jakarta Barat,Beras Kualitas Sedang,10567,kg
Jakarta Timur,Beras Kualitas Sedang,10140,kg
Jakarta Pusat,Beras Kualitas Sedang,11400,kg
Jakarta Utara,Daging Sapi,127834,kg
Jakarta Selatan,Daging Sapi,112917,kg
Jakarta Barat,Daging Sapi,129342,kg
Jakarta Timur,Daging Sapi,122917,kg
Jakarta Pusat,Daging Sapi,119000,kg
Jakarta Utara,Gula,12109,kg
Jakarta Selatan,Gula,13000,kg
Jakarta Barat,Gula,12234,kg
Jakarta Timur,Gula,12884,kg
Jakarta Pusat,Gula,12875,kg
Jakarta Utara,Cabe,33042,kg
Jakarta Selatan,Cabe,43167,kg
Jakarta Barat,Cabe,32800,kg
Jakarta Timur,Cabe,36117,kg
Jakarta Pusat,Cabe,38917,kg
Jakarta Utara,Bawang Merah,18975,kg
Jakarta Selatan,Bawang Merah,20717,kg
Jakarta Barat,Bawang Merah,19867,kg
Jakarta Timur,Bawang Merah,20034,kg
Jakarta Pusat,Bawang Merah,20750,kg
Jakarta Utara,Minyak Goreng,11274,liter
Jakarta Selatan,Minyak Goreng,12167,liter
Jakarta Barat,Minyak Goreng,10434,liter
Jakarta Timur,Minyak Goreng,11204,liter
Jakarta Pusat,Minyak Goreng,10759,liter
Jakarta Utara,Daging Ayam,31400,kg
Jakarta Selatan,Daging Ayam,31417,kg
Jakarta Barat,Daging Ayam,29967,kg
Jakarta Timur,Daging Ayam,32517,kg
Jakarta Pusat,Daging Ayam,30267,kg
Jakarta Utara,Telur,21317,kg
Jakarta Selatan,Telur,21100,kg
Jakarta Barat,Telur,21484,kg
Jakarta Timur,Telur,21217,kg
Jakarta Pusat,Telur,21400,kg
