tanggal,komoditas,harga
2015/07/30,IR I,9600
2015/07/31,IR I,9600
2015/08/01,IR I,9600
2015/08/02,IR I,9600
2015/08/03,IR I,9700
2015/08/04,IR I,9700
2015/08/05,IR I,9700
2015/07/30,IR II,8800
2015/07/31,IR II,8800
2015/08/01,IR II,8800
2015/08/02,IR II,8800
2015/08/03,IR II,8800
2015/08/04,IR II,8800
2015/08/05,IR II,8800
2015/07/30,IR III,8300
2015/07/31,IR III,8300
2015/08/01,IR III,8300
2015/08/02,IR III,8300
2015/08/03,IR III,8300
2015/08/04,IR III,8300
2015/08/05,IR III,8300
2015/07/30,Muncul I,9600
2015/07/31,Muncul I,9600
2015/08/01,Muncul I,9600
2015/08/02,Muncul I,9600
2015/08/03,Muncul I,9600
2015/08/04,Muncul I,9800
2015/08/05,Muncul I,9800
2015/07/30,IR 42,9300
2015/07/31,IR 42,9300
2015/08/01,IR 42,9300
2015/08/02,IR 42,9300
2015/08/03,IR 42,9300
2015/08/04,IR 42,9450
2015/08/05,IR 42,9450
2015/07/30,Setra,11500
2015/07/31,Setra,11500
2015/08/01,Setra,11500
2015/08/02,Setra,11500
2015/08/03,Setra,11500
2015/08/04,Setra,11700
2015/08/05,Setra,11700
2015/07/30,Cabe Merah Keriting ,24000
2015/07/31,Cabe Merah Keriting ,24000
2015/08/01,Cabe Merah Keriting ,24000
2015/08/02,Cabe Merah Keriting ,25000
2015/08/03,Cabe Merah Keriting ,28000
2015/08/04,Cabe Merah Keriting ,28000
2015/08/05,Cabe Merah Keriting ,31000
2015/07/30,Cabe Merah/TW,19000
2015/07/31,Cabe Merah/TW,20000
2015/08/01,Cabe Merah/TW,19000
2015/08/02,Cabe Merah/TW,20000
2015/08/03,Cabe Merah/TW,20000
2015/08/04,Cabe Merah/TW,22000
2015/08/05,Cabe Merah/TW,23000
2015/07/30,Cabe Rawit Merah,48000
2015/07/31,Cabe Rawit Merah,48000
2015/08/01,Cabe Rawit Merah,49000
2015/08/02,Cabe Rawit Merah,50000
2015/08/03,Cabe Rawit Merah,47000
2015/08/04,Cabe Rawit Merah,50000
2015/08/05,Cabe Rawit Merah,55000
2015/07/30,Cabe Rawit Hijau,30000
2015/07/31,Cabe Rawit Hijau,30000
2015/08/01,Cabe Rawit ,
