tanggal,komoditas,harga
2015/08/27,IR I,9900
2015/08/28,IR I,9900
2015/08/29,IR I,9900
2015/08/30,IR I,9900
2015/08/31,IR I,9900
2015/09/01,IR I,9900
2015/09/02,IR I,9900
2015/08/27,IR II,9400
2015/08/28,IR II,9400
2015/08/29,IR II,9400
2015/08/30,IR II,9400
2015/08/31,IR II,9400
2015/09/01,IR II,9400
2015/09/02,IR II,9400
2015/08/27,IR III,8700
2015/08/28,IR III,8700
2015/08/29,IR III,8700
2015/08/30,IR III,8700
2015/08/31,IR III,8700
2015/09/01,IR III,8700
2015/09/02,IR III,8800
2015/08/27,Muncul I,10000
2015/08/28,Muncul I,10000
2015/08/29,Muncul I,10000
2015/08/30,Muncul I,10000
2015/08/31,Muncul I,10000
2015/09/01,Muncul I,10000
2015/09/02,Muncul I,10000
2015/08/27,IR 42,9600
2015/08/28,IR 42,9600
2015/08/29,IR 42,9600
2015/08/30,IR 42,9600
2015/08/31,IR 42,9600
2015/09/01,IR 42,9600
2015/09/02,IR 42,9600
2015/08/27,Setra,12500
2015/08/28,Setra,12500
2015/08/29,Setra,12500
2015/08/30,Setra,12500
2015/08/31,Setra,12500
2015/09/01,Setra,12800
2015/09/02,Setra,12800
2015/08/27,Cabe Merah Keriting ,31000
2015/08/28,Cabe Merah Keriting ,32000
2015/08/29,Cabe Merah Keriting ,31000
2015/08/30,Cabe Merah Keriting ,30000
2015/08/31,Cabe Merah Keriting ,29000
2015/09/01,Cabe Merah Keriting ,29000
2015/09/02,Cabe Merah Keriting ,30000
2015/08/27,Cabe Merah/TW,30000
2015/08/28,Cabe Merah/TW,28000
2015/08/29,Cabe Merah/TW,29000
2015/08/30,Cabe Merah/TW,29000
2015/08/31,Cabe Merah/TW,29000
2015/09/01,Cabe Merah/TW,29000
2015/09/02,Cabe Merah/TW,29000
2015/08/27,Cabe Rawit Merah ,54000
2015/08/28,Cabe Rawit Merah ,57000
2015/08/29,Cabe Rawit Merah ,56000
2015/08/30,Cabe Rawit Merah ,57000
2015/08/31,Cabe Rawit Merah ,55000
2015/09/01,Cabe Rawit Merah ,53000
2015/09/02,Cabe Rawit Merah ,54000
2015/08/27,Cabe Rawit Hijau,13000
2015/08/28,Cabe Rawit Hijau,16000
2015/08/29,Cabe Rawit Hijau,15000
2015/08/30,Cabe Rawit Hijau,18000
2015/08/31,Cabe Rawit Hijau,16000
2015/09/01,Cabe Rawit Hijau,15000
2015/09/02,Cabe Rawit Hijau,16000
2015/08/27,Bawang Merah,11000
2015/08/28,Bawang Merah,11000
2015/08/29,Bawang Merah,10000
2015/08/30,Bawang Merah,10000
2015/08/31,Bawang Merah,10000
2015/09/01,Bawang Merah,11000
2015/09/02,Bawang Merah,11000
