tanggal,komoditas,harga
2015/08/06,IR I,9700
2015/08/07,IR I,9700
2015/08/08,IR I,9700
2015/08/09,IR I,9700
2015/08/10,IR I,9700
2015/08/11,IR I,9700
2015/08/12,IR I,9700
2015/08/06,IR II,8900
2015/08/07,IR II,8900
2015/08/08,IR II,8900
2015/08/09,IR II,8900
2015/08/10,IR II,9000
2015/08/11,IR II,9000
2015/08/12,IR II,9000
2015/08/06,IR III,8400
2015/08/07,IR III,8400
2015/08/08,IR III,8400
2015/08/09,IR III,8400
2015/08/10,IR III,8500
2015/08/11,IR III,8500
2015/08/12,IR III,8500
2015/08/06,Muncul I,9800
2015/08/07,Muncul I,9800
2015/08/08,Muncul I,9800
2015/08/09,Muncul I,9800
2015/08/10,Muncul I,9800
2015/08/11,Muncul I,9800
2015/08/12,Muncul I,9900
2015/08/06,IR 42,9450
2015/08/07,IR 42,9450
2015/08/08,IR 42,9450
2015/08/09,IR 42,9450
2015/08/10,IR 42,9450
2015/08/11,IR 42,9450
2015/08/12,IR 42,9450
2015/08/06,Setra,12000
2015/08/07,Setra,12000
2015/08/08,Setra,12000
2015/08/09,Setra,12000
2015/08/10,Setra,12000
2015/08/11,Setra,12000
2015/08/12,Setra,12000
2015/08/06,Cabe Merah Keriting ,32000
2015/08/07,Cabe Merah Keriting ,33000
2015/08/08,Cabe Merah Keriting ,39000
2015/08/09,Cabe Merah Keriting ,37000
2015/08/10,Cabe Merah Keriting ,35000
2015/08/11,Cabe Merah Keriting ,35000
2015/08/12,Cabe Merah Keriting ,35000
2015/08/06,Cabe Merah /TW,23000
2015/08/07,Cabe Merah /TW,25000
2015/08/08,Cabe Merah /TW,36000
2015/08/09,Cabe Merah /TW,38000
2015/08/10,Cabe Merah /TW,37000
2015/08/11,Cabe Merah /TW,33000
2015/08/12,Cabe Merah /TW,35000
2015/08/06,Cabe Rawit Merah ,55000
2015/08/07,Cabe Rawit Merah ,56000
2015/08/08,Cabe Rawit Merah ,59000
2015/08/09,Cabe Rawit Merah ,59000
2015/08/10,Cabe Rawit Merah ,57000
2015/08/11,Cabe Rawit Merah ,53000
2015/08/12,Cabe Rawit Merah ,56000
2015/08/06,Cabe Rawit Hijau,33000
2015/08/07,Cabe Rawit Hijau,34000
2015/08/08,Cabe Rawit Hijau,36000
2015/08/09,Cabe Rawit Hijau,35000
2015/08/10,Cabe Rawit Hijau,32000
2015/08/11,Cabe Rawit Hijau,30000
2015/08/12,Cabe Rawit Hijau,33000
2015/08/06,Bawang Merah,14000
2015/08/07,Bawang Merah,13000
2015/08/08,Bawang Merah,13000
2015/08/09,Bawang Merah,12000
2015/08/10,Bawang Merah,12000
2015/08/11,Bawang Merah,12000
2015/08/12,Bawang Merah,12000
