tanggal,komoditas,harga
2015/06/04,IR I,9250
2015/06/05,IR I,9250
2015/06/06,IR I,9250
2015/06/07,IR I,9250
2015/06/08,IR I,9450
2015/06/09,IR I,9450
2015/06/10,IR I,9450
2015/06/04,IR II,8600
2015/06/05,IR II,8700
2015/06/06,IR II,8700
2015/06/07,IR II,8700
2015/06/08,IR II,8750
2015/06/09,IR II,8750
2015/06/10,IR II,8700
2015/06/04,IR III,7800
2015/06/05,IR III,7900
2015/06/06,IR III,7900
2015/06/07,IR III,7900
2015/06/08,IR III,8200
2015/06/09,IR III,8200
2015/06/10,IR III,8100
2015/06/04,Muncul I,9600
2015/06/05,Muncul I,9600
2015/06/06,Muncul I,9600
2015/06/07,Muncul I,9600
2015/06/08,Muncul I,9600
2015/06/09,Muncul I,9600
2015/06/10,Muncul I,9600
2015/06/04,IR 42,9400
2015/06/05,IR 42,9400
2015/06/06,IR 42,9400
2015/06/07,IR 42,9400
2015/06/08,IR 42,9000
2015/06/09,IR 42,9000
2015/06/10,IR 42,9000
2015/06/04,Setra,11500
2015/06/05,Setra,11500
2015/06/06,Setra,11500
2015/06/07,Setra,11500
2015/06/08,Setra,11200
2015/06/09,Setra,11200
2015/06/10,Setra,11200
2015/06/04,Cabe Merah Keriting,17000
2015/06/05,Cabe Merah Keriting,18000
2015/06/06,Cabe Merah Keriting,23000
2015/06/07,Cabe Merah Keriting,23000
2015/06/08,Cabe Merah Keriting,21000
2015/06/09,Cabe Merah Keriting,20000
2015/06/10,Cabe Merah Keriting,21000
2015/06/04,Cabe Merah/TW,20000
2015/06/05,Cabe Merah/TW,20000
2015/06/06,Cabe Merah/TW,22000
2015/06/07,Cabe Merah/TW,22000
2015/06/08,Cabe Merah/TW,21000
2015/06/09,Cabe Merah/TW,22000
2015/06/10,Cabe Merah/TW,20000
2015/06/04,Cabe Rawit Merah,17000
2015/06/05,Cabe Rawit Merah,16000
2015/06/06,Cabe Rawit Merah,17000
2015/06/07,Cabe Rawit Merah,16000
2015/06/08,Cabe Rawit Merah,15000
2015/06/09,Cabe Rawit Merah,15000
2015/06/10,Cabe Rawit Merah,14000
2015/06/04,Cabe Rawit Hijau,15000
2015/06/05,Cabe Rawit Hijau,15000
2015/06/06,Cabe Rawit Hijau,13000
2015/06/07,Cabe Rawit Hijau,13000
2015/06/08,Cabe Rawit Hijau,12000
2015/06/09,Cabe Rawit Hijau,12000
2015/06/10,Cabe Rawit Hijau,11000
2015/06/04,Bawang Merah,29000
2015/06/05,Bawang Merah,29000
2015/06/06,Bawang Merah,28000
2015/06/07,Bawang Merah,28000
2015/06/08,Bawang Merah,27000
2015/06/09,Bawang Merah,26000
2015/06/10,Bawang Merah,26000
