tanggal,komoditas,harga
2015/09/03,IR I,9900
2015/09/04,IR I,9900
2015/09/05,IR I,9900
2015/09/06,IR I,9900
2015/09/07,IR I,9900
2015/09/08,IR I,9900
2015/09/09,IR I,9900
2015/09/03,IR II,9400
2015/09/04,IR II,9400
2015/09/05,IR II,9400
2015/09/06,IR II,9400
2015/09/07,IR II,9500
2015/09/08,IR II,9500
2015/09/09,IR II,9500
2015/09/03,IR III,8800
2015/09/04,IR III,8800
2015/09/05,IR III,8800
2015/09/06,IR III,8800
2015/09/07,IR III,8900
2015/09/08,IR III,9000
2015/09/09,IR III,9000
2015/09/03,Muncul I,10000
2015/09/04,Muncul I,10000
2015/09/05,Muncul I,10000
2015/09/06,Muncul I,10000
2015/09/07,Muncul I,10000
2015/09/08,Muncul I,10000
2015/09/09,Muncul I,10000
2015/09/03,IR 42,9600
2015/09/04,IR 42,9600
2015/09/05,IR 42,9600
2015/09/06,IR 42,9600
2015/09/07,IR 42,9600
2015/09/08,IR 42,9600
2015/09/09,IR 42,9600
2015/09/03,Setra,12800
2015/09/04,Setra,12800
2015/09/05,Setra,12800
2015/09/06,Setra,12800
2015/09/07,Setra,12800
2015/09/08,Setra,12800
2015/09/09,Setra,12800
2015/09/03,Cabe Merah Keriting ,30000
2015/09/04,Cabe Merah Keriting ,30000
2015/09/05,Cabe Merah Keriting ,30000
2015/09/06,Cabe Merah Keriting ,29000
2015/09/07,Cabe Merah Keriting ,28000
2015/09/08,Cabe Merah Keriting ,28000
2015/09/09,Cabe Merah Keriting ,27000
2015/09/03,Cabe Merah/TW,29000
2015/09/04,Cabe Merah/TW,29000
2015/09/05,Cabe Merah/TW,29000
2015/09/06,Cabe Merah/TW,28000
2015/09/07,Cabe Merah/TW,26000
2015/09/08,Cabe Merah/TW,25000
2015/09/09,Cabe Merah/TW,26000
2015/09/03,Cabe Rawit Merah ,55000
2015/09/04,Cabe Rawit Merah ,56000
2015/09/05,Cabe Rawit Merah ,56000
2015/09/06,Cabe Rawit Merah ,54000
2015/09/07,Cabe Rawit Merah ,510000
2015/09/08,Cabe Rawit Merah ,50000
2015/09/09,Cabe Rawit Merah ,47000
2015/09/03,Cabe Rawit Hijau,17000
2015/09/04,Cabe Rawit Hijau,18000
2015/09/05,Cabe Rawit Hijau,18000
2015/09/06,Cabe Rawit Hijau,17000
2015/09/07,Cabe Rawit Hijau,16000
2015/09/08,Cabe Rawit Hijau,15000
2015/09/09,Cabe Rawit Hijau,15000
2015/09/03,Bawang Merah,12000
2015/09/04,Bawang Merah,11000
2015/09/05,Bawang Merah,11000
2015/09/06,Bawang Merah,11000
2015/09/07,Bawang Merah,11000
2015/09/08,Bawang Merah,11000
2015/09/09,Bawang Merah,11000
