tanggal,komoditas,harga
2015/08/13,IR I,9700
2015/08/14,IR I,9700
2015/08/15,IR I,9700
2015/08/16,IR I,9700
2015/08/17,IR I,9700
2015/08/18,IR I,9800
2015/08/19,IR I,9800
2015/08/13,IR II,9100
2015/08/14,IR II,9100
2015/08/15,IR II,9100
2015/08/16,IR II,9100
2015/08/17,IR II,9100
2015/08/18,IR II,9200
2015/08/19,IR II,9200
2015/08/13,IR III,8500
2015/08/14,IR III,8600
2015/08/15,IR III,8600
2015/08/16,IR III,8600
2015/08/17,IR III,8600
2015/08/18,IR III,8700
2015/08/19,IR III,8700
2015/08/13,Muncul I,9900
2015/08/14,Muncul I,9900
2015/08/15,Muncul I,9900
2015/08/16,Muncul I,9900
2015/08/17,Muncul I,9900
2015/08/18,Muncul I,9900
2015/08/19,Muncul I,9900
2015/08/13,IR 42,9450
2015/08/14,IR 42,9600
2015/08/15,IR 42,9600
2015/08/16,IR 42,9600
2015/08/17,IR 42,9600
2015/08/18,IR 42,9600
2015/08/19,IR 42,9600
2015/08/13,Setra,12000
2015/08/14,Setra,12000
2015/08/15,Setra,12000
2015/08/16,Setra,12000
2015/08/17,Setra,12000
2015/08/18,Setra,12000
2015/08/19,Setra,12000
2015/08/13,Cabe Merah Keriting ,33000
2015/08/14,Cabe Merah Keriting ,30000
2015/08/15,Cabe Merah Keriting ,33000
2015/08/16,Cabe Merah Keriting ,34000
2015/08/17,Cabe Merah Keriting ,32000
2015/08/18,Cabe Merah Keriting ,32000
2015/08/19,Cabe Merah Keriting ,32000
2015/08/13,Cabe Merah/TW,32000
2015/08/14,Cabe Merah/TW,30000
2015/08/15,Cabe Merah/TW,30000
2015/08/16,Cabe Merah/TW,30000
2015/08/17,Cabe Merah/TW,31000
2015/08/18,Cabe Merah/TW,30000
2015/08/19,Cabe Merah/TW,31000
2015/08/13,Cabe Rawit Merah ,51000
2015/08/14,Cabe Rawit Merah ,53000
2015/08/15,Cabe Rawit Merah ,53000
2015/08/16,Cabe Rawit Merah ,53000
2015/08/17,Cabe Rawit Merah ,52000
2015/08/18,Cabe Rawit Merah ,52000
2015/08/19,Cabe Rawit Merah ,55000
2015/08/13,Cabe Rawit Hijau,29000
2015/08/14,Cabe Rawit Hijau,28000
2015/08/15,Cabe Rawit Hijau,28000
2015/08/16,Cabe Rawit Hijau,28000
2015/08/17,Cabe Rawit Hijau,25000
2015/08/18,Cabe Rawit Hijau,26000
2015/08/19,Cabe Rawit Hijau,25000
2015/08/13,Bawang Merah,12000
2015/08/14,Bawang Merah,11000
2015/08/15,Bawang Merah,12000
2015/08/16,Bawang Merah,12000
2015/08/17,Bawang Merah,12000
2015/08/18,Bawang Merah,12000
2015/08/19,Bawang Merah,11000
