tanggal,komoditas,harga
2015/05/14,IR I,9200
2015/05/15,IR I,9200
2015/05/16,IR I,9200
2015/05/17,IR I,9200
2015/05/18,IR I,9200
2015/05/19,IR I,9200
2015/05/20,IR I,9200
2015/05/14,IR II,8300
2015/05/15,IR II,8300
2015/05/16,IR II,8300
2015/05/17,IR II,8300
2015/05/18,IR II,8300
2015/05/19,IR II,8450
2015/05/20,IR II,8450
2015/05/14,IR III,7600
2015/05/15,IR III,7600
2015/05/16,IR III,7600
2015/05/17,IR III,7600
2015/05/18,IR III,7600
2015/05/19,IR III,7750
2015/05/20,IR III,7750
2015/05/14,Muncul I,9800
2015/05/15,Muncul I,9600
2015/05/16,Muncul I,9600
2015/05/17,Muncul I,9600
2015/05/18,Muncul I,9600
2015/05/19,Muncul I,9800
2015/05/20,Muncul I,9800
2015/05/14,IR 42,10000
2015/05/15,IR 42,9600
2015/05/16,IR 42,9600
2015/05/17,IR 42,9600
2015/05/18,IR 42,9600
2015/05/19,IR 42,10000
2015/05/20,IR 42,10000
2015/05/14,Setra,11650
2015/05/15,Setra,11650
2015/05/16,Setra,11650
2015/05/17,Setra,11650
2015/05/18,Setra,11650
2015/05/19,Setra,11650
2015/05/20,Setra,11650
2015/05/14,Cabe Merah Keriting,13000
2015/05/15,Cabe Merah Keriting,13000
2015/05/16,Cabe Merah Keriting,11000
2015/05/17,Cabe Merah Keriting,12000
2015/05/18,Cabe Merah Keriting,12000
2015/05/19,Cabe Merah Keriting,12000
2015/05/20,Cabe Merah Keriting,13000
2015/05/14,Cabe Merah/ TW,26000
2015/05/15,Cabe Merah/ TW,25000
2015/05/16,Cabe Merah/ TW,26000
2015/05/17,Cabe Merah/ TW,27000
2015/05/18,Cabe Merah/ TW,26000
2015/05/19,Cabe Merah/ TW,27000
2015/05/20,Cabe Merah/ TW,25000
2015/05/14,Cabe Rawit Merah,15000
2015/05/15,Cabe Rawit Merah,15000
2015/05/16,Cabe Rawit Merah,12000
2015/05/17,Cabe Rawit Merah,12000
2015/05/18,Cabe Rawit Merah,12000
2015/05/19,Cabe Rawit Merah,12000
2015/05/20,Cabe Rawit Merah,15000
2015/05/14,Cabe Rawit Hijau,14000
2015/05/15,Cabe Rawit Hijau,16000
2015/05/16,Cabe Rawit Hijau,16000
2015/05/17,Cabe Rawit Hijau,17000
2015/05/18,Cabe Rawit Hijau,17000
2015/05/19,Cabe Rawit Hijau,18000
2015/05/20,Cabe Rawit Hijau,15000
2015/05/14,Bawang Merah,26000
2015/05/15,Bawang Merah,27000
2015/05/16,Bawang Merah,27000
2015/05/17,Bawang Merah,27000
2015/05/18,Bawang Merah,26000
2015/05/19,Bawang Merah,27000
2015/05/20,Bawang Merah,28000
