tanggal,komoditas,harga 
2015/11/12,IR I,9800
2015/11/13,IR I,9950
2015/11/14,IR I,9950
2015/11/15,IR I,9950
2015/11/16,IR I,9950
2015/11/17,IR I,9850
2015/11/18,IR I,9850
2015/11/12,IR II,9300
2015/11/13,IR II,9400
2015/11/14,IR II,9400
2015/11/15,IR II,9400
2015/11/16,IR II,9400
2015/11/17,IR II,9250
2015/11/18,IR II,9250
2015/11/12,IR III,8800
2015/11/13,IR III,9000
2015/11/14,IR III,9000
2015/11/15,IR III,9000
2015/11/16,IR III,9000
2015/11/17,IR III,8850
2015/11/18,IR III,8800
2015/11/12,Muncul I,10500
2015/11/13,Muncul I,10500
2015/11/14,Muncul I,10500
2015/11/15,Muncul I,10500
2015/11/16,Muncul I,10500
2015/11/17,Muncul I,10500
2015/11/18,Muncul I,10500
2015/11/12,IR 42,9900
2015/11/13,IR 42,10000
2015/11/14,IR 42,10000
2015/11/15,IR 42,10000
2015/11/16,IR 42,10000
2015/11/17,IR 42,10000
2015/11/18,IR 42,10000
2015/11/12,Setra,12650
2015/11/13,Setra,12650
2015/11/14,Setra,12650
2015/11/15,Setra,12650
2015/11/16,Setra,12650
2015/11/17,Setra,12650
2015/11/18,Setra,12500
2015/11/12,Cabe Merah Keriting,14000
2015/11/13,Cabe Merah Keriting,17000
2015/11/14,Cabe Merah Keriting,16000
2015/11/15,Cabe Merah Keriting,15000
2015/11/16,Cabe Merah Keriting,16000
2015/11/17,Cabe Merah Keriting,15000
2015/11/18,Cabe Merah Keriting,15000
2015/11/12,Cabe Merah/TW,11000
2015/11/13,Cabe Merah/TW,11000
2015/11/14,Cabe Merah/TW,11000
2015/11/15,Cabe Merah/TW,12000
2015/11/16,Cabe Merah/TW,14000
2015/11/17,Cabe Merah/TW,13000
2015/11/18,Cabe Merah/TW,12000
2015/11/12,Cabe Rawit Merah,10000
2015/11/13,Cabe Rawit Merah,9000
2015/11/14,Cabe Rawit Merah,8000
2015/11/15,Cabe Rawit Merah,9000
2015/11/16,Cabe Rawit Merah,10000
2015/11/17,Cabe Rawit Merah,11000
2015/11/18,Cabe Rawit Merah,12000
2015/11/12,Cabe Rawit Hijau,12000
2015/11/13,Cabe Rawit Hijau,12000
2015/11/14,Cabe Rawit Hijau,14000
2015/11/15,Cabe Rawit Hijau,13000
2015/11/16,Cabe Rawit Hijau,13000
2015/11/17,Cabe Rawit Hijau,15000
2015/11/18,Cabe Rawit Hijau,16000
2015/11/12,Bawang Merah,13800
2015/11/13,Bawang Merah,14000
2015/11/14,Bawang Merah,14000
2015/11/15,Bawang Merah,13000
2015/11/16,Bawang Merah,13000
2015/11/17,Bawang Merah,13000
2015/11/18,Bawang Merah,13000
,,
,,
