tanggal,komoditas,harga 
2015/09/10,IR I,9900
2015/09/11,IR I,9900
2015/09/12,IR I,9900
2015/09/13,IR I,9900
2015/09/14,IR I,9900
2015/09/15,IR I,10000
2015/09/16,IR I,10000
2015/09/10,IR II,9500
2015/09/11,IR II,9500
2015/09/12,IR II,9500
2015/09/13,IR II,9500
2015/09/14,IR II,9500
2015/09/15,IR II,9500
2015/09/16,IR II,9500
2015/09/10,IR III,9000
2015/09/11,IR III,9000
2015/09/12,IR III,9000
2015/09/13,IR III,9000
2015/09/14,IR III,9000
2015/09/15,IR III,9100
2015/09/16,IR III,9100
2015/09/10,Muncul I,10000
2015/09/11,Muncul I,10000
2015/09/12,Muncul I,10000
2015/09/13,Muncul I,10000
2015/09/14,Muncul I,10000
2015/09/15,Muncul I,10200
2015/09/16,Muncul I,10200
2015/09/10,IR 42,9600
2015/09/11,IR 42,9600
2015/09/12,IR 42,9600
2015/09/13,IR 42,9600
2015/09/14,IR 42,9600
2015/09/15,IR 42,9600
2015/09/16,IR 42,9600
2015/09/10,Setra,12800
2015/09/11,Setra,12800
2015/09/12,Setra,12800
2015/09/13,Setra,12800
2015/09/14,Setra,12800
2015/09/15,Setra,12800
2015/09/16,Setra,12800
2015/09/10,Cabe Merah Keriting,25000
2015/09/11,Cabe Merah Keriting,25000
2015/09/12,Cabe Merah Keriting,25000
2015/09/13,Cabe Merah Keriting,25000
2015/09/14,Cabe Merah Keriting,25000
2015/09/15,Cabe Merah Keriting,25000
2015/09/16,Cabe Merah Keriting,24000
2015/09/10,Cabe Merah/TW,26000
2015/09/11,Cabe Merah/TW,27000
2015/09/12,Cabe Merah/TW,26000
2015/09/13,Cabe Merah/TW,27000
2015/09/14,Cabe Merah/TW,29000
2015/09/15,Cabe Merah/TW,28000
2015/09/16,Cabe Merah/TW,26000
2015/09/10,Cabe Rawit Merah,40000
2015/09/11,Cabe Rawit Merah,37000
2015/09/12,Cabe Rawit Merah,37000
2015/09/13,Cabe Rawit Merah,36000
2015/09/14,Cabe Rawit Merah,37000
2015/09/15,Cabe Rawit Merah,37000
2015/09/16,Cabe Rawit Merah,35000
2015/09/10,Cabe Rawit Hijau,16000
2015/09/11,Cabe Rawit Hijau,16000
2015/09/12,Cabe Rawit Hijau,17000
2015/09/13,Cabe Rawit Hijau,15000
2015/09/14,Cabe Rawit Hijau,16000
2015/09/15,Cabe Rawit Hijau,16000
2015/09/16,Cabe Rawit Hijau,16000
2015/09/10,Bawang Merah,12000
2015/09/11,Bawang Merah,11000
2015/09/12,Bawang Merah,12000
2015/09/13,Bawang Merah,12000
2015/09/14,Bawang Merah,12000
2015/09/15,Bawang Merah,12000
2015/09/16,Bawang Merah,12000
