tanggal,komoditas,harga
2015/08/20,IR I,9800
2015/08/21,IR I,9800
2015/08/22,IR I,9800
2015/08/23,IR I,9800
2015/08/24,IR I,9900
2015/08/25,IR I,9900
2015/08/26,IR I,9900
2015/08/20,IR II,9200
2015/08/21,IR II,9200
2015/08/22,IR II,9200
2015/08/23,IR II,9200
2015/08/24,IR II,9300
2015/08/25,IR II,9400
2015/08/26,IR II,9400
2015/08/20,IR III,8700
2015/08/21,IR III,8700
2015/08/22,IR III,8700
2015/08/23,IR III,8700
2015/08/24,IR III,8700
2015/08/25,IR III,8700
2015/08/26,IR III,8700
2015/08/20,Muncul I,9900
2015/08/21,Muncul I,9900
2015/08/22,Muncul I,9900
2015/08/23,Muncul I,9900
2015/08/24,Muncul I,9900
2015/08/25,Muncul I,10000
2015/08/26,Muncul I,10000
2015/08/20,IR 42,9600
2015/08/21,IR 42,9600
2015/08/22,IR 42,9600
2015/08/23,IR 42,9600
2015/08/24,IR 42,9600
2015/08/25,IR 42,9600
2015/08/26,IR 42,9600
2015/08/20,Setra,12200
2015/08/21,Setra,12200
2015/08/22,Setra,12200
2015/08/23,Setra,12200
2015/08/24,Setra,12200
2015/08/25,Setra,12500
2015/08/26,Setra,12500
2015/08/20,Cabe Merah Keriting ,31000
2015/08/21,Cabe Merah Keriting ,30000
2015/08/22,Cabe Merah Keriting ,31000
2015/08/23,Cabe Merah Keriting ,31000
2015/08/24,Cabe Merah Keriting ,32000
2015/08/25,Cabe Merah Keriting ,32000
2015/08/26,Cabe Merah Keriting ,31000
2015/08/20,Cabe Merah/TW,29000
2015/08/21,Cabe Merah/TW,29000
2015/08/22,Cabe Merah/TW,29000
2015/08/23,Cabe Merah/TW,29000
2015/08/24,Cabe Merah/TW,28000
2015/08/25,Cabe Merah/TW,30000
2015/08/26,Cabe Merah/TW,31000
2015/08/20,Cabe Rawit Merah ,53000
2015/08/21,Cabe Rawit Merah ,51000
2015/08/22,Cabe Rawit Merah ,55000
2015/08/23,Cabe Rawit Merah ,54000
2015/08/24,Cabe Rawit Merah ,53000
2015/08/25,Cabe Rawit Merah ,53000
2015/08/26,Cabe Rawit Merah ,55000
2015/08/20,Cabe Rawit Hijau,21000
2015/08/21,Cabe Rawit Hijau,18000
2015/08/22,Cabe Rawit Hijau,19000
2015/08/23,Cabe Rawit Hijau,17000
2015/08/24,Cabe Rawit Hijau,18000
2015/08/25,Cabe Rawit Hijau,15000
2015/08/26,Cabe Rawit Hijau,14000
2015/08/20,Bawang Merah,11000
2015/08/21,Bawang Merah,11000
2015/08/22,Bawang Merah,11000
2015/08/23,Bawang Merah,10000
2015/08/24,Bawang Merah,10000
2015/08/25,Bawang Merah,10000
2015/08/26,Bawang Merah,11000
